flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
ba8936,british airways,landed,2023-12-20t07:35:00.000,2023-12-20t07:07:00.000,2023-12-20 07:08:00,2023-12-20,07:08:00,0,Regular departures
ei3280,aer lingus,landed,2023-12-20t07:35:00.000,2023-12-20t07:07:00.000,2023-12-20 07:08:00,2023-12-20,07:08:00,0,Regular departures
af3161,air france,landed,2023-12-20t08:30:00.000,2023-12-20t08:19:00.000,2023-12-20 08:19:00,2023-12-20,08:19:00,0,Regular departures
dl9629,delta air lines,landed,2023-12-20t08:30:00.000,2023-12-20t08:19:00.000,2023-12-20 08:19:00,2023-12-20,08:19:00,0,Regular departures
ey7395,etihad airways,landed,2023-12-20t08:30:00.000,2023-12-20t08:19:00.000,2023-12-20 08:19:00,2023-12-20,08:19:00,0,Regular departures
vs7040,virgin atlantic,landed,2023-12-20t08:30:00.000,2023-12-20t08:19:00.000,2023-12-20 08:19:00,2023-12-20,08:19:00,0,Regular departures
zq1049,german airways,landed,2023-12-20t08:30:00.000,2023-12-20t08:19:00.000,2023-12-20 08:19:00,2023-12-20,08:19:00,0,Regular departures
u2323,easyjet,landed,2023-12-20t08:35:00.000,2023-12-20t08:21:00.000,2023-12-20 08:22:00,2023-12-20,08:22:00,0,Regular departures
fr504,ryanair,landed,2023-12-20t08:55:00.000,2023-12-20t08:36:00.000,2023-12-20 08:37:00,2023-12-20,08:37:00,0,Regular departures
u2202,easyjet,landed,2023-12-20t10:00:00.000,2023-12-20t09:36:00.000,2023-12-20 09:38:00,2023-12-20,09:38:00,0,Regular departures
u2214,easyjet,landed,2023-12-20t10:00:00.000,2023-12-20t09:46:00.000,2023-12-20 09:42:00,2023-12-20,09:42:00,0,Regular departures
lh970,lufthansa,landed,2023-12-20t10:20:00.000,2023-12-20t10:17:00.000,2023-12-20 10:18:00,2023-12-20,10:18:00,0,Regular departures
u22784,easyjet,landed,2023-12-20t10:25:00.000,2023-12-20t10:14:00.000,2023-12-20 10:15:00,2023-12-20,10:15:00,0,Regular departures
u2238,easyjet,landed,2023-12-20t10:45:00.000,2023-12-20t10:36:00.000,2023-12-20 10:37:00,2023-12-20,10:37:00,0,Regular departures
u22922,easyjet,landed,2023-12-20t11:00:00.000,2023-12-20t11:24:00.000,2023-12-20 11:25:00,2023-12-20,11:25:00,26,Regular departures
u22884,easyjet,landed,2023-12-20t11:15:00.000,2023-12-20t11:03:00.000,2023-12-20 11:01:00,2023-12-20,11:01:00,0,Regular departures
u299,easyjet,landed,2023-12-20t11:20:00.000,2023-12-20t11:05:00.000,2023-12-20 11:05:00,2023-12-20,11:05:00,0,Regular departures
fr2291,ryanair,landed,2023-12-20t11:40:00.000,2023-12-20t11:31:00.000,2023-12-20 11:33:00,2023-12-20,11:33:00,0,Regular departures
fr9869,ryanair,landed,2023-12-20t11:45:00.000,2023-12-20t11:34:00.000,2023-12-20 11:36:00,2023-12-20,11:36:00,0,Regular departures
u22774,easyjet,landed,2023-12-20t11:50:00.000,2023-12-20t11:45:00.000,2023-12-20 11:46:00,2023-12-20,11:46:00,0,Regular departures
fr8682,ryanair,landed,2023-12-20t12:10:00.000,2023-12-20t12:15:00.000,2023-12-20 12:18:00,2023-12-20,12:18:00,8,Regular departures
u22704,easyjet,landed,2023-12-20t12:20:00.000,2023-12-20t12:11:00.000,2023-12-20 12:14:00,2023-12-20,12:14:00,0,Regular departures
fr8225,ryanair,landed,2023-12-20t12:25:00.000,2023-12-20t12:09:00.000,2023-12-20 12:10:00,2023-12-20,12:10:00,0,Regular departures
u22934,easyjet,landed,2023-12-20t12:25:00.000,2023-12-20t12:57:00.000,2023-12-20 13:00:00,2023-12-20,13:00:00,36,Regular departures
