flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
x36165,tuifly,landed,2023-07-04t01:05:00.000,2023-07-04t01:23:00.000,2023-07-04 01:21:00,2023-07-04,01:21:00,17,Night hour departures
u22820,easyjet,landed,2023-07-04t01:15:00.000,2023-07-04t01:04:00.000,2023-07-04 00:55:00,2023-07-04,00:55:00,0,Night hour departures
u22812,easyjet,landed,2023-07-04t01:30:00.000,2023-07-04t01:22:00.000,2023-07-04 01:17:00,2023-07-04,01:17:00,0,Night hour departures
u22736,easyjet,landed,2023-07-04t02:30:00.000,2023-07-04t02:08:00.000,2023-07-04 02:10:00,2023-07-04,02:10:00,0,Night hour departures
x3699,tuifly,landed,2023-07-04t02:35:00.000,2023-07-04t02:59:00.000,2023-07-04 02:59:00,2023-07-04,02:59:00,24,Night hour departures
u22850,easyjet,landed,2023-07-04t02:45:00.000,2023-07-04t02:55:00.000,2023-07-04 02:55:00,2023-07-04,02:55:00,10,Night hour departures
fr4134,ryanair,landed,2023-07-04t07:50:00.000,2023-07-04t07:53:00.000,2023-07-04 07:49:00,2023-07-04,07:49:00,0,Regular departures
ba8936,british airways,landed,2023-07-04t07:55:00.000,2023-07-04t08:03:00.000,2023-07-04 08:03:00,2023-07-04,08:03:00,9,Regular departures
ei3280,aer lingus,landed,2023-07-04t07:55:00.000,2023-07-04t08:03:00.000,2023-07-04 08:03:00,2023-07-04,08:03:00,9,Regular departures
fr1332,ryanair,landed,2023-07-04t08:45:00.000,2023-07-04t08:45:00.000,2023-07-04 08:46:00,2023-07-04,08:46:00,1,Regular departures
af3161,air france,landed,2023-07-04t08:45:00.000,2023-07-04t08:42:00.000,2023-07-04 08:43:00,2023-07-04,08:43:00,0,Regular departures
dl9629,delta air lines,landed,2023-07-04t08:45:00.000,2023-07-04t08:42:00.000,2023-07-04 08:43:00,2023-07-04,08:43:00,0,Regular departures
ey7395,etihad airways,landed,2023-07-04t08:45:00.000,2023-07-04t08:42:00.000,2023-07-04 08:43:00,2023-07-04,08:43:00,0,Regular departures
vs7040,virgin atlantic,landed,2023-07-04t08:45:00.000,2023-07-04t08:42:00.000,2023-07-04 08:43:00,2023-07-04,08:43:00,0,Regular departures
kl1049,klm,landed,2023-07-04t08:45:00.000,2023-07-04t08:42:00.000,2023-07-04 08:43:00,2023-07-04,08:43:00,0,Regular departures
fr504,ryanair,landed,2023-07-04t08:55:00.000,2023-07-04t08:49:00.000,2023-07-04 08:49:00,2023-07-04,08:49:00,0,Regular departures
lh970,lufthansa,landed,2023-07-04t09:00:00.000,2023-07-04t09:02:00.000,2023-07-04 08:56:00,2023-07-04,08:56:00,0,Regular departures
u27507,easyjet,landed,2023-07-04t09:40:00.000,2023-07-04t09:21:00.000,2023-07-04 09:23:00,2023-07-04,09:23:00,0,Regular departures
u2224,easyjet,landed,2023-07-04t09:45:00.000,2023-07-04t09:35:00.000,2023-07-04 09:32:00,2023-07-04,09:32:00,0,Regular departures
