flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22726,easyjet,landed,2023-05-21t01:25:00.000,2023-05-21t01:31:00.000,2023-05-21 01:26:00,2023-05-21,01:26:00,1,Night hour departures
x36655,tuifly,landed,2023-05-21t01:40:00.000,2023-05-21t01:46:00.000,2023-05-21 01:45:00,2023-05-21,01:45:00,5,Night hour departures
u22914,easyjet,landed,2023-05-21t01:45:00.000,2023-05-21t02:06:00.000,2023-05-21 02:06:00,2023-05-21,02:06:00,21,Night hour departures
u22850,easyjet,landed,2023-05-21t02:05:00.000,2023-05-21t02:14:00.000,2023-05-21 02:14:00,2023-05-21,02:14:00,9,Night hour departures
ba8936,british airways,landed,2023-05-21t07:55:00.000,2023-05-21t08:03:00.000,2023-05-21 08:04:00,2023-05-21,08:04:00,10,Regular departures
ei3280,aer lingus,landed,2023-05-21t07:55:00.000,2023-05-21t08:03:00.000,2023-05-21 08:04:00,2023-05-21,08:04:00,10,Regular departures
fr7948,ryanair,landed,2023-05-21t08:00:00.000,2023-05-21t07:47:00.000,2023-05-21 07:49:00,2023-05-21,07:49:00,0,Regular departures
rr1940,ryanair sun,landed,2023-05-21t08:35:00.000,2023-05-21t08:24:00.000,2023-05-21 08:23:00,2023-05-21,08:23:00,0,Regular departures
fr4122,ryanair,landed,2023-05-21t08:40:00.000,2023-05-21t08:34:00.000,2023-05-21 08:32:00,2023-05-21,08:32:00,0,Regular departures
af3161,air france,landed,2023-05-21t08:45:00.000,2023-05-21t08:40:00.000,2023-05-21 08:44:00,2023-05-21,08:44:00,0,Regular departures
dl9629,delta air lines,landed,2023-05-21t08:45:00.000,2023-05-21t08:40:00.000,2023-05-21 08:44:00,2023-05-21,08:44:00,0,Regular departures
ey7395,etihad airways,landed,2023-05-21t08:45:00.000,2023-05-21t08:40:00.000,2023-05-21 08:44:00,2023-05-21,08:44:00,0,Regular departures
vs7040,virgin atlantic,landed,2023-05-21t08:45:00.000,2023-05-21t08:40:00.000,2023-05-21 08:44:00,2023-05-21,08:44:00,0,Regular departures
kl1049,klm,landed,2023-05-21t08:45:00.000,2023-05-21t08:40:00.000,2023-05-21 08:44:00,2023-05-21,08:44:00,0,Regular departures
fr8203,ryanair,landed,2023-05-21t08:50:00.000,2023-05-21t08:48:00.000,2023-05-21 08:49:00,2023-05-21,08:49:00,0,Regular departures
lh970,lufthansa,landed,2023-05-21t09:00:00.000,2023-05-21t09:00:00.000,2023-05-21 09:01:00,2023-05-21,09:01:00,1,Regular departures
u27191,easyjet,landed,2023-05-21t09:05:00.000,2023-05-21t08:38:00.000,2023-05-21 08:36:00,2023-05-21,08:36:00,0,Regular departures
u2224,easyjet,landed,2023-05-21t10:35:00.000,2023-05-21t10:19:00.000,2023-05-21 10:16:00,2023-05-21,10:16:00,0,Regular departures
