flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u21443,easyjet,landed,2024-03-14t07:25:00.000,2024-03-14t07:10:00.000,2024-03-14 07:12:00,2024-03-14,07:12:00,0,Regular departures
ba8936,british airways,landed,2024-03-14t07:35:00.000,2024-03-14t07:31:00.000,2024-03-14 07:31:00,2024-03-14,07:31:00,0,Regular departures
ei3280,aer lingus,landed,2024-03-14t07:35:00.000,2024-03-14t07:31:00.000,2024-03-14 07:31:00,2024-03-14,07:31:00,0,Regular departures
fr504,ryanair,landed,2024-03-14t08:15:00.000,2024-03-14t08:15:00.000,2024-03-14 08:11:00,2024-03-14,08:11:00,0,Regular departures
af3161,air france,landed,2024-03-14t08:35:00.000,2024-03-14t08:25:00.000,2024-03-14 08:25:00,2024-03-14,08:25:00,0,Regular departures
dl9629,delta air lines,landed,2024-03-14t08:35:00.000,2024-03-14t08:25:00.000,2024-03-14 08:25:00,2024-03-14,08:25:00,0,Regular departures
ey7395,etihad airways,landed,2024-03-14t08:35:00.000,2024-03-14t08:25:00.000,2024-03-14 08:25:00,2024-03-14,08:25:00,0,Regular departures
vs7040,virgin atlantic,landed,2024-03-14t08:35:00.000,2024-03-14t08:25:00.000,2024-03-14 08:25:00,2024-03-14,08:25:00,0,Regular departures
zq1049,german airways,landed,2024-03-14t08:35:00.000,2024-03-14t08:25:00.000,2024-03-14 08:25:00,2024-03-14,08:25:00,0,Regular departures
u2238,easyjet,landed,2024-03-14t09:40:00.000,2024-03-14t09:28:00.000,2024-03-14 09:29:00,2024-03-14,09:29:00,0,Regular departures
u2224,easyjet,landed,2024-03-14t09:45:00.000,2024-03-14t09:47:00.000,2024-03-14 09:42:00,2024-03-14,09:42:00,0,Regular departures
u2202,easyjet,landed,2024-03-14t10:00:00.000,2024-03-14t09:52:00.000,2024-03-14 09:53:00,2024-03-14,09:53:00,0,Regular departures
u2214,easyjet,landed,2024-03-14t10:00:00.000,2024-03-14t09:49:00.000,2024-03-14 09:50:00,2024-03-14,09:50:00,0,Regular departures
u22774,easyjet,landed,2024-03-14t10:55:00.000,2024-03-14t10:59:00.000,2024-03-14 11:01:00,2024-03-14,11:01:00,7,Regular departures
u22922,easyjet,landed,2024-03-14t11:00:00.000,2024-03-14t11:02:00.000,2024-03-14 11:04:00,2024-03-14,11:04:00,5,Regular departures
fr4756,ryanair,landed,2024-03-14t11:10:00.000,2024-03-14t10:56:00.000,2024-03-14 10:58:00,2024-03-14,10:58:00,0,Regular departures
u22952,easyjet,landed,2024-03-14t11:15:00.000,2024-03-14t10:54:00.000,2024-03-14 10:54:00,2024-03-14,10:54:00,0,Regular departures
u22784,easyjet,landed,2024-03-14t11:55:00.000,2024-03-14t11:42:00.000,2024-03-14 11:42:00,2024-03-14,11:42:00,0,Regular departures
u22714,easyjet,landed,2024-03-14t12:30:00.000,2024-03-14t12:13:00.000,2024-03-14 12:16:00,2024-03-14,12:16:00,0,Regular departures
u22710,easyjet,landed,2024-03-14t12:40:00.000,2024-03-14t12:24:00.000,2024-03-14 12:26:00,2024-03-14,12:26:00,0,Regular departures
fr2291,ryanair,landed,2024-03-14t12:45:00.000,2024-03-14t12:39:00.000,2024-03-14 12:39:00,2024-03-14,12:39:00,0,Regular departures
fr513,ryanair,landed,2024-03-14t13:05:00.000,2024-03-14t12:54:00.000,2024-03-14 12:55:00,2024-03-14,12:55:00,0,Regular departures
dl9356,delta air lines,landed,2024-03-14t13:15:00.000,2024-03-14t13:40:00.000,2024-03-14 13:40:00,2024-03-14,13:40:00,26,Regular departures
ey7011,etihad airways,landed,2024-03-14t13:15:00.000,2024-03-14t13:40:00.000,2024-03-14 13:40:00,2024-03-14,13:40:00,26,Regular departures
g35514,gol,landed,2024-03-14t13:15:00.000,2024-03-14t13:40:00.000,2024-03-14 13:40:00,2024-03-14,13:40:00,26,Regular departures
kq1051,kenya airways,landed,2024-03-14t13:15:00.000,2024-03-14t13:40:00.000,2024-03-14 13:40:00,2024-03-14,13:40:00,26,Regular departures
vs7041,virgin atlantic,landed,2024-03-14t13:15:00.000,2024-03-14t13:40:00.000,2024-03-14 13:40:00,2024-03-14,13:40:00,26,Regular departures
kl1051,klm,landed,2024-03-14t13:15:00.000,2024-03-14t13:40:00.000,2024-03-14 13:40:00,2024-03-14,13:40:00,26,Regular departures
u22722,easyjet,landed,2024-03-14t13:15:00.000,2024-03-14t12:48:00.000,2024-03-14 12:50:00,2024-03-14,12:50:00,0,Regular departures
ls1808,jet2,landed,2024-03-14t13:20:00.000,2024-03-14t13:18:00.000,2024-03-14 13:18:00,2024-03-14,13:18:00,0,Regular departures
u22868,easyjet,landed,2024-03-14t13:20:00.000,2024-03-14t13:39:00.000,2024-03-14 13:36:00,2024-03-14,13:36:00,16,Regular departures
u22872,easyjet,landed,2024-03-14t13:45:00.000,2024-03-14t13:28:00.000,2024-03-14 13:28:00,2024-03-14,13:28:00,0,Regular departures
u21437,easyjet,landed,2024-03-14t13:55:00.000,2024-03-14t14:01:00.000,2024-03-14 13:55:00,2024-03-14,13:55:00,0,Regular departures
ls1822,jet2,landed,2024-03-14t14:30:00.000,2024-03-14t14:19:00.000,2024-03-14 14:19:00,2024-03-14,14:19:00,0,Regular departures
fr4758,ryanair,landed,2024-03-14t14:45:00.000,2024-03-14t14:24:00.000,2024-03-14 14:25:00,2024-03-14,14:25:00,0,Regular departures
u22734,easyjet,landed,2024-03-14t14:50:00.000,2024-03-14t14:33:00.000,2024-03-14 14:33:00,2024-03-14,14:33:00,0,Regular departures
u22886,easyjet,landed,2024-03-14t14:50:00.000,2024-03-14t14:32:00.000,2024-03-14 14:30:00,2024-03-14,14:30:00,0,Regular departures
u22876,easyjet,landed,2024-03-14t15:05:00.000,2024-03-14t15:21:00.000,2024-03-14 15:18:00,2024-03-14,15:18:00,14,Regular departures
u22932,easyjet,landed,2024-03-14t15:10:00.000,2024-03-14t14:48:00.000,2024-03-14 14:48:00,2024-03-14,14:48:00,0,Regular departures
ba8940,british airways,landed,2024-03-14t15:30:00.000,2024-03-14t15:17:00.000,2024-03-14 15:15:00,2024-03-14,15:15:00,0,Regular departures
ei3284,aer lingus,landed,2024-03-14t15:30:00.000,2024-03-14t15:17:00.000,2024-03-14 15:15:00,2024-03-14,15:15:00,0,Regular departures
u27847,easyjet,landed,2024-03-14t15:40:00.000,2024-03-14t15:47:00.000,2024-03-14 15:44:00,2024-03-14,15:44:00,4,Regular departures
u22884,easyjet,landed,2024-03-14t15:50:00.000,2024-03-14t15:40:00.000,2024-03-14 15:37:00,2024-03-14,15:37:00,0,Regular departures
fr4754,ryanair,landed,2024-03-14t15:55:00.000,2024-03-14t16:28:00.000,2024-03-14 16:28:00,2024-03-14,16:28:00,34,Regular departures
u2321,easyjet,landed,2024-03-14t16:10:00.000,2024-03-14t16:09:00.000,2024-03-14 16:09:00,2024-03-14,16:09:00,0,Regular departures
,bae systems marine,landed,2024-03-14t08:15:00.000,2024-03-14t08:28:00.000,2024-03-14 08:32:00,2024-03-14,08:32:00,17,Regular departures
u2442,easyjet,landed,2024-03-14t16:15:00.000,2024-03-14t16:31:00.000,2024-03-14 16:33:00,2024-03-14,16:33:00,18,Regular departures
u2220,easyjet,landed,2024-03-14t16:40:00.000,2024-03-14t16:40:00.000,2024-03-14 16:40:00,2024-03-14,16:40:00,0,Regular departures
dl9234,delta air lines,landed,2024-03-14t16:45:00.000,2024-03-14t17:10:00.000,2024-03-14 17:11:00,2024-03-14,17:11:00,26,Regular departures
ey7393,etihad airways,landed,2024-03-14t16:45:00.000,2024-03-14t17:10:00.000,2024-03-14 17:11:00,2024-03-14,17:11:00,26,Regular departures
kq1053,kenya airways,landed,2024-03-14t16:45:00.000,2024-03-14t17:10:00.000,2024-03-14 17:11:00,2024-03-14,17:11:00,26,Regular departures
vs7042,virgin atlantic,landed,2024-03-14t16:45:00.000,2024-03-14t17:10:00.000,2024-03-14 17:11:00,2024-03-14,17:11:00,26,Regular departures
kl1053,klm,landed,2024-03-14t16:45:00.000,2024-03-14t17:10:00.000,2024-03-14 17:11:00,2024-03-14,17:11:00,26,Regular departures
u2246,easyjet,landed,2024-03-14t17:05:00.000,2024-03-14t16:59:00.000,2024-03-14 16:59:00,2024-03-14,16:59:00,0,Regular departures
