flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr2292,ryanair,active,2023-12-27t05:50:00.000,2023-12-27t05:50:00.000,2023-12-27 06:01:00,2023-12-27,06:01:00,11,Shoulder hour flights
fr8681,ryanair,active,2023-12-27t06:00:00.000,2023-12-27t06:00:00.000,2023-12-27 06:10:00,2023-12-27,06:10:00,10,Shoulder hour flights
af5199,air france,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
az3737,alitalia,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
dl9422,delta air lines,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
ey7330,etihad airways,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
g35535,gol,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
kq1046,kenya airways,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
vs6854,virgin atlantic,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
kl1046,klm,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
u22713,easyjet,active,2023-12-27t06:20:00.000,2023-12-27t06:20:00.000,2023-12-27 06:25:00,2023-12-27,06:25:00,6,Shoulder hour flights
fr8224,ryanair,active,2023-12-27t06:25:00.000,2023-12-27t06:25:00.000,2023-12-27 06:28:00,2023-12-27,06:28:00,3,Shoulder hour flights
u22871,easyjet,active,2023-12-27t06:40:00.000,2023-12-27t06:40:00.000,2023-12-27 06:49:00,2023-12-27,06:49:00,9,Shoulder hour flights
u2201,easyjet,active,2023-12-27t07:00:00.000,2023-12-27t07:12:00.000,2023-12-27 07:20:00,2023-12-27,07:20:00,20,Regular departures
u2213,easyjet,active,2023-12-27t07:00:00.000,2023-12-27t07:00:00.000,2023-12-27 07:03:00,2023-12-27,07:03:00,3,Regular departures
u22721,easyjet,active,2023-12-27t07:00:00.000,2023-12-27t07:00:00.000,2023-12-27 07:05:00,2023-12-27,07:05:00,6,Regular departures
u22783,easyjet,active,2023-12-27t07:00:00.000,2023-12-27t07:00:00.000,2023-12-27 07:08:00,2023-12-27,07:08:00,8,Regular departures
u22883,easyjet,active,2023-12-27t07:00:00.000,2023-12-27t07:12:00.000,2023-12-27 07:24:00,2023-12-27,07:24:00,25,Regular departures
u22703,easyjet,active,2023-12-27t07:10:00.000,2023-12-27t07:10:00.000,2023-12-27 07:27:00,2023-12-27,07:27:00,18,Regular departures
u22709,easyjet,active,2023-12-27t07:10:00.000,2023-12-27t07:10:00.000,2023-12-27 07:54:00,2023-12-27,07:54:00,44,Regular departures
fr9870,ryanair,active,2023-12-27t07:20:00.000,2023-12-27t07:20:00.000,2023-12-27 07:22:00,2023-12-27,07:22:00,3,Regular departures
u22707,easyjet,active,2023-12-27t07:25:00.000,2023-12-27t07:25:00.000,2023-12-27 07:33:00,2023-12-27,07:33:00,9,Regular departures
u22921,easyjet,active,2023-12-27t07:45:00.000,2023-12-27t07:45:00.000,2023-12-27 07:50:00,2023-12-27,07:50:00,5,Regular departures
u22933,easyjet,active,2023-12-27t07:45:00.000,2023-12-27t07:46:00.000,2023-12-27 07:56:00,2023-12-27,07:56:00,12,Regular departures
u22911,easyjet,active,2023-12-27t08:00:00.000,2023-12-27t08:15:00.000,2023-12-27 08:24:00,2023-12-27,08:24:00,24,Regular departures
u2237,easyjet,active,2023-12-27t08:05:00.000,2023-12-27t08:17:00.000,2023-12-27 08:32:00,2023-12-27,08:32:00,28,Regular departures
u22719,easyjet,active,2023-12-27t08:05:00.000,2023-12-27t08:17:00.000,2023-12-27 08:30:00,2023-12-27,08:30:00,26,Regular departures
u22913,easyjet,active,2023-12-27t08:05:00.000,2023-12-27t08:05:00.000,2023-12-27 08:19:00,2023-12-27,08:19:00,15,Regular departures
ls1891,jet2,active,2023-12-27t08:30:00.000,2023-12-27t08:30:00.000,2023-12-27 08:40:00,2023-12-27,08:40:00,10,Regular departures
u22773,easyjet,active,2023-12-27t08:30:00.000,2023-12-27t08:42:00.000,2023-12-27 08:54:00,2023-12-27,08:54:00,24,Regular departures
dl9423,delta air lines,active,2023-12-27t09:00:00.000,2023-12-27t09:15:00.000,2023-12-27 09:30:00,2023-12-27,09:30:00,31,Regular departures
ey5843,etihad airways,active,2023-12-27t09:00:00.000,2023-12-27t09:15:00.000,2023-12-27 09:30:00,2023-12-27,09:30:00,31,Regular departures
kq1050,kenya airways,active,2023-12-27t09:00:00.000,2023-12-27t09:15:00.000,2023-12-27 09:30:00,2023-12-27,09:30:00,31,Regular departures
vs7044,virgin atlantic,active,2023-12-27t09:00:00.000,2023-12-27t09:15:00.000,2023-12-27 09:30:00,2023-12-27,09:30:00,31,Regular departures
zq1050,german airways,active,2023-12-27t09:00:00.000,2023-12-27t09:15:00.000,2023-12-27 09:30:00,2023-12-27,09:30:00,31,Regular departures
fr6221,ryanair,active,2023-12-27t09:05:00.000,2023-12-27t09:05:00.000,2023-12-27 09:21:00,2023-12-27,09:21:00,16,Regular departures
u2324,easyjet,active,2023-12-27t09:05:00.000,2023-12-27t09:05:00.000,2023-12-27 09:18:00,2023-12-27,09:18:00,14,Regular departures
fr505,ryanair,active,2023-12-27t09:20:00.000,2023-12-27t09:20:00.000,2023-12-27 09:42:00,2023-12-27,09:42:00,22,Regular departures
ls1827,jet2,active,2023-12-27t10:00:00.000,2023-12-27t10:00:00.000,2023-12-27 10:03:00,2023-12-27,10:03:00,3,Regular departures
,centreline,active,2023-12-27t10:00:00.000,2023-12-27t10:00:00.000,2023-12-27 10:00:00,2023-12-27,10:00:00,0,Regular departures
u22931,easyjet,active,2023-12-27t10:30:00.000,2023-12-27t11:17:00.000,2023-12-27 11:24:00,2023-12-27,11:24:00,55,Regular departures
u22885,easyjet,active,2023-12-27t10:35:00.000,2023-12-27t11:02:00.000,2023-12-27 11:00:00,2023-12-27,11:00:00,25,Regular departures
x3226,tuifly,active,2023-12-27t10:40:00.000,2023-12-27t11:15:00.000,2023-12-27 11:12:00,2023-12-27,11:12:00,32,Regular departures
u22901,easyjet,active,2023-12-27t11:30:00.000,2023-12-27t11:30:00.000,2023-12-27 11:44:00,2023-12-27,11:44:00,14,Regular departures
fr4145,ryanair,active,2023-12-27t12:35:00.000,2023-12-27t12:35:00.000,2023-12-27 12:46:00,2023-12-27,12:46:00,11,Regular departures
u22771,easyjet,active,2023-12-27t12:55:00.000,2023-12-27t13:27:00.000,2023-12-27 13:19:00,2023-12-27,13:19:00,25,Regular departures
u22887,easyjet,active,2023-12-27t13:30:00.000,2023-12-27t14:00:00.000,2023-12-27 14:17:00,2023-12-27,14:17:00,47,Regular departures
u22945,easyjet,active,2023-12-27t13:30:00.000,2023-12-27t13:30:00.000,2023-12-27 13:37:00,2023-12-27,13:37:00,8,Regular departures
u22733,easyjet,active,2023-12-27t13:35:00.000,2023-12-27t13:35:00.000,2023-12-27 13:49:00,2023-12-27,13:49:00,14,Regular departures
u22781,easyjet,active,2023-12-27t13:55:00.000,2023-12-27t13:55:00.000,2023-12-27 14:07:00,2023-12-27,14:07:00,13,Regular departures
u2205,easyjet,active,2023-12-27t14:35:00.000,2023-12-27t14:35:00.000,2023-12-27 14:46:00,2023-12-27,14:46:00,12,Regular departures
fr4755,ryanair,active,2023-12-27t15:00:00.000,2023-12-27t15:15:00.000,2023-12-27 15:14:00,2023-12-27,15:14:00,15,Regular departures
fr4121,ryanair,active,2023-12-27t15:10:00.000,2023-12-27t15:10:00.000,2023-12-27 15:40:00,2023-12-27,15:40:00,30,Regular departures
fr4129,ryanair,active,2023-12-27t15:35:00.000,2023-12-27t15:35:00.000,2023-12-27 16:12:00,2023-12-27,16:12:00,38,Regular departures
ba8867,british airways,active,2023-12-27t16:00:00.000,2023-12-27t16:10:00.000,2023-12-27 16:34:00,2023-12-27,16:34:00,34,Regular departures
ei3843,aer lingus,active,2023-12-27t16:00:00.000,2023-12-27t16:10:00.000,2023-12-27 16:34:00,2023-12-27,16:34:00,34,Regular departures
fr3161,ryanair,active,2023-12-27t16:05:00.000,2023-12-27t16:20:00.000,2023-12-27 16:26:00,2023-12-27,16:26:00,22,Regular departures
u2231,easyjet,active,2023-12-27t16:10:00.000,2023-12-27t16:35:00.000,2023-12-27 16:23:00,2023-12-27,16:23:00,14,Regular departures
u22873,easyjet,active,2023-12-27t16:35:00.000,2023-12-27t17:27:00.000,2023-12-27 17:32:00,2023-12-27,17:32:00,58,Regular departures
u22889,easyjet,active,2023-12-27t16:45:00.000,2023-12-27t17:32:00.000,2023-12-27 17:27:00,2023-12-27,17:27:00,42,Regular departures
ey5802,etihad airways,active,2023-12-27t17:15:00.000,2023-12-27t17:15:00.000,2023-12-27 17:30:00,2023-12-27,17:30:00,15,Regular departures
kq1054,kenya airways,active,2023-12-27t17:15:00.000,2023-12-27t17:15:00.000,2023-12-27 17:30:00,2023-12-27,17:30:00,15,Regular departures
vs7046,virgin atlantic,active,2023-12-27t17:15:00.000,2023-12-27t17:15:00.000,2023-12-27 17:30:00,2023-12-27,17:30:00,15,Regular departures
kl1054,klm,active,2023-12-27t17:15:00.000,2023-12-27t17:15:00.000,2023-12-27 17:30:00,2023-12-27,17:30:00,15,Regular departures
u22715,easyjet,active,2023-12-27t17:35:00.000,2023-12-27t17:47:00.000,2023-12-27 17:49:00,2023-12-27,17:49:00,15,Regular departures
rr8212,ryanair sun,active,2023-12-27t17:40:00.000,2023-12-27t17:55:00.000,2023-12-27 18:11:00,2023-12-27,18:11:00,32,Regular departures
u22923,easyjet,active,2023-12-27t18:05:00.000,2023-12-27t18:57:00.000,2023-12-27 18:54:00,2023-12-27,18:54:00,49,Regular departures
fr3560,ryanair,active,2023-12-27t18:15:00.000,2023-12-27t18:30:00.000,2023-12-27 18:36:00,2023-12-27,18:36:00,21,Regular departures
u2203,easyjet,active,2023-12-27t18:35:00.000,2023-12-27t18:57:00.000,2023-12-27 19:25:00,2023-12-27,19:25:00,51,Regular departures
u2217,easyjet,active,2023-12-27t18:35:00.000,2023-12-27t18:47:00.000,2023-12-27 18:45:00,2023-12-27,18:45:00,11,Regular departures
ba8941,british airways,active,2023-12-27t19:05:00.000,2023-12-27t19:15:00.000,2023-12-27 19:27:00,2023-12-27,19:27:00,23,Regular departures
ei3285,aer lingus,active,2023-12-27t19:05:00.000,2023-12-27t19:15:00.000,2023-12-27 19:27:00,2023-12-27,19:27:00,23,Regular departures
u24058,easyjet,active,2023-12-27t19:25:00.000,2023-12-27t19:35:00.000,2023-12-27 19:51:00,2023-12-27,19:51:00,26,Regular departures
u22957,easyjet,active,2023-12-27t19:45:00.000,2023-12-27t19:51:00.000,2023-12-27 20:02:00,2023-12-27,20:02:00,18,Regular departures
ba7820,british airways,active,2023-12-27t19:55:00.000,2023-12-27t20:40:00.000,2023-12-27 20:27:00,2023-12-27,20:27:00,32,Regular departures
si7046,sierra pacific airlines,active,2023-12-27t19:55:00.000,2023-12-27t20:40:00.000,2023-12-27 20:27:00,2023-12-27,20:27:00,32,Regular departures
lm46,loganair,active,2023-12-27t19:55:00.000,2023-12-27t20:40:00.000,2023-12-27 20:27:00,2023-12-27,20:27:00,32,Regular departures
,unicair,active,2023-12-27t14:30:00.000,2023-12-27t14:45:00.000,2023-12-27 14:42:00,2023-12-27,14:42:00,12,Regular departures
e43047,enter air,active,2023-12-27t10:00:00.000,2023-12-27t10:55:00.000,2023-12-27 10:55:00,2023-12-27,10:55:00,55,Regular departures
fr2292,ryanair,active,2023-12-27t05:50:00.000,2023-12-27t05:50:00.000,2023-12-27 06:01:00,2023-12-27,06:01:00,11,Shoulder hour flights
fr8681,ryanair,active,2023-12-27t06:00:00.000,2023-12-27t06:00:00.000,2023-12-27 06:10:00,2023-12-27,06:10:00,10,Shoulder hour flights
af5199,air france,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
az3737,alitalia,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
dl9422,delta air lines,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
ey7330,etihad airways,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
g35535,gol,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
kq1046,kenya airways,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
vs6854,virgin atlantic,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
kl1046,klm,active,2023-12-27t06:15:00.000,2023-12-27t06:18:00.000,2023-12-27 06:16:00,2023-12-27,06:16:00,2,Shoulder hour flights
u22713,easyjet,active,2023-12-27t06:20:00.000,2023-12-27t06:20:00.000,2023-12-27 06:25:00,2023-12-27,06:25:00,6,Shoulder hour flights
fr8224,ryanair,active,2023-12-27t06:25:00.000,2023-12-27t06:25:00.000,2023-12-27 06:28:00,2023-12-27,06:28:00,3,Shoulder hour flights
u22871,easyjet,active,2023-12-27t06:40:00.000,2023-12-27t06:40:00.000,2023-12-27 06:49:00,2023-12-27,06:49:00,9,Shoulder hour flights
u2201,easyjet,active,2023-12-27t07:00:00.000,2023-12-27t07:12:00.000,2023-12-27 07:20:00,2023-12-27,07:20:00,20,Regular departures
u2213,easyjet,active,2023-12-27t07:00:00.000,2023-12-27t07:00:00.000,2023-12-27 07:03:00,2023-12-27,07:03:00,3,Regular departures
u22721,easyjet,active,2023-12-27t07:00:00.000,2023-12-27t07:00:00.000,2023-12-27 07:05:00,2023-12-27,07:05:00,6,Regular departures
u22783,easyjet,active,2023-12-27t07:00:00.000,2023-12-27t07:00:00.000,2023-12-27 07:08:00,2023-12-27,07:08:00,8,Regular departures
u22883,easyjet,active,2023-12-27t07:00:00.000,2023-12-27t07:12:00.000,2023-12-27 07:24:00,2023-12-27,07:24:00,25,Regular departures
u22703,easyjet,active,2023-12-27t07:10:00.000,2023-12-27t07:10:00.000,2023-12-27 07:27:00,2023-12-27,07:27:00,18,Regular departures
u22709,easyjet,active,2023-12-27t07:10:00.000,2023-12-27t07:10:00.000,2023-12-27 07:54:00,2023-12-27,07:54:00,44,Regular departures
fr9870,ryanair,active,2023-12-27t07:20:00.000,2023-12-27t07:20:00.000,2023-12-27 07:22:00,2023-12-27,07:22:00,3,Regular departures
u22707,easyjet,active,2023-12-27t07:25:00.000,2023-12-27t07:25:00.000,2023-12-27 07:33:00,2023-12-27,07:33:00,9,Regular departures
u22921,easyjet,active,2023-12-27t07:45:00.000,2023-12-27t07:45:00.000,2023-12-27 07:50:00,2023-12-27,07:50:00,5,Regular departures
u22933,easyjet,active,2023-12-27t07:45:00.000,2023-12-27t07:46:00.000,2023-12-27 07:56:00,2023-12-27,07:56:00,12,Regular departures
u22911,easyjet,active,2023-12-27t08:00:00.000,2023-12-27t08:15:00.000,2023-12-27 08:24:00,2023-12-27,08:24:00,24,Regular departures
u2237,easyjet,active,2023-12-27t08:05:00.000,2023-12-27t08:17:00.000,2023-12-27 08:32:00,2023-12-27,08:32:00,28,Regular departures
u22719,easyjet,active,2023-12-27t08:05:00.000,2023-12-27t08:17:00.000,2023-12-27 08:30:00,2023-12-27,08:30:00,26,Regular departures
u22913,easyjet,active,2023-12-27t08:05:00.000,2023-12-27t08:05:00.000,2023-12-27 08:19:00,2023-12-27,08:19:00,15,Regular departures
ls1891,jet2,active,2023-12-27t08:30:00.000,2023-12-27t08:30:00.000,2023-12-27 08:40:00,2023-12-27,08:40:00,10,Regular departures
u22773,easyjet,active,2023-12-27t08:30:00.000,2023-12-27t08:42:00.000,2023-12-27 08:54:00,2023-12-27,08:54:00,24,Regular departures
dl9423,delta air lines,active,2023-12-27t09:00:00.000,2023-12-27t09:15:00.000,2023-12-27 09:30:00,2023-12-27,09:30:00,31,Regular departures
ey5843,etihad airways,active,2023-12-27t09:00:00.000,2023-12-27t09:15:00.000,2023-12-27 09:30:00,2023-12-27,09:30:00,31,Regular departures
kq1050,kenya airways,active,2023-12-27t09:00:00.000,2023-12-27t09:15:00.000,2023-12-27 09:30:00,2023-12-27,09:30:00,31,Regular departures
vs7044,virgin atlantic,active,2023-12-27t09:00:00.000,2023-12-27t09:15:00.000,2023-12-27 09:30:00,2023-12-27,09:30:00,31,Regular departures
zq1050,german airways,active,2023-12-27t09:00:00.000,2023-12-27t09:15:00.000,2023-12-27 09:30:00,2023-12-27,09:30:00,31,Regular departures
fr6221,ryanair,active,2023-12-27t09:05:00.000,2023-12-27t09:05:00.000,2023-12-27 09:21:00,2023-12-27,09:21:00,16,Regular departures
u2324,easyjet,active,2023-12-27t09:05:00.000,2023-12-27t09:05:00.000,2023-12-27 09:18:00,2023-12-27,09:18:00,14,Regular departures
fr505,ryanair,active,2023-12-27t09:20:00.000,2023-12-27t09:20:00.000,2023-12-27 09:42:00,2023-12-27,09:42:00,22,Regular departures
ls1827,jet2,active,2023-12-27t10:00:00.000,2023-12-27t10:00:00.000,2023-12-27 10:03:00,2023-12-27,10:03:00,3,Regular departures
,centreline,active,2023-12-27t10:00:00.000,2023-12-27t10:00:00.000,2023-12-27 10:00:00,2023-12-27,10:00:00,0,Regular departures
u22931,easyjet,active,2023-12-27t10:30:00.000,2023-12-27t11:17:00.000,2023-12-27 11:24:00,2023-12-27,11:24:00,55,Regular departures
u22885,easyjet,active,2023-12-27t10:35:00.000,2023-12-27t11:02:00.000,2023-12-27 11:00:00,2023-12-27,11:00:00,25,Regular departures
x3226,tuifly,active,2023-12-27t10:40:00.000,2023-12-27t11:15:00.000,2023-12-27 11:12:00,2023-12-27,11:12:00,32,Regular departures
u22901,easyjet,active,2023-12-27t11:30:00.000,2023-12-27t11:30:00.000,2023-12-27 11:44:00,2023-12-27,11:44:00,14,Regular departures
fr4145,ryanair,active,2023-12-27t12:35:00.000,2023-12-27t12:35:00.000,2023-12-27 12:46:00,2023-12-27,12:46:00,11,Regular departures
u22771,easyjet,active,2023-12-27t12:55:00.000,2023-12-27t13:27:00.000,2023-12-27 13:19:00,2023-12-27,13:19:00,25,Regular departures
u22887,easyjet,active,2023-12-27t13:30:00.000,2023-12-27t14:00:00.000,2023-12-27 14:17:00,2023-12-27,14:17:00,47,Regular departures
u22945,easyjet,active,2023-12-27t13:30:00.000,2023-12-27t13:30:00.000,2023-12-27 13:37:00,2023-12-27,13:37:00,8,Regular departures
u22733,easyjet,active,2023-12-27t13:35:00.000,2023-12-27t13:35:00.000,2023-12-27 13:49:00,2023-12-27,13:49:00,14,Regular departures
u22781,easyjet,active,2023-12-27t13:55:00.000,2023-12-27t13:55:00.000,2023-12-27 14:07:00,2023-12-27,14:07:00,13,Regular departures
u2205,easyjet,active,2023-12-27t14:35:00.000,2023-12-27t14:35:00.000,2023-12-27 14:46:00,2023-12-27,14:46:00,12,Regular departures
fr4755,ryanair,active,2023-12-27t15:00:00.000,2023-12-27t15:15:00.000,2023-12-27 15:14:00,2023-12-27,15:14:00,15,Regular departures
fr4121,ryanair,active,2023-12-27t15:10:00.000,2023-12-27t15:10:00.000,2023-12-27 15:40:00,2023-12-27,15:40:00,30,Regular departures
fr4129,ryanair,active,2023-12-27t15:35:00.000,2023-12-27t15:35:00.000,2023-12-27 16:12:00,2023-12-27,16:12:00,38,Regular departures
ba8867,british airways,active,2023-12-27t16:00:00.000,2023-12-27t16:10:00.000,2023-12-27 16:34:00,2023-12-27,16:34:00,34,Regular departures
ei3843,aer lingus,active,2023-12-27t16:00:00.000,2023-12-27t16:10:00.000,2023-12-27 16:34:00,2023-12-27,16:34:00,34,Regular departures
fr3161,ryanair,active,2023-12-27t16:05:00.000,2023-12-27t16:20:00.000,2023-12-27 16:26:00,2023-12-27,16:26:00,22,Regular departures
u2231,easyjet,active,2023-12-27t16:10:00.000,2023-12-27t16:35:00.000,2023-12-27 16:23:00,2023-12-27,16:23:00,14,Regular departures
u22873,easyjet,active,2023-12-27t16:35:00.000,2023-12-27t17:27:00.000,2023-12-27 17:32:00,2023-12-27,17:32:00,58,Regular departures
u22889,easyjet,active,2023-12-27t16:45:00.000,2023-12-27t17:32:00.000,2023-12-27 17:27:00,2023-12-27,17:27:00,42,Regular departures
ey5802,etihad airways,active,2023-12-27t17:15:00.000,2023-12-27t17:15:00.000,2023-12-27 17:30:00,2023-12-27,17:30:00,15,Regular departures
kq1054,kenya airways,active,2023-12-27t17:15:00.000,2023-12-27t17:15:00.000,2023-12-27 17:30:00,2023-12-27,17:30:00,15,Regular departures
vs7046,virgin atlantic,active,2023-12-27t17:15:00.000,2023-12-27t17:15:00.000,2023-12-27 17:30:00,2023-12-27,17:30:00,15,Regular departures
kl1054,klm,active,2023-12-27t17:15:00.000,2023-12-27t17:15:00.000,2023-12-27 17:30:00,2023-12-27,17:30:00,15,Regular departures
u22715,easyjet,active,2023-12-27t17:35:00.000,2023-12-27t17:47:00.000,2023-12-27 17:49:00,2023-12-27,17:49:00,15,Regular departures
rr8212,ryanair sun,active,2023-12-27t17:40:00.000,2023-12-27t17:55:00.000,2023-12-27 18:11:00,2023-12-27,18:11:00,32,Regular departures
u22923,easyjet,active,2023-12-27t18:05:00.000,2023-12-27t18:57:00.000,2023-12-27 18:54:00,2023-12-27,18:54:00,49,Regular departures
fr3560,ryanair,active,2023-12-27t18:15:00.000,2023-12-27t18:30:00.000,2023-12-27 18:36:00,2023-12-27,18:36:00,21,Regular departures
u2203,easyjet,active,2023-12-27t18:35:00.000,2023-12-27t18:57:00.000,2023-12-27 19:25:00,2023-12-27,19:25:00,51,Regular departures
u2217,easyjet,active,2023-12-27t18:35:00.000,2023-12-27t18:47:00.000,2023-12-27 18:45:00,2023-12-27,18:45:00,11,Regular departures
ba8941,british airways,active,2023-12-27t19:05:00.000,2023-12-27t19:15:00.000,2023-12-27 19:27:00,2023-12-27,19:27:00,23,Regular departures
ei3285,aer lingus,active,2023-12-27t19:05:00.000,2023-12-27t19:15:00.000,2023-12-27 19:27:00,2023-12-27,19:27:00,23,Regular departures
u24058,easyjet,active,2023-12-27t19:25:00.000,2023-12-27t19:35:00.000,2023-12-27 19:51:00,2023-12-27,19:51:00,26,Regular departures
u22957,easyjet,active,2023-12-27t19:45:00.000,2023-12-27t19:51:00.000,2023-12-27 20:02:00,2023-12-27,20:02:00,18,Regular departures
ba7820,british airways,active,2023-12-27t19:55:00.000,2023-12-27t20:40:00.000,2023-12-27 20:27:00,2023-12-27,20:27:00,32,Regular departures
si7046,sierra pacific airlines,active,2023-12-27t19:55:00.000,2023-12-27t20:40:00.000,2023-12-27 20:27:00,2023-12-27,20:27:00,32,Regular departures
lm46,loganair,active,2023-12-27t19:55:00.000,2023-12-27t20:40:00.000,2023-12-27 20:27:00,2023-12-27,20:27:00,32,Regular departures
,unicair,active,2023-12-27t14:30:00.000,2023-12-27t14:45:00.000,2023-12-27 14:42:00,2023-12-27,14:42:00,12,Regular departures
e43047,enter air,active,2023-12-27t10:00:00.000,2023-12-27t10:55:00.000,2023-12-27 10:55:00,2023-12-27,10:55:00,55,Regular departures
