flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
ls1895,jet2,active,2023-08-16t05:55:00.000,2023-08-16t05:55:00.000,2023-08-16 06:00:00,2023-08-16,06:00:00,6,Shoulder hour flights
ls1815,jet2,active,2023-08-16t06:00:00.000,2023-08-16t06:06:00.000,2023-08-16 06:33:00,2023-08-16,06:33:00,34,Shoulder hour flights
u22709,easyjet,active,2023-08-16t06:00:00.000,2023-08-16t06:00:00.000,2023-08-16 06:02:00,2023-08-16,06:02:00,3,Shoulder hour flights
u22715,easyjet,active,2023-08-16t06:00:00.000,2023-08-16t06:00:00.000,2023-08-16 06:12:00,2023-08-16,06:12:00,13,Shoulder hour flights
u22815,easyjet,active,2023-08-16t06:00:00.000,2023-08-16t06:09:00.000,2023-08-16 06:18:00,2023-08-16,06:18:00,18,Shoulder hour flights
ls1891,jet2,active,2023-08-16t06:10:00.000,2023-08-16t06:12:00.000,2023-08-16 06:14:00,2023-08-16,06:14:00,5,Shoulder hour flights
x36376,tuifly,active,2023-08-16t06:10:00.000,2023-08-16t06:14:00.000,2023-08-16 06:26:00,2023-08-16,06:26:00,17,Shoulder hour flights
u22893,easyjet,active,2023-08-16t06:10:00.000,2023-08-16t06:18:00.000,2023-08-16 06:30:00,2023-08-16,06:30:00,21,Shoulder hour flights
ls1881,jet2,active,2023-08-16t06:15:00.000,2023-08-16t06:25:00.000,2023-08-16 06:44:00,2023-08-16,06:44:00,29,Shoulder hour flights
x36348,tuifly,active,2023-08-16t06:15:00.000,2023-08-16t06:15:00.000,2023-08-16 06:28:00,2023-08-16,06:28:00,14,Shoulder hour flights
ls1817,jet2,active,2023-08-16t06:20:00.000,2023-08-16t06:35:00.000,2023-08-16 06:48:00,2023-08-16,06:48:00,28,Shoulder hour flights
af5199,air france,active,2023-08-16t06:20:00.000,2023-08-16t06:20:00.000,2023-08-16 06:36:00,2023-08-16,06:36:00,17,Shoulder hour flights
az3737,alitalia,active,2023-08-16t06:20:00.000,2023-08-16t06:20:00.000,2023-08-16 06:36:00,2023-08-16,06:36:00,17,Shoulder hour flights
dl9422,delta air lines,active,2023-08-16t06:20:00.000,2023-08-16t06:20:00.000,2023-08-16 06:36:00,2023-08-16,06:36:00,17,Shoulder hour flights
