flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22726,easyjet,landed,2023-10-27t01:05:00.000,2023-10-27t01:32:00.000,2023-10-27 01:27:00,2023-10-27,01:27:00,22,Night hour departures
x3467,tuifly,landed,2023-10-27t01:20:00.000,2023-10-27t01:22:00.000,2023-10-27 01:17:00,2023-10-27,01:17:00,0,Night hour departures
x36469,tuifly,landed,2023-10-27t01:20:00.000,2023-10-27t01:49:00.000,2023-10-27 01:49:00,2023-10-27,01:49:00,29,Night hour departures
u22854,easyjet,landed,2023-10-27t02:15:00.000,2023-10-27t02:07:00.000,2023-10-27 02:08:00,2023-10-27,02:08:00,0,Night hour departures
u22856,easyjet,landed,2023-10-27t02:30:00.000,2023-10-27t02:40:00.000,2023-10-27 02:41:00,2023-10-27,02:41:00,11,Night hour departures
x36459,tuifly,landed,2023-10-27t03:40:00.000,2023-10-27t03:34:00.000,2023-10-27 03:34:00,2023-10-27,03:34:00,0,Night hour departures
x3659,tuifly,landed,2023-10-27t06:45:00.000,2023-10-27t07:09:00.000,2023-10-27 07:11:00,2023-10-27,07:11:00,27,Regular departures
ba8936,british airways,landed,2023-10-27t07:55:00.000,2023-10-27t07:51:00.000,2023-10-27 07:57:00,2023-10-27,07:57:00,3,Regular departures
ei3280,aer lingus,landed,2023-10-27t07:55:00.000,2023-10-27t07:51:00.000,2023-10-27 07:57:00,2023-10-27,07:57:00,3,Regular departures
af3161,air france,landed,2023-10-27t08:45:00.000,2023-10-27t09:17:00.000,2023-10-27 09:16:00,2023-10-27,09:16:00,32,Regular departures
dl9629,delta air lines,landed,2023-10-27t08:45:00.000,2023-10-27t09:17:00.000,2023-10-27 09:16:00,2023-10-27,09:16:00,32,Regular departures
ey7395,etihad airways,landed,2023-10-27t08:45:00.000,2023-10-27t09:17:00.000,2023-10-27 09:16:00,2023-10-27,09:16:00,32,Regular departures
vs7040,virgin atlantic,landed,2023-10-27t08:45:00.000,2023-10-27t09:17:00.000,2023-10-27 09:16:00,2023-10-27,09:16:00,32,Regular departures
kl1049,klm,landed,2023-10-27t08:45:00.000,2023-10-27t09:17:00.000,2023-10-27 09:16:00,2023-10-27,09:16:00,32,Regular departures
fr504,ryanair,landed,2023-10-27t08:50:00.000,2023-10-27t08:51:00.000,2023-10-27 08:51:00,2023-10-27,08:51:00,2,Regular departures
lh970,lufthansa,landed,2023-10-27t09:00:00.000,2023-10-27t09:04:00.000,2023-10-27 09:04:00,2023-10-27,09:04:00,5,Regular departures
fr4122,ryanair,landed,2023-10-27t09:15:00.000,2023-10-27t08:57:00.000,2023-10-27 08:57:00,2023-10-27,08:57:00,0,Regular departures
u2238,easyjet,landed,2023-10-27t09:40:00.000,2023-10-27t09:37:00.000,2023-10-27 09:38:00,2023-10-27,09:38:00,0,Regular departures
u27507,easyjet,landed,2023-10-27t09:40:00.000,2023-10-27t09:19:00.000,2023-10-27 09:21:00,2023-10-27,09:21:00,0,Regular departures
u2222,easyjet,landed,2023-10-27t09:45:00.000,2023-10-27t09:32:00.000,2023-10-27 09:33:00,2023-10-27,09:33:00,0,Regular departures
fr8203,ryanair,landed,2023-10-27t10:05:00.000,2023-10-27t10:06:00.000,2023-10-27 10:05:00,2023-10-27,10:05:00,1,Regular departures
u2214,easyjet,landed,2023-10-27t10:05:00.000,2023-10-27t10:26:00.000,2023-10-27 10:26:00,2023-10-27,10:26:00,21,Regular departures
u2202,easyjet,landed,2023-10-27t10:10:00.000,2023-10-27t10:09:00.000,2023-10-27 10:09:00,2023-10-27,10:09:00,0,Regular departures
u22922,easyjet,landed,2023-10-27t10:30:00.000,2023-10-27t10:42:00.000,2023-10-27 10:39:00,2023-10-27,10:39:00,10,Regular departures
u22774,easyjet,landed,2023-10-27t10:45:00.000,2023-10-27t10:57:00.000,2023-10-27 10:57:00,2023-10-27,10:57:00,13,Regular departures
u22884,easyjet,landed,2023-10-27t11:25:00.000,2023-10-27t11:31:00.000,2023-10-27 11:33:00,2023-10-27,11:33:00,8,Regular departures
u22710,easyjet,landed,2023-10-27t11:30:00.000,2023-10-27t11:28:00.000,2023-10-27 11:29:00,2023-10-27,11:29:00,0,Regular departures
ls1872,jet2,landed,2023-10-27t11:45:00.000,2023-10-27t11:41:00.000,2023-10-27 11:41:00,2023-10-27,11:41:00,0,Regular departures
fr1940,ryanair,landed,2023-10-27t12:10:00.000,2023-10-27t12:18:00.000,2023-10-27 12:22:00,2023-10-27,12:22:00,13,Regular departures
u22716,easyjet,landed,2023-10-27t12:10:00.000,2023-10-27t12:02:00.000,2023-10-27 12:03:00,2023-10-27,12:03:00,0,Regular departures
u22840,easyjet,landed,2023-10-27t12:10:00.000,2023-10-27t12:13:00.000,2023-10-27 12:14:00,2023-10-27,12:14:00,4,Regular departures
u22704,easyjet,landed,2023-10-27t12:15:00.000,2023-10-27t12:15:00.000,2023-10-27 12:16:00,2023-10-27,12:16:00,2,Regular departures
x36535,tuifly,landed,2023-10-27t12:30:00.000,2023-10-27t12:10:00.000,2023-10-27 12:07:00,2023-10-27,12:07:00,0,Regular departures
fr2291,ryanair,landed,2023-10-27t12:35:00.000,2023-10-27t12:26:00.000,2023-10-27 12:25:00,2023-10-27,12:25:00,0,Regular departures
ls1806,jet2,landed,2023-10-27t12:35:00.000,2023-10-27t12:18:00.000,2023-10-27 12:19:00,2023-10-27,12:19:00,0,Regular departures
ls1860,jet2,landed,2023-10-27t12:40:00.000,2023-10-27t12:40:00.000,2023-10-27 12:41:00,2023-10-27,12:41:00,2,Regular departures
ls1836,jet2,landed,2023-10-27t12:45:00.000,2023-10-27t12:44:00.000,2023-10-27 12:44:00,2023-10-27,12:44:00,0,Regular departures
u22722,easyjet,landed,2023-10-27t12:45:00.000,2023-10-27t12:56:00.000,2023-10-27 12:58:00,2023-10-27,12:58:00,13,Regular departures
a3640,aegean airlines,landed,2023-10-27t12:55:00.000,2023-10-27t12:51:00.000,2023-10-27 12:51:00,2023-10-27,12:51:00,0,Regular departures
ls1822,jet2,landed,2023-10-27t13:00:00.000,2023-10-27t13:07:00.000,2023-10-27 13:07:00,2023-10-27,13:07:00,8,Regular departures
