flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
x36212,tuifly,active,2023-06-13t06:00:00.000,2023-06-13t06:00:00.000,2023-06-13 06:07:00,2023-06-13,06:07:00,8,Shoulder hour flights
x36254,tuifly,active,2023-06-13t06:00:00.000,2023-06-13t06:00:00.000,2023-06-13 06:16:00,2023-06-13,06:16:00,16,Shoulder hour flights
u22715,easyjet,active,2023-06-13t06:00:00.000,2023-06-13t06:00:00.000,2023-06-13 06:28:00,2023-06-13,06:28:00,29,Shoulder hour flights
ls1891,jet2,active,2023-06-13t06:05:00.000,2023-06-13t06:05:00.000,2023-06-13 06:13:00,2023-06-13,06:13:00,9,Shoulder hour flights
u22733,easyjet,active,2023-06-13t06:10:00.000,2023-06-13t06:23:00.000,2023-06-13 06:34:00,2023-06-13,06:34:00,25,Shoulder hour flights
u22765,easyjet,active,2023-06-13t06:10:00.000,2023-06-13t06:23:00.000,2023-06-13 06:36:00,2023-06-13,06:36:00,27,Shoulder hour flights
u22891,easyjet,active,2023-06-13t06:10:00.000,2023-06-13t06:20:00.000,2023-06-13 06:52:00,2023-06-13,06:52:00,42,Shoulder hour flights
fr505,ryanair,active,2023-06-13t06:15:00.000,2023-06-13t06:15:00.000,2023-06-13 06:20:00,2023-06-13,06:20:00,6,Shoulder hour flights
ls1821,jet2,active,2023-06-13t06:15:00.000,2023-06-13t06:15:00.000,2023-06-13 06:31:00,2023-06-13,06:31:00,16,Shoulder hour flights
u22837,easyjet,active,2023-06-13t06:15:00.000,2023-06-13t06:55:00.000,2023-06-13 06:55:00,2023-06-13,06:55:00,40,Shoulder hour flights
u22843,easyjet,active,2023-06-13t06:15:00.000,2023-06-13t06:28:00.000,2023-06-13 06:39:00,2023-06-13,06:39:00,25,Shoulder hour flights
af5199,air france,active,2023-06-13t06:20:00.000,2023-06-13t06:20:00.000,2023-06-13 06:42:00,2023-06-13,06:42:00,23,Shoulder hour flights
az3737,alitalia,active,2023-06-13t06:20:00.000,2023-06-13t06:20:00.000,2023-06-13 06:42:00,2023-06-13,06:42:00,23,Shoulder hour flights
dl9422,delta air lines,active,2023-06-13t06:20:00.000,2023-06-13t06:20:00.000,2023-06-13 06:42:00,2023-06-13,06:42:00,23,Shoulder hour flights
ey7330,etihad airways,active,2023-06-13t06:20:00.000,2023-06-13t06:20:00.000,2023-06-13 06:42:00,2023-06-13,06:42:00,23,Shoulder hour flights
g35535,gol,active,2023-06-13t06:20:00.000,2023-06-13t06:20:00.000,2023-06-13 06:42:00,2023-06-13,06:42:00,23,Shoulder hour flights
kq1046,kenya airways,active,2023-06-13t06:20:00.000,2023-06-13t06:20:00.000,2023-06-13 06:42:00,2023-06-13,06:42:00,23,Shoulder hour flights
vs6854,virgin atlantic,active,2023-06-13t06:20:00.000,2023-06-13t06:20:00.000,2023-06-13 06:42:00,2023-06-13,06:42:00,23,Shoulder hour flights
kl1046,klm,active,2023-06-13t06:20:00.000,2023-06-13t06:20:00.000,2023-06-13 06:42:00,2023-06-13,06:42:00,23,Shoulder hour flights
ls1817,jet2,active,2023-06-13t06:30:00.000,2023-06-13t06:50:00.000,2023-06-13 06:58:00,2023-06-13,06:58:00,29,Shoulder hour flights
x36272,tuifly,active,2023-06-13t06:30:00.000,2023-06-13t06:30:00.000,2023-06-13 07:02:00,2023-06-13,07:02:00,32,Regular departures
x36230,tuifly,active,2023-06-13t06:35:00.000,2023-06-13t06:45:00.000,2023-06-13 06:48:00,2023-06-13,06:48:00,13,Shoulder hour flights
u22702,easyjet,active,2023-06-13t06:50:00.000,2023-06-13t06:50:00.000,2023-06-13 07:21:00,2023-06-13,07:21:00,32,Regular departures
ls1859,jet2,active,2023-06-13t07:00:00.000,2023-06-13t07:00:00.000,2023-06-13 07:14:00,2023-06-13,07:14:00,15,Regular departures
u2223,easyjet,active,2023-06-13t07:00:00.000,2023-06-13t07:00:00.000,2023-06-13 07:19:00,2023-06-13,07:19:00,20,Regular departures
u22801,easyjet,active,2023-06-13t07:00:00.000,2023-06-13t07:00:00.000,2023-06-13 07:32:00,2023-06-13,07:32:00,32,Regular departures
u2201,easyjet,active,2023-06-13t07:05:00.000,2023-06-13t07:05:00.000,2023-06-13 07:12:00,2023-06-13,07:12:00,8,Regular departures
u2213,easyjet,active,2023-06-13t07:05:00.000,2023-06-13t07:05:00.000,2023-06-13 07:09:00,2023-06-13,07:09:00,5,Regular departures
u22921,easyjet,active,2023-06-13t07:05:00.000,2023-06-13t07:05:00.000,2023-06-13 07:16:00,2023-06-13,07:16:00,12,Regular departures
x36256,tuifly,active,2023-06-13t07:15:00.000,2023-06-13t07:15:00.000,2023-06-13 07:38:00,2023-06-13,07:38:00,23,Regular departures
u22773,easyjet,active,2023-06-13t07:15:00.000,2023-06-13t07:15:00.000,2023-06-13 07:34:00,2023-06-13,07:34:00,19,Regular departures
ls1871,jet2,active,2023-06-13t07:30:00.000,2023-06-13t07:40:00.000,2023-06-13 07:40:00,2023-06-13,07:40:00,10,Regular departures
fr8681,ryanair,active,2023-06-13t07:40:00.000,2023-06-13t07:40:00.000,2023-06-13 07:49:00,2023-06-13,07:49:00,10,Regular departures
fr4133,ryanair,active,2023-06-13t08:15:00.000,2023-06-13t08:15:00.000,2023-06-13 08:26:00,2023-06-13,08:26:00,12,Regular departures
ba8937,british airways,active,2023-06-13t08:25:00.000,2023-06-13t08:25:00.000,2023-06-13 08:54:00,2023-06-13,08:54:00,29,Regular departures
ei3281,aer lingus,active,2023-06-13t08:25:00.000,2023-06-13t08:25:00.000,2023-06-13 08:54:00,2023-06-13,08:54:00,29,Regular departures
fr1331,ryanair,active,2023-06-13t09:15:00.000,2023-06-13t09:50:00.000,2023-06-13 10:01:00,2023-06-13,10:01:00,46,Regular departures
dl9423,delta air lines,active,2023-06-13t09:15:00.000,2023-06-13t09:15:00.000,2023-06-13 09:22:00,2023-06-13,09:22:00,8,Regular departures
ey5843,etihad airways,active,2023-06-13t09:15:00.000,2023-06-13t09:15:00.000,2023-06-13 09:22:00,2023-06-13,09:22:00,8,Regular departures
kq1050,kenya airways,active,2023-06-13t09:15:00.000,2023-06-13t09:15:00.000,2023-06-13 09:22:00,2023-06-13,09:22:00,8,Regular departures
vs7044,virgin atlantic,active,2023-06-13t09:15:00.000,2023-06-13t09:15:00.000,2023-06-13 09:22:00,2023-06-13,09:22:00,8,Regular departures
kl1050,klm,active,2023-06-13t09:15:00.000,2023-06-13t09:15:00.000,2023-06-13 09:22:00,2023-06-13,09:22:00,8,Regular departures
u21724,easyjet,active,2023-06-13t09:20:00.000,2023-06-13t09:20:00.000,2023-06-13 09:31:00,2023-06-13,09:31:00,12,Regular departures
tp7609,tap air portugal,active,2023-06-13t09:40:00.000,2023-06-13t09:40:00.000,2023-06-13 09:48:00,2023-06-13,09:48:00,8,Regular departures
lh971,lufthansa,active,2023-06-13t09:40:00.000,2023-06-13t09:40:00.000,2023-06-13 09:48:00,2023-06-13,09:48:00,8,Regular departures
u27192,easyjet,active,2023-06-13t10:05:00.000,2023-06-13t10:05:00.000,2023-06-13 10:18:00,2023-06-13,10:18:00,14,Regular departures
u27508,easyjet,active,2023-06-13t10:10:00.000,2023-06-13t10:58:00.000,2023-06-13 10:58:00,2023-06-13,10:58:00,48,Regular departures
u22723,easyjet,active,2023-06-13t10:15:00.000,2023-06-13t10:48:00.000,2023-06-13 10:49:00,2023-06-13,10:49:00,35,Regular departures
u22895,easyjet,active,2023-06-13t10:35:00.000,2023-06-13t10:35:00.000,2023-06-13 10:41:00,2023-06-13,10:41:00,7,Regular departures
u2245,easyjet,active,2023-06-13t11:00:00.000,2023-06-13t11:00:00.000,2023-06-13 11:23:00,2023-06-13,11:23:00,23,Regular departures
u2225,easyjet,active,2023-06-13t11:05:00.000,2023-06-13t11:05:00.000,2023-06-13 11:07:00,2023-06-13,11:07:00,3,Regular departures
u22835,easyjet,active,2023-06-13t12:10:00.000,2023-06-13t12:10:00.000,2023-06-13 12:17:00,2023-06-13,12:17:00,8,Regular departures
u22927,easyjet,active,2023-06-13t12:20:00.000,2023-06-13t12:20:00.000,2023-06-13 12:22:00,2023-06-13,12:22:00,3,Regular departures
u22911,easyjet,active,2023-06-13t12:50:00.000,2023-06-13t12:50:00.000,2023-06-13 13:41:00,2023-06-13,13:41:00,51,Regular departures
ls1847,jet2,active,2023-06-13t13:15:00.000,2023-06-13t13:21:00.000,2023-06-13 14:02:00,2023-06-13,14:02:00,47,Regular departures
u22729,easyjet,active,2023-06-13t13:20:00.000,2023-06-13t13:39:00.000,2023-06-13 13:50:00,2023-06-13,13:50:00,31,Regular departures
u22775,easyjet,active,2023-06-13t13:25:00.000,2023-06-13t13:33:00.000,2023-06-13 13:48:00,2023-06-13,13:48:00,24,Regular departures
u22851,easyjet,active,2023-06-13t13:30:00.000,2023-06-13t13:36:00.000,2023-06-13 14:16:00,2023-06-13,14:16:00,46,Regular departures
ey7365,etihad airways,active,2023-06-13t13:45:00.000,2023-06-13t14:10:00.000,2023-06-13 14:08:00,2023-06-13,14:08:00,24,Regular departures
kq1052,kenya airways,active,2023-06-13t13:45:00.000,2023-06-13t14:10:00.000,2023-06-13 14:08:00,2023-06-13,14:08:00,24,Regular departures
vs7045,virgin atlantic,active,2023-06-13t13:45:00.000,2023-06-13t14:10:00.000,2023-06-13 14:08:00,2023-06-13,14:08:00,24,Regular departures
kl1052,klm,active,2023-06-13t13:45:00.000,2023-06-13t14:10:00.000,2023-06-13 14:08:00,2023-06-13,14:08:00,24,Regular departures
u22867,easyjet,active,2023-06-13t13:45:00.000,2023-06-13t13:45:00.000,2023-06-13 14:23:00,2023-06-13,14:23:00,39,Regular departures
u22913,easyjet,active,2023-06-13t13:50:00.000,2023-06-13t13:56:00.000,2023-06-13 14:39:00,2023-06-13,14:39:00,49,Regular departures
ls1801,jet2,active,2023-06-13t14:00:00.000,2023-06-13t14:40:00.000,2023-06-13 14:56:00,2023-06-13,14:56:00,57,Regular departures
x36238,tuifly,active,2023-06-13t14:05:00.000,2023-06-13t14:15:00.000,2023-06-13 14:29:00,2023-06-13,14:29:00,24,Regular departures
gr643,aurigny air services,active,2023-06-13t14:20:00.000,2023-06-13t14:45:00.000,2023-06-13 14:49:00,2023-06-13,14:49:00,29,Regular departures
x3562,tuifly,active,2023-06-13t14:25:00.000,2023-06-13t14:35:00.000,2023-06-13 14:47:00,2023-06-13,14:47:00,22,Regular departures
fr4753,ryanair,active,2023-06-13t14:35:00.000,2023-06-13t14:35:00.000,2023-06-13 15:14:00,2023-06-13,15:14:00,40,Regular departures
u22769,easyjet,active,2023-06-13t14:40:00.000,2023-06-13t14:40:00.000,2023-06-13 14:52:00,2023-06-13,14:52:00,13,Regular departures
u2217,easyjet,active,2023-06-13t15:00:00.000,2023-06-13t15:14:00.000,2023-06-13 15:21:00,2023-06-13,15:21:00,22,Regular departures
fr507,ryanair,active,2023-06-13t15:55:00.000,2023-06-13t15:55:00.000,2023-06-13 16:15:00,2023-06-13,16:15:00,21,Regular departures
ei3843,aer lingus,active,2023-06-13t16:00:00.000,2023-06-13t16:00:00.000,2023-06-13 16:17:00,2023-06-13,16:17:00,18,Regular departures
u27353,easyjet,active,2023-06-13t16:10:00.000,2023-06-13t16:43:00.000,2023-06-13 17:06:00,2023-06-13,17:06:00,57,Regular departures
ls1881,jet2,active,2023-06-13t16:15:00.000,2023-06-13t16:45:00.000,2023-06-13 16:41:00,2023-06-13,16:41:00,27,Regular departures
u2320,easyjet,active,2023-06-13t16:15:00.000,2023-06-13t16:15:00.000,2023-06-13 16:29:00,2023-06-13,16:29:00,15,Regular departures
x3638,tuifly,active,2023-06-13t16:20:00.000,2023-06-13t16:30:00.000,2023-06-13 16:48:00,2023-06-13,16:48:00,28,Regular departures
u2207,easyjet,active,2023-06-13t16:20:00.000,2023-06-13t16:20:00.000,2023-06-13 16:35:00,2023-06-13,16:35:00,15,Regular departures
x36278,tuifly,active,2023-06-13t16:30:00.000,2023-06-13t16:30:00.000,2023-06-13 16:44:00,2023-06-13,16:44:00,14,Regular departures
x3418,tuifly,active,2023-06-13t16:40:00.000,2023-06-13t16:50:00.000,2023-06-13 17:02:00,2023-06-13,17:02:00,22,Regular departures
ey5802,etihad airways,active,2023-06-13t17:30:00.000,2023-06-13t18:00:00.000,2023-06-13 18:03:00,2023-06-13,18:03:00,33,Regular departures
kq1054,kenya airways,active,2023-06-13t17:30:00.000,2023-06-13t18:00:00.000,2023-06-13 18:03:00,2023-06-13,18:03:00,33,Regular departures
vs7046,virgin atlantic,active,2023-06-13t17:30:00.000,2023-06-13t18:00:00.000,2023-06-13 18:03:00,2023-06-13,18:03:00,33,Regular departures
kl1054,klm,active,2023-06-13t17:30:00.000,2023-06-13t18:00:00.000,2023-06-13 18:03:00,2023-06-13,18:03:00,33,Regular departures
lh973,lufthansa,active,2023-06-13t17:45:00.000,2023-06-13t18:35:00.000,2023-06-13 18:31:00,2023-06-13,18:31:00,46,Regular departures
u22839,easyjet,active,2023-06-13t17:45:00.000,2023-06-13t17:45:00.000,2023-06-13 18:11:00,2023-06-13,18:11:00,27,Regular departures
u22707,easyjet,active,2023-06-13t17:50:00.000,2023-06-13t18:04:00.000,2023-06-13 18:14:00,2023-06-13,18:14:00,24,Regular departures
u22705,easyjet,active,2023-06-13t18:35:00.000,2023-06-13t18:47:00.000,2023-06-13 18:49:00,2023-06-13,18:49:00,14,Regular departures
u22875,easyjet,active,2023-06-13t18:45:00.000,2023-06-13t18:45:00.000,2023-06-13 18:58:00,2023-06-13,18:58:00,13,Regular departures
fr4121,ryanair,active,2023-06-13t19:20:00.000,2023-06-13t19:20:00.000,2023-06-13 19:31:00,2023-06-13,19:31:00,12,Regular departures
u22767,easyjet,active,2023-06-13t19:20:00.000,2023-06-13t19:57:00.000,2023-06-13 20:17:00,2023-06-13,20:17:00,57,Regular departures
u24052,easyjet,active,2023-06-13t19:20:00.000,2023-06-13t19:34:00.000,2023-06-13 19:59:00,2023-06-13,19:59:00,40,Regular departures
ba8943,british airways,active,2023-06-13t19:40:00.000,2023-06-13t19:40:00.000,2023-06-13 19:51:00,2023-06-13,19:51:00,11,Regular departures
ei3287,aer lingus,active,2023-06-13t19:40:00.000,2023-06-13t19:40:00.000,2023-06-13 19:51:00,2023-06-13,19:51:00,11,Regular departures
u2229,easyjet,active,2023-06-13t19:45:00.000,2023-06-13t20:19:00.000,2023-06-13 20:24:00,2023-06-13,20:24:00,40,Regular departures
u22725,easyjet,active,2023-06-13t19:45:00.000,2023-06-13t19:49:00.000,2023-06-13 20:06:00,2023-06-13,20:06:00,22,Regular departures
u2316,easyjet,active,2023-06-13t21:30:00.000,2023-06-13t21:30:00.000,2023-06-13 21:23:00,2023-06-13,21:23:00,0,Regular departures
si475,blue islands,active,2023-06-13t08:40:00.000,2023-06-13t08:50:00.000,2023-06-13 08:58:00,2023-06-13,08:58:00,18,Regular departures
