flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr3560,ryanair,active,2023-06-11t05:55:00.000,2023-06-11t05:55:00.000,2023-06-11 06:04:00,2023-06-11,06:04:00,9,Shoulder hour flights
fr8202,ryanair,active,2023-06-11t05:55:00.000,2023-06-11t05:55:00.000,2023-06-11 06:00:00,2023-06-11,06:00:00,5,Shoulder hour flights
x36710,tuifly,active,2023-06-11t06:00:00.000,2023-06-11t06:10:00.000,2023-06-11 06:18:00,2023-06-11,06:18:00,18,Shoulder hour flights
u22815,easyjet,active,2023-06-11t06:00:00.000,2023-06-11t06:00:00.000,2023-06-11 06:16:00,2023-06-11,06:16:00,16,Shoulder hour flights
u22853,easyjet,active,2023-06-11t06:00:00.000,2023-06-11t06:00:00.000,2023-06-11 06:13:00,2023-06-11,06:13:00,14,Shoulder hour flights
u22891,easyjet,active,2023-06-11t06:10:00.000,2023-06-11t06:10:00.000,2023-06-11 06:21:00,2023-06-11,06:21:00,11,Shoulder hour flights
u22939,easyjet,active,2023-06-11t06:10:00.000,2023-06-11t06:10:00.000,2023-06-11 06:23:00,2023-06-11,06:23:00,13,Shoulder hour flights
ls1815,jet2,active,2023-06-11t06:15:00.000,2023-06-11t06:23:00.000,2023-06-11 06:47:00,2023-06-11,06:47:00,33,Shoulder hour flights
ls1871,jet2,active,2023-06-11t06:15:00.000,2023-06-11t06:25:00.000,2023-06-11 06:28:00,2023-06-11,06:28:00,14,Shoulder hour flights
u22715,easyjet,active,2023-06-11t06:15:00.000,2023-06-11t06:28:00.000,2023-06-11 06:34:00,2023-06-11,06:34:00,19,Shoulder hour flights
u22731,easyjet,active,2023-06-11t06:15:00.000,2023-06-11t06:49:00.000,2023-06-11 07:00:00,2023-06-11,07:00:00,45,Regular departures
u22702,easyjet,active,2023-06-11t06:15:00.000,2023-06-11t06:15:00.000,2023-06-11 06:26:00,2023-06-11,06:26:00,11,Shoulder hour flights
af5199,air france,active,2023-06-11t06:20:00.000,2023-06-11t06:32:00.000,2023-06-11 06:38:00,2023-06-11,06:38:00,18,Shoulder hour flights
az3737,alitalia,active,2023-06-11t06:20:00.000,2023-06-11t06:32:00.000,2023-06-11 06:38:00,2023-06-11,06:38:00,18,Shoulder hour flights
dl9422,delta air lines,active,2023-06-11t06:20:00.000,2023-06-11t06:32:00.000,2023-06-11 06:38:00,2023-06-11,06:38:00,18,Shoulder hour flights
ey7330,etihad airways,active,2023-06-11t06:20:00.000,2023-06-11t06:32:00.000,2023-06-11 06:38:00,2023-06-11,06:38:00,18,Shoulder hour flights
g35535,gol,active,2023-06-11t06:20:00.000,2023-06-11t06:32:00.000,2023-06-11 06:38:00,2023-06-11,06:38:00,18,Shoulder hour flights
kq1046,kenya airways,active,2023-06-11t06:20:00.000,2023-06-11t06:32:00.000,2023-06-11 06:38:00,2023-06-11,06:38:00,18,Shoulder hour flights
vs6854,virgin atlantic,active,2023-06-11t06:20:00.000,2023-06-11t06:32:00.000,2023-06-11 06:38:00,2023-06-11,06:38:00,18,Shoulder hour flights
kl1046,klm,active,2023-06-11t06:20:00.000,2023-06-11t06:32:00.000,2023-06-11 06:38:00,2023-06-11,06:38:00,18,Shoulder hour flights
