flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
u22883,easyjet,active,2023-12-02t06:00:00.000,2023-12-02t06:23:00.000,2023-12-02 06:47:00,2023-12-02,06:47:00,48,Shoulder hour flights
u22713,easyjet,active,2023-12-02t06:05:00.000,2023-12-02t06:05:00.000,2023-12-02 06:21:00,2023-12-02,06:21:00,16,Shoulder hour flights
af5199,air france,active,2023-12-02t06:15:00.000,2023-12-02t06:30:00.000,2023-12-02 06:45:00,2023-12-02,06:45:00,30,Shoulder hour flights
az3737,alitalia,active,2023-12-02t06:15:00.000,2023-12-02t06:30:00.000,2023-12-02 06:45:00,2023-12-02,06:45:00,30,Shoulder hour flights
dl9422,delta air lines,active,2023-12-02t06:15:00.000,2023-12-02t06:30:00.000,2023-12-02 06:45:00,2023-12-02,06:45:00,30,Shoulder hour flights
ey7330,etihad airways,active,2023-12-02t06:15:00.000,2023-12-02t06:30:00.000,2023-12-02 06:45:00,2023-12-02,06:45:00,30,Shoulder hour flights
g35535,gol,active,2023-12-02t06:15:00.000,2023-12-02t06:30:00.000,2023-12-02 06:45:00,2023-12-02,06:45:00,30,Shoulder hour flights
kq1046,kenya airways,active,2023-12-02t06:15:00.000,2023-12-02t06:30:00.000,2023-12-02 06:45:00,2023-12-02,06:45:00,30,Shoulder hour flights
vs6854,virgin atlantic,active,2023-12-02t06:15:00.000,2023-12-02t06:30:00.000,2023-12-02 06:45:00,2023-12-02,06:45:00,30,Shoulder hour flights
kl1046,klm,active,2023-12-02t06:15:00.000,2023-12-02t06:30:00.000,2023-12-02 06:45:00,2023-12-02,06:45:00,30,Shoulder hour flights
u22719,easyjet,active,2023-12-02t06:30:00.000,2023-12-02t06:45:00.000,2023-12-02 07:12:00,2023-12-02,07:12:00,42,Regular departures
u2213,easyjet,active,2023-12-02t06:35:00.000,2023-12-02t06:35:00.000,2023-12-02 07:18:00,2023-12-02,07:18:00,44,Regular departures
u22871,easyjet,active,2023-12-02t06:40:00.000,2023-12-02t06:40:00.000,2023-12-02 07:03:00,2023-12-02,07:03:00,24,Regular departures
fr1591,ryanair,active,2023-12-02t07:00:00.000,2023-12-02t07:35:00.000,2023-12-02 07:37:00,2023-12-02,07:37:00,38,Regular departures
u22733,easyjet,active,2023-12-02t07:00:00.000,2023-12-02t07:00:00.000,2023-12-02 07:46:00,2023-12-02,07:46:00,46,Regular departures
u22921,easyjet,active,2023-12-02t07:00:00.000,2023-12-02t07:12:00.000,2023-12-02 07:25:00,2023-12-02,07:25:00,25,Regular departures
fr9503,ryanair,active,2023-12-02t07:10:00.000,2023-12-02t07:10:00.000,2023-12-02 07:34:00,2023-12-02,07:34:00,24,Regular departures
u22703,easyjet,active,2023-12-02t07:10:00.000,2023-12-02t07:10:00.000,2023-12-02 08:00:00,2023-12-02,08:00:00,51,Regular departures
u22957,easyjet,active,2023-12-02t07:20:00.000,2023-12-02t07:45:00.000,2023-12-02 07:55:00,2023-12-02,07:55:00,35,Regular departures
ls1893,jet2,active,2023-12-02t07:30:00.000,2023-12-02t07:45:00.000,2023-12-02 07:58:00,2023-12-02,07:58:00,28,Regular departures
fr8224,ryanair,active,2023-12-02t07:55:00.000,2023-12-02t07:55:00.000,2023-12-02 08:18:00,2023-12-02,08:18:00,24,Regular departures
fr505,ryanair,active,2023-12-02t08:00:00.000,2023-12-02t08:35:00.000,2023-12-02 08:33:00,2023-12-02,08:33:00,33,Regular departures
ba8937,british airways,active,2023-12-02t08:05:00.000,2023-12-02t08:15:00.000,2023-12-02 08:20:00,2023-12-02,08:20:00,16,Regular departures
ei3281,aer lingus,active,2023-12-02t08:05:00.000,2023-12-02t08:15:00.000,2023-12-02 08:20:00,2023-12-02,08:20:00,16,Regular departures
x36664,tuifly,active,2023-12-02t08:30:00.000,2023-12-02t08:30:00.000,2023-12-02 09:15:00,2023-12-02,09:15:00,45,Regular departures
