flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr4147,ryanair,active,2024-03-29t05:55:00.000,2024-03-29t05:55:00.000,2024-03-29 06:08:00,2024-03-29,06:08:00,13,Shoulder hour flights
fr5341,ryanair,active,2024-03-29t06:00:00.000,2024-03-29t06:00:00.000,2024-03-29 06:14:00,2024-03-29,06:14:00,15,Shoulder hour flights
fr4755,ryanair,active,2024-03-29t06:05:00.000,2024-03-29t06:05:00.000,2024-03-29 06:10:00,2024-03-29,06:10:00,5,Shoulder hour flights
u22713,easyjet,active,2024-03-29t06:05:00.000,2024-03-29t06:05:00.000,2024-03-29 06:23:00,2024-03-29,06:23:00,18,Shoulder hour flights
x3780,tuifly,active,2024-03-29t06:10:00.000,2024-03-29t06:10:00.000,2024-03-29 06:20:00,2024-03-29,06:20:00,11,Shoulder hour flights
u22937,easyjet,active,2024-03-29t06:30:00.000,2024-03-29t06:30:00.000,2024-03-29 06:36:00,2024-03-29,06:36:00,6,Shoulder hour flights
u22957,easyjet,active,2024-03-29t06:50:00.000,2024-03-29t06:50:00.000,2024-03-29 06:54:00,2024-03-29,06:54:00,4,Shoulder hour flights
ls1871,jet2,active,2024-03-29t06:55:00.000,2024-03-29t06:55:00.000,2024-03-29 07:02:00,2024-03-29,07:02:00,7,Regular departures
fr2292,ryanair,active,2024-03-29t07:00:00.000,2024-03-29t07:00:00.000,2024-03-29 06:59:00,2024-03-29,06:59:00,0,Shoulder hour flights
ls1835,jet2,active,2024-03-29t07:05:00.000,2024-03-29t07:05:00.000,2024-03-29 07:16:00,2024-03-29,07:16:00,11,Regular departures
u2213,easyjet,active,2024-03-29t07:05:00.000,2024-03-29t07:05:00.000,2024-03-29 07:05:00,2024-03-29,07:05:00,1,Regular departures
u22951,easyjet,active,2024-03-29t07:05:00.000,2024-03-29t07:05:00.000,2024-03-29 07:14:00,2024-03-29,07:14:00,10,Regular departures
u22703,easyjet,active,2024-03-29t07:10:00.000,2024-03-29t07:10:00.000,2024-03-29 07:23:00,2024-03-29,07:23:00,13,Regular departures
u22883,easyjet,active,2024-03-29t07:10:00.000,2024-03-29t07:10:00.000,2024-03-29 07:34:00,2024-03-29,07:34:00,24,Regular departures
fr505,ryanair,active,2024-03-29t07:20:00.000,2024-03-29t07:20:00.000,2024-03-29 07:38:00,2024-03-29,07:38:00,18,Regular departures
u22773,easyjet,active,2024-03-29t07:20:00.000,2024-03-29t07:20:00.000,2024-03-29 07:40:00,2024-03-29,07:40:00,20,Regular departures
u22931,easyjet,active,2024-03-29t07:30:00.000,2024-03-29t07:30:00.000,2024-03-29 07:43:00,2024-03-29,07:43:00,14,Regular departures
fr7949,ryanair,active,2024-03-29t07:35:00.000,2024-03-29t07:50:00.000,2024-03-29 07:47:00,2024-03-29,07:47:00,12,Regular departures
u22721,easyjet,active,2024-03-29t07:40:00.000,2024-03-29t07:45:00.000,2024-03-29 07:49:00,2024-03-29,07:49:00,9,Regular departures
u22867,easyjet,active,2024-03-29t07:40:00.000,2024-03-29t07:40:00.000,2024-03-29 07:56:00,2024-03-29,07:56:00,17,Regular departures
u22871,easyjet,active,2024-03-29t07:40:00.000,2024-03-29t07:55:00.000,2024-03-29 08:01:00,2024-03-29,08:01:00,21,Regular departures
u22921,easyjet,active,2024-03-29t07:45:00.000,2024-03-29t07:45:00.000,2024-03-29 07:54:00,2024-03-29,07:54:00,9,Regular departures
u22783,easyjet,active,2024-03-29t08:00:00.000,2024-03-29t08:27:00.000,2024-03-29 08:34:00,2024-03-29,08:34:00,35,Regular departures
ba8937,british airways,active,2024-03-29t08:05:00.000,2024-03-29t08:15:00.000,2024-03-29 08:30:00,2024-03-29,08:30:00,26,Regular departures
qr9658,qatar airways,active,2024-03-29t08:05:00.000,2024-03-29t08:15:00.000,2024-03-29 08:30:00,2024-03-29,08:30:00,26,Regular departures
ei3281,aer lingus,active,2024-03-29t08:05:00.000,2024-03-29t08:15:00.000,2024-03-29 08:30:00,2024-03-29,08:30:00,26,Regular departures
u298,easyjet,active,2024-03-29t08:10:00.000,2024-03-29t08:25:00.000,2024-03-29 08:38:00,2024-03-29,08:38:00,29,Regular departures
fr4133,ryanair,active,2024-03-29t08:15:00.000,2024-03-29t08:15:00.000,2024-03-29 08:40:00,2024-03-29,08:40:00,26,Regular departures
ls1891,jet2,active,2024-03-29t08:15:00.000,2024-03-29t08:20:00.000,2024-03-29 08:26:00,2024-03-29,08:26:00,11,Regular departures
u21444,easyjet,active,2024-03-29t08:30:00.000,2024-03-29t08:30:00.000,2024-03-29 08:36:00,2024-03-29,08:36:00,7,Regular departures
u2322,easyjet,active,2024-03-29t08:45:00.000,2024-03-29t08:49:00.000,2024-03-29 09:15:00,2024-03-29,09:15:00,31,Regular departures
dl9423,delta air lines,active,2024-03-29t09:00:00.000,2024-03-29t09:00:00.000,2024-03-29 09:19:00,2024-03-29,09:19:00,19,Regular departures
ey5843,etihad airways,active,2024-03-29t09:00:00.000,2024-03-29t09:00:00.000,2024-03-29 09:19:00,2024-03-29,09:19:00,19,Regular departures
kq1050,kenya airways,active,2024-03-29t09:00:00.000,2024-03-29t09:00:00.000,2024-03-29 09:19:00,2024-03-29,09:19:00,19,Regular departures
vs7044,virgin atlantic,active,2024-03-29t09:00:00.000,2024-03-29t09:00:00.000,2024-03-29 09:19:00,2024-03-29,09:19:00,19,Regular departures
zq1050,german airways,active,2024-03-29t09:00:00.000,2024-03-29t09:00:00.000,2024-03-29 09:19:00,2024-03-29,09:19:00,19,Regular departures
fr155,ryanair,active,2024-03-29t09:10:00.000,2024-03-29t09:10:00.000,2024-03-29 09:21:00,2024-03-29,09:21:00,11,Regular departures
ls1801,jet2,active,2024-03-29t10:00:00.000,2024-03-29t10:00:00.000,2024-03-29 10:09:00,2024-03-29,10:09:00,10,Regular departures
ls1855,jet2,active,2024-03-29t10:00:00.000,2024-03-29t10:15:00.000,2024-03-29 10:12:00,2024-03-29,10:12:00,12,Regular departures
u2245,easyjet,active,2024-03-29t10:25:00.000,2024-03-29t10:25:00.000,2024-03-29 10:25:00,2024-03-29,10:25:00,0,Regular departures
u22881,easyjet,active,2024-03-29t10:35:00.000,2024-03-29t10:35:00.000,2024-03-29 10:45:00,2024-03-29,10:45:00,10,Regular departures
u22885,easyjet,active,2024-03-29t11:00:00.000,2024-03-29t11:27:00.000,2024-03-29 11:33:00,2024-03-29,11:33:00,34,Regular departures
x36508,tuifly,active,2024-03-29t11:05:00.000,2024-03-29t11:05:00.000,2024-03-29 11:15:00,2024-03-29,11:15:00,11,Regular departures
u22935,easyjet,active,2024-03-29t11:30:00.000,2024-03-29t11:31:00.000,2024-03-29 11:45:00,2024-03-29,11:45:00,16,Regular departures
u2237,easyjet,active,2024-03-29t11:45:00.000,2024-03-29t12:15:00.000,2024-03-29 12:28:00,2024-03-29,12:28:00,44,Regular departures
fr8202,ryanair,active,2024-03-29t12:10:00.000,2024-03-29t12:10:00.000,2024-03-29 12:21:00,2024-03-29,12:21:00,11,Regular departures
u22837,easyjet,active,2024-03-29t12:50:00.000,2024-03-29t12:50:00.000,2024-03-29 12:59:00,2024-03-29,12:59:00,9,Regular departures
u22839,easyjet,active,2024-03-29t12:50:00.000,2024-03-29t12:50:00.000,2024-03-29 13:00:00,2024-03-29,13:00:00,11,Regular departures
ls1809,jet2,active,2024-03-29t13:30:00.000,2024-03-29t13:54:00.000,2024-03-29 14:00:00,2024-03-29,14:00:00,31,Regular departures
fr6221,ryanair,active,2024-03-29t13:35:00.000,2024-03-29t13:35:00.000,2024-03-29 13:30:00,2024-03-29,13:30:00,0,Regular departures
u22731,easyjet,active,2024-03-29t13:50:00.000,2024-03-29t13:50:00.000,2024-03-29 14:04:00,2024-03-29,14:04:00,14,Regular departures
ls1817,jet2,active,2024-03-29t14:00:00.000,2024-03-29t14:20:00.000,2024-03-29 14:31:00,2024-03-29,14:31:00,32,Regular departures
