flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22736,easyjet,landed,2023-09-10t01:05:00.000,2023-09-10t01:17:00.000,2023-09-10 01:17:00,2023-09-10,01:17:00,12,Night hour departures
u22726,easyjet,landed,2023-09-10t01:25:00.000,2023-09-10t01:38:00.000,2023-09-10 01:35:00,2023-09-10,01:35:00,11,Night hour departures
x36655,tuifly,landed,2023-09-10t01:40:00.000,2023-09-10t01:50:00.000,2023-09-10 01:52:00,2023-09-10,01:52:00,12,Night hour departures
u22914,easyjet,landed,2023-09-10t01:45:00.000,2023-09-10t01:38:00.000,2023-09-10 01:48:00,2023-09-10,01:48:00,4,Night hour departures
u22850,easyjet,landed,2023-09-10t02:05:00.000,2023-09-10t01:53:00.000,2023-09-10 01:59:00,2023-09-10,01:59:00,0,Night hour departures
ba8936,british airways,landed,2023-09-10t07:55:00.000,2023-09-10t08:18:00.000,2023-09-10 08:19:00,2023-09-10,08:19:00,25,Regular departures
ei3280,aer lingus,landed,2023-09-10t07:55:00.000,2023-09-10t08:18:00.000,2023-09-10 08:19:00,2023-09-10,08:19:00,25,Regular departures
fr7948,ryanair,landed,2023-09-10t08:00:00.000,2023-09-10t07:44:00.000,2023-09-10 07:45:00,2023-09-10,07:45:00,0,Regular departures
rr1940,ryanair sun,landed,2023-09-10t08:35:00.000,2023-09-10t08:41:00.000,2023-09-10 08:42:00,2023-09-10,08:42:00,8,Regular departures
fr4122,ryanair,landed,2023-09-10t08:40:00.000,2023-09-10t08:16:00.000,2023-09-10 08:12:00,2023-09-10,08:12:00,0,Regular departures
u27507,easyjet,landed,2023-09-10t08:40:00.000,2023-09-10t08:19:00.000,2023-09-10 08:16:00,2023-09-10,08:16:00,0,Regular departures
fr8203,ryanair,landed,2023-09-10t08:50:00.000,2023-09-10t08:33:00.000,2023-09-10 08:29:00,2023-09-10,08:29:00,0,Regular departures
lh970,lufthansa,landed,2023-09-10t09:00:00.000,2023-09-10t08:42:00.000,2023-09-10 08:47:00,2023-09-10,08:47:00,0,Regular departures
u27191,easyjet,landed,2023-09-10t09:05:00.000,2023-09-10t08:37:00.000,2023-09-10 08:38:00,2023-09-10,08:38:00,0,Regular departures
u2224,easyjet,landed,2023-09-10t10:35:00.000,2023-09-10t10:30:00.000,2023-09-10 10:31:00,2023-09-10,10:31:00,0,Regular departures
gr642,aurigny air services,landed,2023-09-10t10:45:00.000,2023-09-10t10:29:00.000,2023-09-10 10:24:00,2023-09-10,10:24:00,0,Regular departures
u22842,easyjet,landed,2023-09-10t11:25:00.000,2023-09-10t11:21:00.000,2023-09-10 11:25:00,2023-09-10,11:25:00,1,Regular departures
u22884,easyjet,landed,2023-09-10t11:35:00.000,2023-09-10t11:33:00.000,2023-09-10 11:34:00,2023-09-10,11:34:00,0,Regular departures
u24979,easyjet,landed,2023-09-10t11:40:00.000,2023-09-10t11:20:00.000,2023-09-10 11:30:00,2023-09-10,11:30:00,0,Regular departures
ls1872,jet2,landed,2023-09-10t11:45:00.000,2023-09-10t11:43:00.000,2023-09-10 11:43:00,2023-09-10,11:43:00,0,Regular departures
fr9335,ryanair,landed,2023-09-10t11:50:00.000,2023-09-10t11:38:00.000,2023-09-10 11:37:00,2023-09-10,11:37:00,0,Regular departures
fr504,ryanair,landed,2023-09-10t11:55:00.000,2023-09-10t11:55:00.000,2023-09-10 11:56:00,2023-09-10,11:56:00,1,Regular departures
x36737,tuifly,landed,2023-09-10t11:55:00.000,2023-09-10t12:03:00.000,2023-09-10 12:06:00,2023-09-10,12:06:00,12,Regular departures
u22701,easyjet,landed,2023-09-10t11:55:00.000,2023-09-10t11:40:00.000,2023-09-10 11:40:00,2023-09-10,11:40:00,0,Regular departures
u22840,easyjet,landed,2023-09-10t11:55:00.000,2023-09-10t12:26:00.000,2023-09-10 12:25:00,2023-09-10,12:25:00,31,Regular departures
x36711,tuifly,landed,2023-09-10t12:10:00.000,2023-09-10t12:18:00.000,2023-09-10 12:19:00,2023-09-10,12:19:00,9,Regular departures
u22892,easyjet,landed,2023-09-10t12:15:00.000,2023-09-10t12:21:00.000,2023-09-10 12:22:00,2023-09-10,12:22:00,7,Regular departures
