flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22912,easyjet,landed,2023-09-06t01:05:00.000,2023-09-06t01:01:00.000,2023-09-06 01:01:00,2023-09-06,01:01:00,0,Night hour departures
u22726,easyjet,landed,2023-09-06t01:15:00.000,2023-09-06t01:45:00.000,2023-09-06 01:44:00,2023-09-06,01:44:00,30,Night hour departures
u22854,easyjet,landed,2023-09-06t01:20:00.000,2023-09-06t01:33:00.000,2023-09-06 01:32:00,2023-09-06,01:32:00,12,Night hour departures
ls1882,jet2,landed,2023-09-06t01:25:00.000,2023-09-06t01:35:00.000,2023-09-06 01:36:00,2023-09-06,01:36:00,11,Night hour departures
x36279,tuifly,landed,2023-09-06t01:35:00.000,2023-09-06t01:10:00.000,2023-09-06 01:08:00,2023-09-06,01:08:00,0,Night hour departures
u22914,easyjet,landed,2023-09-06t02:05:00.000,2023-09-06t01:24:00.000,2023-09-06 01:26:00,2023-09-06,01:26:00,0,Night hour departures
x3639,tuifly,landed,2023-09-06t02:15:00.000,2023-09-06t02:00:00.000,2023-09-06 02:02:00,2023-09-06,02:02:00,0,Night hour departures
ls1810,jet2,landed,2023-09-06t02:20:00.000,2023-09-06t02:43:00.000,2023-09-06 02:34:00,2023-09-06,02:34:00,14,Night hour departures
x3419,tuifly,landed,2023-09-06t02:25:00.000,2023-09-06t02:16:00.000,2023-09-06 02:16:00,2023-09-06,02:16:00,0,Night hour departures
x3563,tuifly,landed,2023-09-06t03:00:00.000,2023-09-06t03:08:00.000,2023-09-06 03:06:00,2023-09-06,03:06:00,6,Night hour departures
rr6220,ryanair sun,landed,2023-09-06t07:40:00.000,2023-09-06t07:39:00.000,2023-09-06 07:36:00,2023-09-06,07:36:00,0,Regular departures
fr2291,ryanair,landed,2023-09-06t07:45:00.000,2023-09-06t07:15:00.000,2023-09-06 07:11:00,2023-09-06,07:11:00,0,Regular departures
ba8936,british airways,landed,2023-09-06t07:55:00.000,2023-09-06t08:02:00.000,2023-09-06 07:56:00,2023-09-06,07:56:00,1,Regular departures
ei3280,aer lingus,landed,2023-09-06t07:55:00.000,2023-09-06t08:02:00.000,2023-09-06 07:56:00,2023-09-06,07:56:00,1,Regular departures
gr642,aurigny air services,landed,2023-09-06t08:15:00.000,2023-09-06t08:00:00.000,2023-09-06 07:59:00,2023-09-06,07:59:00,0,Regular departures
u27507,easyjet,landed,2023-09-06t08:40:00.000,2023-09-06t08:15:00.000,2023-09-06 08:12:00,2023-09-06,08:12:00,0,Regular departures
af3161,air france,landed,2023-09-06t08:45:00.000,2023-09-06t08:40:00.000,2023-09-06 08:34:00,2023-09-06,08:34:00,0,Regular departures
dl9629,delta air lines,landed,2023-09-06t08:45:00.000,2023-09-06t08:40:00.000,2023-09-06 08:34:00,2023-09-06,08:34:00,0,Regular departures
ey7395,etihad airways,landed,2023-09-06t08:45:00.000,2023-09-06t08:40:00.000,2023-09-06 08:34:00,2023-09-06,08:34:00,0,Regular departures
