flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
fr7948,ryanair,landed,2024-01-04t07:05:00.000,2024-01-04t06:43:00.000,2024-01-04 06:43:00,2024-01-04,06:43:00,0,Shoulder hour flights
u21443,easyjet,landed,2024-01-04t07:25:00.000,2024-01-04t07:07:00.000,2024-01-04 07:07:00,2024-01-04,07:07:00,0,Regular departures
ba8936,british airways,landed,2024-01-04t07:35:00.000,2024-01-04t07:21:00.000,2024-01-04 07:22:00,2024-01-04,07:22:00,0,Regular departures
ei3280,aer lingus,landed,2024-01-04t07:35:00.000,2024-01-04t07:21:00.000,2024-01-04 07:22:00,2024-01-04,07:22:00,0,Regular departures
fr504,ryanair,landed,2024-01-04t08:15:00.000,2024-01-04t08:07:00.000,2024-01-04 08:08:00,2024-01-04,08:08:00,0,Regular departures
af3161,air france,landed,2024-01-04t08:35:00.000,2024-01-04t08:34:00.000,2024-01-04 08:34:00,2024-01-04,08:34:00,0,Regular departures
dl9629,delta air lines,landed,2024-01-04t08:35:00.000,2024-01-04t08:34:00.000,2024-01-04 08:34:00,2024-01-04,08:34:00,0,Regular departures
ey7395,etihad airways,landed,2024-01-04t08:35:00.000,2024-01-04t08:34:00.000,2024-01-04 08:34:00,2024-01-04,08:34:00,0,Regular departures
vs7040,virgin atlantic,landed,2024-01-04t08:35:00.000,2024-01-04t08:34:00.000,2024-01-04 08:34:00,2024-01-04,08:34:00,0,Regular departures
zq1049,german airways,landed,2024-01-04t08:35:00.000,2024-01-04t08:34:00.000,2024-01-04 08:34:00,2024-01-04,08:34:00,0,Regular departures
u2238,easyjet,landed,2024-01-04t09:40:00.000,2024-01-04t09:25:00.000,2024-01-04 09:25:00,2024-01-04,09:25:00,0,Regular departures
u2224,easyjet,landed,2024-01-04t09:45:00.000,2024-01-04t09:33:00.000,2024-01-04 09:33:00,2024-01-04,09:33:00,0,Regular departures
u2214,easyjet,landed,2024-01-04t10:00:00.000,2024-01-04t09:46:00.000,2024-01-04 09:47:00,2024-01-04,09:47:00,0,Regular departures
u22774,easyjet,landed,2024-01-04t10:55:00.000,2024-01-04t11:10:00.000,2024-01-04 11:10:00,2024-01-04,11:10:00,15,Regular departures
u22922,easyjet,landed,2024-01-04t11:00:00.000,2024-01-04t10:45:00.000,2024-01-04 10:45:00,2024-01-04,10:45:00,0,Regular departures
fr4756,ryanair,landed,2024-01-04t11:10:00.000,2024-01-04t10:48:00.000,2024-01-04 10:48:00,2024-01-04,10:48:00,0,Regular departures
u22952,easyjet,landed,2024-01-04t11:15:00.000,2024-01-04t11:02:00.000,2024-01-04 11:02:00,2024-01-04,11:02:00,0,Regular departures
u22784,easyjet,landed,2024-01-04t11:55:00.000,2024-01-04t11:58:00.000,2024-01-04 12:03:00,2024-01-04,12:03:00,8,Regular departures
fr8682,ryanair,landed,2024-01-04t12:10:00.000,2024-01-04t12:07:00.000,2024-01-04 12:08:00,2024-01-04,12:08:00,0,Regular departures
fr2799,ryanair,landed,2024-01-04t12:25:00.000,2024-01-04t12:39:00.000,2024-01-04 12:41:00,2024-01-04,12:41:00,16,Regular departures
u22714,easyjet,landed,2024-01-04t12:30:00.000,2024-01-04t12:02:00.000,2024-01-04 11:59:00,2024-01-04,11:59:00,0,Regular departures
