flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22852,easyjet,landed,2023-07-01t02:00:00.000,2023-07-01t02:22:00.000,2023-07-01 02:23:00,2023-07-01,02:23:00,23,Night hour departures
x3837,tuifly,landed,2023-07-01t03:00:00.000,2023-07-01t03:21:00.000,2023-07-01 03:10:00,2023-07-01,03:10:00,10,Night hour departures
x3325,tuifly,landed,2023-07-01t03:35:00.000,2023-07-01t03:42:00.000,2023-07-01 03:43:00,2023-07-01,03:43:00,8,Night hour departures
fr8682,ryanair,landed,2023-07-01t07:50:00.000,2023-07-01t07:41:00.000,2023-07-01 07:42:00,2023-07-01,07:42:00,0,Regular departures
ba8936,british airways,landed,2023-07-01t07:55:00.000,2023-07-01t08:04:00.000,2023-07-01 08:04:00,2023-07-01,08:04:00,10,Regular departures
ei3280,aer lingus,landed,2023-07-01t07:55:00.000,2023-07-01t08:04:00.000,2023-07-01 08:04:00,2023-07-01,08:04:00,10,Regular departures
fr4122,ryanair,landed,2023-07-01t07:55:00.000,2023-07-01t07:59:00.000,2023-07-01 08:01:00,2023-07-01,08:01:00,6,Regular departures
fr5342,ryanair,landed,2023-07-01t07:55:00.000,2023-07-01t07:49:00.000,2023-07-01 07:46:00,2023-07-01,07:46:00,0,Regular departures
gr642,aurigny air services,landed,2023-07-01t08:15:00.000,2023-07-01t07:57:00.000,2023-07-01 07:59:00,2023-07-01,07:59:00,0,Regular departures
af3161,air france,landed,2023-07-01t08:45:00.000,2023-07-01t08:42:00.000,2023-07-01 08:42:00,2023-07-01,08:42:00,0,Regular departures
dl9629,delta air lines,landed,2023-07-01t08:45:00.000,2023-07-01t08:42:00.000,2023-07-01 08:42:00,2023-07-01,08:42:00,0,Regular departures
ey7395,etihad airways,landed,2023-07-01t08:45:00.000,2023-07-01t08:42:00.000,2023-07-01 08:42:00,2023-07-01,08:42:00,0,Regular departures
vs7040,virgin atlantic,landed,2023-07-01t08:45:00.000,2023-07-01t08:42:00.000,2023-07-01 08:42:00,2023-07-01,08:42:00,0,Regular departures
kl1049,klm,landed,2023-07-01t08:45:00.000,2023-07-01t08:42:00.000,2023-07-01 08:42:00,2023-07-01,08:42:00,0,Regular departures
fr504,ryanair,landed,2023-07-01t09:05:00.000,2023-07-01t09:39:00.000,2023-07-01 09:39:00,2023-07-01,09:39:00,35,Regular departures
fr6220,ryanair,landed,2023-07-01t09:05:00.000,2023-07-01t09:18:00.000,2023-07-01 09:11:00,2023-07-01,09:11:00,7,Regular departures
u27507,easyjet,landed,2023-07-01t09:10:00.000,2023-07-01t09:04:00.000,2023-07-01 09:01:00,2023-07-01,09:01:00,0,Regular departures
u2214,easyjet,landed,2023-07-01t10:05:00.000,2023-07-01t10:12:00.000,2023-07-01 10:12:00,2023-07-01,10:12:00,7,Regular departures
u22884,easyjet,landed,2023-07-01t10:40:00.000,2023-07-01t10:53:00.000,2023-07-01 10:53:00,2023-07-01,10:53:00,14,Regular departures
ls1830,jet2,landed,2023-07-01t10:55:00.000,2023-07-01t11:09:00.000,2023-07-01 11:09:00,2023-07-01,11:09:00,14,Regular departures
x36673,tuifly,landed,2023-07-01t11:20:00.000,2023-07-01t11:19:00.000,2023-07-01 11:19:00,2023-07-01,11:19:00,0,Regular departures
u22840,easyjet,landed,2023-07-01t11:40:00.000,2023-07-01t11:48:00.000,2023-07-01 11:41:00,2023-07-01,11:41:00,1,Regular departures
x36681,tuifly,landed,2023-07-01t11:45:00.000,2023-07-01t11:39:00.000,2023-07-01 11:37:00,2023-07-01,11:37:00,0,Regular departures
u22701,easyjet,landed,2023-07-01t11:55:00.000,2023-07-01t12:23:00.000,2023-07-01 12:23:00,2023-07-01,12:23:00,29,Regular departures
u22722,easyjet,landed,2023-07-01t11:55:00.000,2023-07-01t11:47:00.000,2023-07-01 11:49:00,2023-07-01,11:49:00,0,Regular departures
x36697,tuifly,landed,2023-07-01t12:00:00.000,2023-07-01t12:07:00.000,2023-07-01 12:07:00,2023-07-01,12:07:00,7,Regular departures
u2405,easyjet,landed,2023-07-01t12:05:00.000,2023-07-01t12:19:00.000,2023-07-01 12:20:00,2023-07-01,12:20:00,15,Regular departures
u22706,easyjet,landed,2023-07-01t12:05:00.000,2023-07-01t12:25:00.000,2023-07-01 12:26:00,2023-07-01,12:26:00,22,Regular departures
u22716,easyjet,landed,2023-07-01t12:10:00.000,2023-07-01t12:12:00.000,2023-07-01 12:14:00,2023-07-01,12:14:00,4,Regular departures
ls1822,jet2,landed,2023-07-01t12:15:00.000,2023-07-01t12:09:00.000,2023-07-01 12:10:00,2023-07-01,12:10:00,0,Regular departures
u22838,easyjet,landed,2023-07-01t12:15:00.000,2023-07-01t12:16:00.000,2023-07-01 12:17:00,2023-07-01,12:17:00,2,Regular departures
u2319,easyjet,landed,2023-07-01t12:25:00.000,2023-07-01t12:56:00.000,2023-07-01 12:56:00,2023-07-01,12:56:00,31,Regular departures
ba8938,british airways,landed,2023-07-01t12:45:00.000,2023-07-01t12:30:00.000,2023-07-01 12:33:00,2023-07-01,12:33:00,0,Regular departures
ei3282,aer lingus,landed,2023-07-01t12:45:00.000,2023-07-01t12:30:00.000,2023-07-01 12:33:00,2023-07-01,12:33:00,0,Regular departures
fr4134,ryanair,landed,2023-07-01t12:45:00.000,2023-07-01t13:02:00.000,2023-07-01 13:03:00,2023-07-01,13:03:00,18,Regular departures
u22832,easyjet,landed,2023-07-01t12:45:00.000,2023-07-01t12:56:00.000,2023-07-01 12:59:00,2023-07-01,12:59:00,15,Regular departures
ls1806,jet2,landed,2023-07-01t12:50:00.000,2023-07-01t12:46:00.000,2023-07-01 12:45:00,2023-07-01,12:45:00,0,Regular departures
fr2291,ryanair,landed,2023-07-01t13:00:00.000,2023-07-01t13:11:00.000,2023-07-01 13:12:00,2023-07-01,13:12:00,13,Regular departures
ls1872,jet2,landed,2023-07-01t13:00:00.000,2023-07-01t13:07:00.000,2023-07-01 13:07:00,2023-07-01,13:07:00,7,Regular departures
ls1860,jet2,landed,2023-07-01t13:05:00.000,2023-07-01t13:24:00.000,2023-07-01 13:24:00,2023-07-01,13:24:00,20,Regular departures
dl9356,delta air lines,landed,2023-07-01t13:15:00.000,2023-07-01t13:29:00.000,2023-07-01 13:32:00,2023-07-01,13:32:00,17,Regular departures
ey7011,etihad airways,landed,2023-07-01t13:15:00.000,2023-07-01t13:29:00.000,2023-07-01 13:32:00,2023-07-01,13:32:00,17,Regular departures
g35514,gol,landed,2023-07-01t13:15:00.000,2023-07-01t13:29:00.000,2023-07-01 13:32:00,2023-07-01,13:32:00,17,Regular departures
kq1051,kenya airways,landed,2023-07-01t13:15:00.000,2023-07-01t13:29:00.000,2023-07-01 13:32:00,2023-07-01,13:32:00,17,Regular departures
