flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
vs7041,virgin atlantic,landed,2023-10-17t13:15:00.000,2023-10-17t13:25:00.000,2023-10-17 13:21:00,2023-10-17,13:21:00,6,Regular departures
kl1051,klm,landed,2023-10-17t13:15:00.000,2023-10-17t13:25:00.000,2023-10-17 13:21:00,2023-10-17,13:21:00,6,Regular departures
u2226,easyjet,landed,2023-10-17t13:30:00.000,2023-10-17t13:59:00.000,2023-10-17 13:59:00,2023-10-17,13:59:00,30,Regular departures
fr8682,ryanair,landed,2023-10-17t13:45:00.000,2023-10-17t14:18:00.000,2023-10-17 14:20:00,2023-10-17,14:20:00,36,Regular departures
gr642,aurigny air services,landed,2023-10-17t13:50:00.000,2023-10-17t13:34:00.000,2023-10-17 13:39:00,2023-10-17,13:39:00,0,Regular departures
u2246,easyjet,landed,2023-10-17t14:20:00.000,2023-10-17t14:15:00.000,2023-10-17 14:16:00,2023-10-17,14:16:00,0,Regular departures
fr3160,ryanair,landed,2023-10-17t14:25:00.000,2023-10-17t14:09:00.000,2023-10-17 14:08:00,2023-10-17,14:08:00,0,Regular departures
u22734,easyjet,landed,2023-10-17t14:50:00.000,2023-10-17t15:14:00.000,2023-10-17 15:14:00,2023-10-17,15:14:00,25,Regular departures
fr5342,ryanair,landed,2023-10-17t15:05:00.000,2023-10-17t15:39:00.000,2023-10-17 15:39:00,2023-10-17,15:39:00,34,Regular departures
x36255,tuifly,landed,2023-10-17t15:10:00.000,2023-10-17t15:11:00.000,2023-10-17 15:11:00,2023-10-17,15:11:00,1,Regular departures
u22732,easyjet,landed,2023-10-17t15:15:00.000,2023-10-17t15:27:00.000,2023-10-17 15:28:00,2023-10-17,15:28:00,14,Regular departures
ba8940,british airways,landed,2023-10-17t15:20:00.000,2023-10-17t15:42:00.000,2023-10-17 15:44:00,2023-10-17,15:44:00,24,Regular departures
ei3284,aer lingus,landed,2023-10-17t15:20:00.000,2023-10-17t15:42:00.000,2023-10-17 15:44:00,2023-10-17,15:44:00,24,Regular departures
ls1892,jet2,landed,2023-10-17t15:20:00.000,2023-10-17t14:54:00.000,2023-10-17 14:55:00,2023-10-17,14:55:00,0,Regular departures
u22928,easyjet,landed,2023-10-17t15:30:00.000,2023-10-17t15:29:00.000,2023-10-17 15:33:00,2023-10-17,15:33:00,3,Regular departures
ls1818,jet2,landed,2023-10-17t15:35:00.000,2023-10-17t15:44:00.000,2023-10-17 15:47:00,2023-10-17,15:47:00,13,Regular departures
u24979,easyjet,landed,2023-10-17t15:40:00.000,2023-10-17t15:17:00.000,2023-10-17 15:18:00,2023-10-17,15:18:00,0,Regular departures
u27267,easyjet,landed,2023-10-17t15:40:00.000,2023-10-17t15:55:00.000,2023-10-17 15:56:00,2023-10-17,15:56:00,16,Regular departures
u2319,easyjet,landed,2023-10-17t15:45:00.000,2023-10-17t16:00:00.000,2023-10-17 16:02:00,2023-10-17,16:02:00,18,Regular departures
u22896,easyjet,landed,2023-10-17t15:50:00.000,2023-10-17t15:33:00.000,2023-10-17 15:36:00,2023-10-17,15:36:00,0,Regular departures
u22724,easyjet,landed,2023-10-17t15:55:00.000,2023-10-17t15:57:00.000,2023-10-17 15:58:00,2023-10-17,15:58:00,4,Regular departures
fr4756,ryanair,landed,2023-10-17t16:25:00.000,2023-10-17t16:44:00.000,2023-10-17 16:45:00,2023-10-17,16:45:00,20,Regular departures
u22802,easyjet,landed,2023-10-17t16:30:00.000,2023-10-17t16:39:00.000,2023-10-17 16:41:00,2023-10-17,16:41:00,12,Regular departures
fr2291,ryanair,landed,2023-10-17t16:35:00.000,2023-10-17t16:21:00.000,2023-10-17 16:21:00,2023-10-17,16:21:00,0,Regular departures
u22776,easyjet,landed,2023-10-17t16:45:00.000,2023-10-17t16:45:00.000,2023-10-17 16:50:00,2023-10-17,16:50:00,6,Regular departures
dl9234,delta air lines,landed,2023-10-17t16:55:00.000,2023-10-17t17:17:00.000,2023-10-17 17:11:00,2023-10-17,17:11:00,17,Regular departures
ey7393,etihad airways,landed,2023-10-17t16:55:00.000,2023-10-17t17:17:00.000,2023-10-17 17:11:00,2023-10-17,17:11:00,17,Regular departures
kq1053,kenya airways,landed,2023-10-17t16:55:00.000,2023-10-17t17:17:00.000,2023-10-17 17:11:00,2023-10-17,17:11:00,17,Regular departures
vs7042,virgin atlantic,landed,2023-10-17t16:55:00.000,2023-10-17t17:17:00.000,2023-10-17 17:11:00,2023-10-17,17:11:00,17,Regular departures
kl1053,klm,landed,2023-10-17t16:55:00.000,2023-10-17t17:17:00.000,2023-10-17 17:11:00,2023-10-17,17:11:00,17,Regular departures
tp7606,tap air portugal,landed,2023-10-17t17:05:00.000,2023-10-17t17:22:00.000,2023-10-17 17:20:00,2023-10-17,17:20:00,16,Regular departures
lh972,lufthansa,landed,2023-10-17t17:05:00.000,2023-10-17t17:22:00.000,2023-10-17 17:20:00,2023-10-17,17:20:00,16,Regular departures
u22904,easyjet,landed,2023-10-17t17:45:00.000,2023-10-17t17:40:00.000,2023-10-17 17:42:00,2023-10-17,17:42:00,0,Regular departures
fr8235,ryanair,landed,2023-10-17t18:00:00.000,2023-10-17t18:24:00.000,2023-10-17 18:23:00,2023-10-17,18:23:00,23,Regular departures
u2218,easyjet,landed,2023-10-17t18:00:00.000,2023-10-17t18:04:00.000,2023-10-17 18:06:00,2023-10-17,18:06:00,6,Regular departures
u22886,easyjet,landed,2023-10-17t18:05:00.000,2023-10-17t18:42:00.000,2023-10-17 18:45:00,2023-10-17,18:45:00,40,Regular departures
ba8942,british airways,landed,2023-10-17t18:35:00.000,2023-10-17t18:55:00.000,2023-10-17 18:56:00,2023-10-17,18:56:00,21,Regular departures
ei3286,aer lingus,landed,2023-10-17t18:35:00.000,2023-10-17t18:55:00.000,2023-10-17 18:56:00,2023-10-17,18:56:00,21,Regular departures
fr506,ryanair,landed,2023-10-17t18:35:00.000,2023-10-17t18:59:00.000,2023-10-17 19:00:00,2023-10-17,19:00:00,26,Regular departures
u24051,easyjet,landed,2023-10-17t18:45:00.000,2023-10-17t19:03:00.000,2023-10-17 19:09:00,2023-10-17,19:09:00,24,Regular departures
u2228,easyjet,landed,2023-10-17t18:50:00.000,2023-10-17t18:45:00.000,2023-10-17 18:48:00,2023-10-17,18:48:00,0,Regular departures
u22730,easyjet,landed,2023-10-17t18:50:00.000,2023-10-17t19:15:00.000,2023-10-17 19:16:00,2023-10-17,19:16:00,26,Regular departures
u2208,easyjet,landed,2023-10-17t19:15:00.000,2023-10-17t19:01:00.000,2023-10-17 19:05:00,2023-10-17,19:05:00,0,Regular departures
ba7819,british airways,landed,2023-10-17t19:25:00.000,2023-10-17t19:12:00.000,2023-10-17 19:12:00,2023-10-17,19:12:00,0,Regular departures
si7045,sierra pacific airlines,landed,2023-10-17t19:25:00.000,2023-10-17t19:12:00.000,2023-10-17 19:12:00,2023-10-17,19:12:00,0,Regular departures
lm45,loganair,landed,2023-10-17t19:25:00.000,2023-10-17t19:12:00.000,2023-10-17 19:12:00,2023-10-17,19:12:00,0,Regular departures
u27354,easyjet,landed,2023-10-17t19:25:00.000,2023-10-17t19:42:00.000,2023-10-17 19:44:00,2023-10-17,19:44:00,20,Regular departures
u22926,easyjet,landed,2023-10-17t19:45:00.000,2023-10-17t19:54:00.000,2023-10-17 19:59:00,2023-10-17,19:59:00,15,Regular departures
fr1362,ryanair,landed,2023-10-17t20:30:00.000,2023-10-17t20:51:00.000,2023-10-17 20:53:00,2023-10-17,20:53:00,24,Regular departures
u2315,easyjet,landed,2023-10-17t21:00:00.000,2023-10-17t20:42:00.000,2023-10-17 20:43:00,2023-10-17,20:43:00,0,Regular departures
u22770,easyjet,landed,2023-10-17t21:50:00.000,2023-10-17t21:53:00.000,2023-10-17 21:53:00,2023-10-17,21:53:00,4,Regular departures
ls1848,jet2,landed,2023-10-17t22:10:00.000,2023-10-17t22:47:00.000,2023-10-17 22:50:00,2023-10-17,22:50:00,41,Regular departures
si474,blue islands,landed,2023-10-17t10:05:00.000,2023-10-17t10:10:00.000,2023-10-17 10:11:00,2023-10-17,10:11:00,6,Regular departures
,bae systems marine,landed,2023-10-17t08:14:00.000,2023-10-17t08:20:00.000,2023-10-17 08:20:00,2023-10-17,08:20:00,6,Regular departures
u2242,easyjet,landed,2023-10-17t22:30:00.000,2023-10-17t22:25:00.000,2023-10-17 22:27:00,2023-10-17,22:27:00,0,Regular departures
ls1832,jet2,landed,2023-10-17t22:40:00.000,2023-10-17t22:54:00.000,2023-10-17 22:54:00,2023-10-17,22:54:00,14,Regular departures
ls1802,jet2,landed,2023-10-17t22:50:00.000,2023-10-17t22:46:00.000,2023-10-17 22:47:00,2023-10-17,22:47:00,0,Regular departures
u22936,easyjet,landed,2023-10-17t22:55:00.000,2023-10-17t22:56:00.000,2023-10-17 22:57:00,2023-10-17,22:57:00,2,Regular departures
ey5816,etihad airways,landed,2023-10-17t23:00:00.000,2023-10-17t22:39:00.000,2023-10-17 22:41:00,2023-10-17,22:41:00,0,Regular departures
kq1057,kenya airways,landed,2023-10-17t23:00:00.000,2023-10-17t22:39:00.000,2023-10-17 22:41:00,2023-10-17,22:41:00,0,Regular departures
vs7014,virgin atlantic,landed,2023-10-17t23:00:00.000,2023-10-17t22:39:00.000,2023-10-17 22:41:00,2023-10-17,22:41:00,0,Regular departures
kl1057,klm,landed,2023-10-17t23:00:00.000,2023-10-17t22:39:00.000,2023-10-17 22:41:00,2023-10-17,22:41:00,0,Regular departures
u22840,easyjet,landed,2023-10-17t23:00:00.000,2023-10-17t22:57:00.000,2023-10-17 23:01:00,2023-10-17,23:01:00,1,Shoulder hour flights
u22852,easyjet,landed,2023-10-17t23:00:00.000,2023-10-17t23:12:00.000,2023-10-17 23:15:00,2023-10-17,23:15:00,15,Shoulder hour flights
u2210,easyjet,landed,2023-10-17t23:20:00.000,2023-10-17t23:09:00.000,2023-10-17 23:11:00,2023-10-17,23:11:00,0,Shoulder hour flights
fr2799,ryanair,landed,2023-10-17t23:25:00.000,2023-10-17t23:39:00.000,2023-10-17 23:39:00,2023-10-17,23:39:00,15,Night hour departures
fr4754,ryanair,landed,2023-10-17t23:25:00.000,2023-10-17t23:41:00.000,2023-10-17 23:43:00,2023-10-17,23:43:00,18,Night hour departures
u22876,easyjet,landed,2023-10-17t23:25:00.000,2023-10-18t00:10:00.000,2023-10-18 00:15:00,2023-10-18,00:15:00,51,Night hour departures
u22706,easyjet,landed,2023-10-17t23:30:00.000,2023-10-17t23:25:00.000,2023-10-17 23:29:00,2023-10-17,23:29:00,0,Shoulder hour flights
fr508,ryanair,landed,2023-10-17t23:35:00.000,2023-10-18t00:06:00.000,2023-10-18 00:07:00,2023-10-18,00:07:00,32,Night hour departures
fr154,ryanair,landed,2023-10-17t23:55:00.000,2023-10-18t00:09:00.000,2023-10-18 00:11:00,2023-10-18,00:11:00,17,Night hour departures
u22768,easyjet,landed,2023-10-18t00:10:00.000,2023-10-17t23:51:00.000,2023-10-17 23:52:00,2023-10-17,23:52:00,0,Night hour departures
fr4148,ryanair,landed,2023-10-18t00:40:00.000,2023-10-18t01:14:00.000,2023-10-18 01:15:00,2023-10-18,01:15:00,35,Night hour departures
u22874,easyjet,landed,2023-10-18t00:45:00.000,2023-10-18t00:20:00.000,2023-10-18 00:20:00,2023-10-18,00:20:00,0,Night hour departures
,vistajet,landed,2023-10-17t11:54:00.000,2023-10-17t12:02:00.000,2023-10-17 12:03:00,2023-10-17,12:03:00,9,Regular departures
u29003,easyjet,landed,2023-10-17t13:51:00.000,2023-10-17t13:50:00.000,2023-10-17 13:55:00,2023-10-17,13:55:00,4,Regular departures
u29874,easyjet,landed,2023-10-17t19:56:00.000,2023-10-17t20:22:00.000,2023-10-17 20:23:00,2023-10-17,20:23:00,27,Regular departures
,bae systems marine,landed,2023-10-17t17:00:00.000,2023-10-17t17:12:00.000,2023-10-17 17:16:00,2023-10-17,17:16:00,17,Regular departures
