flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr4755,ryanair,active,2023-11-19t05:55:00.000,2023-11-19t05:55:00.000,2023-11-19 05:58:00,2023-11-19,05:58:00,4,Night hour departures
af5199,air france,active,2023-11-19t06:15:00.000,2023-11-19t06:14:00.000,2023-11-19 06:19:00,2023-11-19,06:19:00,5,Shoulder hour flights
az3737,alitalia,active,2023-11-19t06:15:00.000,2023-11-19t06:14:00.000,2023-11-19 06:19:00,2023-11-19,06:19:00,5,Shoulder hour flights
dl9422,delta air lines,active,2023-11-19t06:15:00.000,2023-11-19t06:14:00.000,2023-11-19 06:19:00,2023-11-19,06:19:00,5,Shoulder hour flights
ey7330,etihad airways,active,2023-11-19t06:15:00.000,2023-11-19t06:14:00.000,2023-11-19 06:19:00,2023-11-19,06:19:00,5,Shoulder hour flights
g35535,gol,active,2023-11-19t06:15:00.000,2023-11-19t06:14:00.000,2023-11-19 06:19:00,2023-11-19,06:19:00,5,Shoulder hour flights
kq1046,kenya airways,active,2023-11-19t06:15:00.000,2023-11-19t06:14:00.000,2023-11-19 06:19:00,2023-11-19,06:19:00,5,Shoulder hour flights
vs6854,virgin atlantic,active,2023-11-19t06:15:00.000,2023-11-19t06:14:00.000,2023-11-19 06:19:00,2023-11-19,06:19:00,5,Shoulder hour flights
kl1046,klm,active,2023-11-19t06:15:00.000,2023-11-19t06:14:00.000,2023-11-19 06:19:00,2023-11-19,06:19:00,5,Shoulder hour flights
u22945,easyjet,active,2023-11-19t06:15:00.000,2023-11-19t06:15:00.000,2023-11-19 06:17:00,2023-11-19,06:17:00,3,Shoulder hour flights
fr4133,ryanair,active,2023-11-19t06:30:00.000,2023-11-19t06:30:00.000,2023-11-19 06:30:00,2023-11-19,06:30:00,1,Shoulder hour flights
u22713,easyjet,active,2023-11-19t06:30:00.000,2023-11-19t06:33:00.000,2023-11-19 06:58:00,2023-11-19,06:58:00,29,Shoulder hour flights
fr2292,ryanair,active,2023-11-19t06:50:00.000,2023-11-19t06:52:00.000,2023-11-19 06:53:00,2023-11-19,06:53:00,4,Shoulder hour flights
u2201,easyjet,active,2023-11-19t07:00:00.000,2023-11-19t07:12:00.000,2023-11-19 06:56:00,2023-11-19,06:56:00,0,Shoulder hour flights
u22709,easyjet,active,2023-11-19t07:00:00.000,2023-11-19t07:00:00.000,2023-11-19 07:07:00,2023-11-19,07:07:00,7,Regular departures
u22939,easyjet,active,2023-11-19t07:10:00.000,2023-11-19t07:10:00.000,2023-11-19 07:20:00,2023-11-19,07:20:00,10,Regular departures
