flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr505,ryanair,active,2023-08-31t05:55:00.000,2023-08-31t05:55:00.000,2023-08-31 06:02:00,2023-08-31,06:02:00,8,Shoulder hour flights
fr4121,ryanair,active,2023-08-31t05:55:00.000,2023-08-31t05:55:00.000,2023-08-31 06:13:00,2023-08-31,06:13:00,18,Shoulder hour flights
ls1819,jet2,active,2023-08-31t06:00:00.000,2023-08-31t06:25:00.000,2023-08-31 06:39:00,2023-08-31,06:39:00,39,Shoulder hour flights
x36406,tuifly,active,2023-08-31t06:00:00.000,2023-08-31t06:00:00.000,2023-08-31 06:20:00,2023-08-31,06:20:00,20,Shoulder hour flights
x36482,tuifly,active,2023-08-31t06:00:00.000,2023-08-31t06:12:00.000,2023-08-31 06:22:00,2023-08-31,06:22:00,23,Shoulder hour flights
u22715,easyjet,active,2023-08-31t06:00:00.000,2023-08-31t06:00:00.000,2023-08-31 06:10:00,2023-08-31,06:10:00,11,Shoulder hour flights
u22709,easyjet,active,2023-08-31t06:00:00.000,2023-08-31t06:00:00.000,2023-08-31 06:15:00,2023-08-31,06:15:00,15,Shoulder hour flights
u22891,easyjet,active,2023-08-31t06:00:00.000,2023-08-31t06:00:00.000,2023-08-31 06:17:00,2023-08-31,06:17:00,18,Shoulder hour flights
u22731,easyjet,active,2023-08-31t06:05:00.000,2023-08-31t06:05:00.000,2023-08-31 06:24:00,2023-08-31,06:24:00,20,Shoulder hour flights
u22843,easyjet,active,2023-08-31t06:10:00.000,2023-08-31t06:10:00.000,2023-08-31 06:28:00,2023-08-31,06:28:00,19,Shoulder hour flights
ls1877,jet2,active,2023-08-31t06:15:00.000,2023-08-31t06:15:00.000,2023-08-31 06:37:00,2023-08-31,06:37:00,22,Shoulder hour flights
u22702,easyjet,active,2023-08-31t06:15:00.000,2023-08-31t06:15:00.000,2023-08-31 06:31:00,2023-08-31,06:31:00,16,Shoulder hour flights
u22837,easyjet,active,2023-08-31t06:15:00.000,2023-08-31t06:15:00.000,2023-08-31 06:26:00,2023-08-31,06:26:00,12,Shoulder hour flights
af5199,air france,active,2023-08-31t06:20:00.000,2023-08-31t06:33:00.000,2023-08-31 06:32:00,2023-08-31,06:32:00,13,Shoulder hour flights
az3737,alitalia,active,2023-08-31t06:20:00.000,2023-08-31t06:33:00.000,2023-08-31 06:32:00,2023-08-31,06:32:00,13,Shoulder hour flights
dl9422,delta air lines,active,2023-08-31t06:20:00.000,2023-08-31t06:33:00.000,2023-08-31 06:32:00,2023-08-31,06:32:00,13,Shoulder hour flights
ey7330,etihad airways,active,2023-08-31t06:20:00.000,2023-08-31t06:33:00.000,2023-08-31 06:32:00,2023-08-31,06:32:00,13,Shoulder hour flights
g35535,gol,active,2023-08-31t06:20:00.000,2023-08-31t06:33:00.000,2023-08-31 06:32:00,2023-08-31,06:32:00,13,Shoulder hour flights
kq1046,kenya airways,active,2023-08-31t06:20:00.000,2023-08-31t06:33:00.000,2023-08-31 06:32:00,2023-08-31,06:32:00,13,Shoulder hour flights
vs6854,virgin atlantic,active,2023-08-31t06:20:00.000,2023-08-31t06:33:00.000,2023-08-31 06:32:00,2023-08-31,06:32:00,13,Shoulder hour flights
kl1046,klm,active,2023-08-31t06:20:00.000,2023-08-31t06:33:00.000,2023-08-31 06:32:00,2023-08-31,06:32:00,13,Shoulder hour flights
ls1821,jet2,active,2023-08-31t06:25:00.000,2023-08-31t06:25:00.000,2023-08-31 06:35:00,2023-08-31,06:35:00,10,Shoulder hour flights
ls1879,jet2,active,2023-08-31t06:45:00.000,2023-08-31t06:45:00.000,2023-08-31 06:49:00,2023-08-31,06:49:00,5,Shoulder hour flights
x36408,tuifly,active,2023-08-31t06:55:00.000,2023-08-31t06:55:00.000,2023-08-31 07:25:00,2023-08-31,07:25:00,31,Regular departures
u2223,easyjet,active,2023-08-31t07:00:00.000,2023-08-31t07:00:00.000,2023-08-31 07:14:00,2023-08-31,07:14:00,15,Regular departures
u22781,easyjet,active,2023-08-31t07:00:00.000,2023-08-31t07:00:00.000,2023-08-31 07:10:00,2023-08-31,07:10:00,11,Regular departures
u22839,easyjet,active,2023-08-31t07:00:00.000,2023-08-31t07:11:00.000,2023-08-31 07:30:00,2023-08-31,07:30:00,30,Regular departures
ls1807,jet2,active,2023-08-31t07:05:00.000,2023-08-31t07:15:00.000,2023-08-31 07:27:00,2023-08-31,07:27:00,23,Regular departures
u2213,easyjet,active,2023-08-31t07:05:00.000,2023-08-31t07:05:00.000,2023-08-31 07:08:00,2023-08-31,07:08:00,3,Regular departures
u22921,easyjet,active,2023-08-31t07:05:00.000,2023-08-31t07:05:00.000,2023-08-31 07:18:00,2023-08-31,07:18:00,13,Regular departures
u2201,easyjet,active,2023-08-31t07:10:00.000,2023-08-31t07:10:00.000,2023-08-31 07:23:00,2023-08-31,07:23:00,14,Regular departures
u22773,easyjet,active,2023-08-31t07:15:00.000,2023-08-31t07:15:00.000,2023-08-31 07:34:00,2023-08-31,07:34:00,19,Regular departures
fr512,ryanair,active,2023-08-31t07:20:00.000,2023-08-31t07:35:00.000,2023-08-31 07:58:00,2023-08-31,07:58:00,39,Regular departures
u22877,easyjet,active,2023-08-31t07:20:00.000,2023-08-31t07:20:00.000,2023-08-31 07:37:00,2023-08-31,07:37:00,18,Regular departures
fr1591,ryanair,active,2023-08-31t07:30:00.000,2023-08-31t07:30:00.000,2023-08-31 08:04:00,2023-08-31,08:04:00,35,Regular departures
fr6026,ryanair,active,2023-08-31t07:30:00.000,2023-08-31t07:30:00.000,2023-08-31 08:02:00,2023-08-31,08:02:00,32,Regular departures
ls1871,jet2,active,2023-08-31t07:30:00.000,2023-08-31t07:30:00.000,2023-08-31 07:43:00,2023-08-31,07:43:00,13,Regular departures
u22933,easyjet,active,2023-08-31t07:35:00.000,2023-08-31t07:35:00.000,2023-08-31 07:50:00,2023-08-31,07:50:00,16,Regular departures
x36436,tuifly,active,2023-08-31t07:45:00.000,2023-08-31t07:25:00.000,2023-08-31 08:15:00,2023-08-31,08:15:00,30,Regular departures
fr7949,ryanair,active,2023-08-31t08:05:00.000,2023-08-31t08:05:00.000,2023-08-31 08:10:00,2023-08-31,08:10:00,5,Regular departures
ba8937,british airways,active,2023-08-31t08:25:00.000,2023-08-31t08:25:00.000,2023-08-31 08:49:00,2023-08-31,08:49:00,25,Regular departures
ei3281,aer lingus,active,2023-08-31t08:25:00.000,2023-08-31t08:25:00.000,2023-08-31 08:49:00,2023-08-31,08:49:00,25,Regular departures
fr3385,ryanair,active,2023-08-31t08:30:00.000,2023-08-31t08:30:00.000,2023-08-31 08:46:00,2023-08-31,08:46:00,16,Regular departures
,bae systems marine,active,2023-08-31t08:30:00.000,2023-08-31t08:45:00.000,2023-08-31 08:37:00,2023-08-31,08:37:00,7,Regular departures
fr4147,ryanair,active,2023-08-31t09:10:00.000,2023-08-31t09:10:00.000,2023-08-31 09:30:00,2023-08-31,09:30:00,21,Regular departures
fr8202,ryanair,active,2023-08-31t09:15:00.000,2023-08-31t09:30:00.000,2023-08-31 09:28:00,2023-08-31,09:28:00,14,Regular departures
dl9423,delta air lines,active,2023-08-31t09:15:00.000,2023-08-31t10:00:00.000,2023-08-31 09:57:00,2023-08-31,09:57:00,42,Regular departures
ey5843,etihad airways,active,2023-08-31t09:15:00.000,2023-08-31t10:00:00.000,2023-08-31 09:57:00,2023-08-31,09:57:00,42,Regular departures
kq1050,kenya airways,active,2023-08-31t09:15:00.000,2023-08-31t10:00:00.000,2023-08-31 09:57:00,2023-08-31,09:57:00,42,Regular departures
vs7044,virgin atlantic,active,2023-08-31t09:15:00.000,2023-08-31t10:00:00.000,2023-08-31 09:57:00,2023-08-31,09:57:00,42,Regular departures
kl1050,klm,active,2023-08-31t09:15:00.000,2023-08-31t10:00:00.000,2023-08-31 09:57:00,2023-08-31,09:57:00,42,Regular departures
tp7609,tap air portugal,active,2023-08-31t09:40:00.000,2023-08-31t09:55:00.000,2023-08-31 10:06:00,2023-08-31,10:06:00,26,Regular departures
lh971,lufthansa,active,2023-08-31t09:40:00.000,2023-08-31t09:55:00.000,2023-08-31 10:06:00,2023-08-31,10:06:00,26,Regular departures
fr8212,ryanair,active,2023-08-31t10:00:00.000,2023-08-31t10:00:00.000,2023-08-31 10:04:00,2023-08-31,10:04:00,4,Regular departures
u27508,easyjet,active,2023-08-31t10:10:00.000,2023-08-31t10:10:00.000,2023-08-31 10:20:00,2023-08-31,10:20:00,10,Regular departures
,capital air ambulance,active,2023-08-31t10:30:00.000,2023-08-31t10:45:00.000,2023-08-31 10:46:00,2023-08-31,10:46:00,16,Regular departures
u22711,easyjet,active,2023-08-31t10:35:00.000,2023-08-31t10:35:00.000,2023-08-31 10:51:00,2023-08-31,10:51:00,17,Regular departures
u22769,easyjet,active,2023-08-31t10:35:00.000,2023-08-31t10:35:00.000,2023-08-31 10:49:00,2023-08-31,10:49:00,14,Regular departures
u22765,easyjet,active,2023-08-31t10:45:00.000,2023-08-31t10:48:00.000,2023-08-31 11:02:00,2023-08-31,11:02:00,17,Regular departures
u2215,easyjet,active,2023-08-31t11:00:00.000,2023-08-31t11:14:00.000,2023-08-31 11:33:00,2023-08-31,11:33:00,34,Regular departures
fr8264,ryanair,active,2023-08-31t11:35:00.000,2023-08-31t12:00:00.000,2023-08-31 12:18:00,2023-08-31,12:18:00,43,Regular departures
u2205,easyjet,active,2023-08-31t12:10:00.000,2023-08-31t12:10:00.000,2023-08-31 12:23:00,2023-08-31,12:23:00,13,Regular departures
u22723,easyjet,active,2023-08-31t12:10:00.000,2023-08-31t12:10:00.000,2023-08-31 12:30:00,2023-08-31,12:30:00,21,Regular departures
fr507,ryanair,active,2023-08-31t12:25:00.000,2023-08-31t12:25:00.000,2023-08-31 13:01:00,2023-08-31,13:01:00,37,Regular departures
fr4440,ryanair,active,2023-08-31t12:30:00.000,2023-08-31t12:30:00.000,2023-08-31 12:54:00,2023-08-31,12:54:00,24,Regular departures
u22801,easyjet,active,2023-08-31t12:45:00.000,2023-08-31t12:45:00.000,2023-08-31 13:07:00,2023-08-31,13:07:00,22,Regular departures
fr4757,ryanair,active,2023-08-31t12:50:00.000,2023-08-31t13:05:00.000,2023-08-31 13:09:00,2023-08-31,13:09:00,20,Regular departures
u22775,easyjet,active,2023-08-31t13:00:00.000,2023-08-31t13:00:00.000,2023-08-31 13:11:00,2023-08-31,13:11:00,12,Regular departures
ls1809,jet2,active,2023-08-31t13:05:00.000,2023-08-31t13:10:00.000,2023-08-31 13:21:00,2023-08-31,13:21:00,16,Regular departures
u22885,easyjet,active,2023-08-31t13:15:00.000,2023-08-31t13:15:00.000,2023-08-31 13:29:00,2023-08-31,13:29:00,15,Regular departures
ey7365,etihad airways,active,2023-08-31t13:45:00.000,2023-08-31t13:45:00.000,2023-08-31 13:58:00,2023-08-31,13:58:00,14,Regular departures
kq1052,kenya airways,active,2023-08-31t13:45:00.000,2023-08-31t13:45:00.000,2023-08-31 13:58:00,2023-08-31,13:58:00,14,Regular departures
vs7045,virgin atlantic,active,2023-08-31t13:45:00.000,2023-08-31t13:45:00.000,2023-08-31 13:58:00,2023-08-31,13:58:00,14,Regular departures
kl1052,klm,active,2023-08-31t13:45:00.000,2023-08-31t13:45:00.000,2023-08-31 13:58:00,2023-08-31,13:58:00,14,Regular departures
u22867,easyjet,active,2023-08-31t13:45:00.000,2023-08-31t13:45:00.000,2023-08-31 14:02:00,2023-08-31,14:02:00,17,Regular departures
u22851,easyjet,active,2023-08-31t14:05:00.000,2023-08-31t14:16:00.000,2023-08-31 14:29:00,2023-08-31,14:29:00,25,Regular departures
ls1847,jet2,active,2023-08-31t14:10:00.000,2023-08-31t14:20:00.000,2023-08-31 14:35:00,2023-08-31,14:35:00,25,Regular departures
u2227,easyjet,active,2023-08-31t14:40:00.000,2023-08-31t14:53:00.000,2023-08-31 15:03:00,2023-08-31,15:03:00,24,Regular departures
ls1813,jet2,active,2023-08-31t14:55:00.000,2023-08-31t15:21:00.000,2023-08-31 15:31:00,2023-08-31,15:31:00,36,Regular departures
x36452,tuifly,active,2023-08-31t15:00:00.000,2023-08-31t15:15:00.000,2023-08-31 15:23:00,2023-08-31,15:23:00,23,Regular departures
u22737,easyjet,active,2023-08-31t15:15:00.000,2023-08-31t15:15:00.000,2023-08-31 15:38:00,2023-08-31,15:38:00,23,Regular departures
x3466,tuifly,active,2023-08-31t15:30:00.000,2023-08-31t15:45:00.000,2023-08-31 15:55:00,2023-08-31,15:55:00,25,Regular departures
fr9336,ryanair,active,2023-08-31t15:45:00.000,2023-08-31t15:45:00.000,2023-08-31 15:57:00,2023-08-31,15:57:00,13,Regular departures
u2217,easyjet,active,2023-08-31t15:45:00.000,2023-08-31t16:13:00.000,2023-08-31 16:13:00,2023-08-31,16:13:00,29,Regular departures
u27353,easyjet,active,2023-08-31t16:05:00.000,2023-08-31t16:10:00.000,2023-08-31 16:42:00,2023-08-31,16:42:00,38,Regular departures
u24980,easyjet,active,2023-08-31t16:10:00.000,2023-08-31t16:23:00.000,2023-08-31 16:36:00,2023-08-31,16:36:00,26,Regular departures
x36468,tuifly,active,2023-08-31t16:20:00.000,2023-08-31t16:20:00.000,2023-08-31 16:34:00,2023-08-31,16:34:00,14,Regular departures
u22925,easyjet,active,2023-08-31t16:30:00.000,2023-08-31t16:30:00.000,2023-08-31 16:57:00,2023-08-31,16:57:00,28,Regular departures
u22729,easyjet,active,2023-08-31t16:50:00.000,2023-08-31t17:02:00.000,2023-08-31 17:34:00,2023-08-31,17:34:00,45,Regular departures
x36458,tuifly,active,2023-08-31t16:55:00.000,2023-08-31t17:35:00.000,2023-08-31 17:37:00,2023-08-31,17:37:00,43,Regular departures
u22853,easyjet,active,2023-08-31t17:00:00.000,2023-08-31t17:36:00.000,2023-08-31 17:31:00,2023-08-31,17:31:00,32,Regular departures
ey5802,etihad airways,active,2023-08-31t17:30:00.000,2023-08-31t17:45:00.000,2023-08-31 17:41:00,2023-08-31,17:41:00,12,Regular departures
kq1054,kenya airways,active,2023-08-31t17:30:00.000,2023-08-31t17:45:00.000,2023-08-31 17:41:00,2023-08-31,17:41:00,12,Regular departures
vs7046,virgin atlantic,active,2023-08-31t17:30:00.000,2023-08-31t17:45:00.000,2023-08-31 17:41:00,2023-08-31,17:41:00,12,Regular departures
kl1054,klm,active,2023-08-31t17:30:00.000,2023-08-31t17:45:00.000,2023-08-31 17:41:00,2023-08-31,17:41:00,12,Regular departures
lh973,lufthansa,active,2023-08-31t17:45:00.000,2023-08-31t18:20:00.000,2023-08-31 18:29:00,2023-08-31,18:29:00,45,Regular departures
fr8296,ryanair,active,2023-08-31t17:55:00.000,2023-08-31t18:37:00.000,2023-08-31 18:37:00,2023-08-31,18:37:00,42,Regular departures
u22875,easyjet,active,2023-08-31t18:10:00.000,2023-08-31t18:10:00.000,2023-08-31 18:21:00,2023-08-31,18:21:00,12,Regular departures
u2245,easyjet,active,2023-08-31t18:15:00.000,2023-08-31t18:53:00.000,2023-08-31 18:50:00,2023-08-31,18:50:00,35,Regular departures
fr1361,ryanair,active,2023-08-31t18:35:00.000,2023-08-31t18:50:00.000,2023-08-31 18:54:00,2023-08-31,18:54:00,19,Regular departures
u22705,easyjet,active,2023-08-31t18:35:00.000,2023-08-31t18:35:00.000,2023-08-31 18:41:00,2023-08-31,18:41:00,7,Regular departures
