flight_id,flight_number,direction,actual_time,origin,destination,aircraft_type,airline,registration
39ada77a,FR1667,Arrival,2025-03-30 10:59:54,FUE,BRS,B38M,N/A,9H-VVG
39adaa83,U22956,Arrival,2025-03-30 10:59:56,KEF,BRS,A20N,N/A,G-UZHL
39adb1ec,BY6759,Arrival,2025-03-30 11:00:00,ACE,BRS,B38M,N/A,G-TUMD
39ad9784,LS1822,Arrival,2025-03-30 11:00:00,FAO,BRS,B738,N/A,G-JZBM
39ad9a11,LS1808,Arrival,2025-03-30 11:00:00,AGP,BRS,B738,N/A,G-DRTJ
39ad91b5,U22722,Arrival,2025-03-30 11:00:00,ALC,BRS,A20N,N/A,G-UZHC
39ad8198,BY6711,Arrival,2025-03-30 11:00:00,AGP,BRS,B38M,N/A,G-TUMY
39ad7df6,U22892,Arrival,2025-03-30 11:00:00,SPU,BRS,A320,N/A,G-EZRY
39adc1c3,U22732,Arrival,2025-03-30 11:00:01,TFS,BRS,A20N,N/A,G-UZHT
39ad90a4,U22868,Arrival,2025-03-30 11:00:01,LIS,BRS,A320,N/A,G-EZUW
39ad7f05,U22940,Arrival,2025-03-30 11:00:01,GIB,BRS,A20N,N/A,G-UZHK
39ad9aff,U22710,Arrival,2025-03-30 11:00:01,PMI,BRS,A320,N/A,G-EZWP
39ad9f53,U22804,Arrival,2025-03-30 11:00:01,ATH,BRS,A320,N/A,G-EZRT
39ada953,BY6741,Arrival,2025-03-30 11:00:01,TRN,BRS,B738,N/A,G-FDZD
39adb066,GR642,Arrival,2025-03-30 11:00:01,GCI,BRS,AT76,N/A,G-PBOT
39ad98bd,U22884,Arrival,2025-03-30 11:00:01,GVA,BRS,A320,N/A,G-EZTA
39ad82a1,U22840,Arrival,2025-03-30 11:00:01,PSA,BRS,A320,N/A,G-EZTV
39ad82cd,U27508,Departure,2025-03-30 11:00:01,BRS,FAO,A319,N/A,OE-LQM
39ad9665,LS1883,Departure,2025-03-30 11:00:01,BRS,TFS,B738,N/A,G-DRTP
39ad75ea,,Departure,2025-03-30 11:00:01,BRS,BIO,C68A,N/A,CS-LTH
39ad8f0f,FR8234,Departure,2025-03-30 11:00:01,BRS,PMI,B738,N/A,EI-DWD
39ada0b9,,Departure,2025-03-30 11:00:01,BRS,SIR,C56X,N/A,CS-DXF
39adbf12,U2138,Departure,2025-03-30 11:00:01,BRS,BFS,A319,N/A,G-EZAO
39ad815f,EDC994,Departure,2025-03-30 11:00:01,BRS,GLA,C68A,N/A,G-SHUI
39adb3ec,U2213,Departure,2025-03-30 11:00:01,BRS,EDI,A20N,N/A,G-UZLV
39ada977,FR7949,Departure,2025-03-30 11:00:01,BRS,POZ,B738,N/A,SP-RSG
