flight_id,flight_number,direction,actual_time,origin,destination,aircraft_type,airline,registration
39aaf18b,U22734,Arrival,2025-03-29 11:59:55,ACE,BRS,A20N,N/A,G-UZHL
39aacb1d,LS1892,Arrival,2025-03-29 11:59:58,TFS,BRS,B738,N/A,G-DRTJ
39aaf273,LS3508,Arrival,2025-03-29 11:59:59,GVA,BRS,B738,N/A,G-DRTK
39aae2a3,FR9869,Arrival,2025-03-29 11:59:59,TRN,BRS,B38M,N/A,EI-IHY
39aaad1e,U22872,Arrival,2025-03-29 11:59:59,FAO,BRS,A21N,N/A,G-UZMK
39aad8ff,FR506,Arrival,2025-03-29 11:59:59,DUB,BRS,B738,N/A,EI-EVV
39aadc3d,BY6633,Arrival,2025-03-29 11:59:59,CMF,BRS,B738,N/A,G-TUKR
39aa83bf,LS1801,Departure,2025-03-29 11:59:59,BRS,ACE,B738,N/A,G-DRTV
39aaa75d,VJT659,Departure,2025-03-29 11:59:59,BRS,PMI,C56X,N/A,9H-XOB
39aab58b,LS1827,Departure,2025-03-29 11:59:59,BRS,FUE,B738,N/A,G-JZBZ
39aace44,FR7949,Departure,2025-03-29 11:59:59,BRS,POZ,B738,N/A,SP-RNF
39aac42f,U22937,Departure,2025-03-29 11:59:59,BRS,KRK,A20N,N/A,G-UZHC
39aabcc7,LS1806,Arrival,2025-03-29 12:00:00,ALC,BRS,B738,N/A,G-JZBM
39aa9bcb,U22714,Arrival,2025-03-29 12:00:00,AGP,BRS,A20N,N/A,G-UZED
39aaa433,U22704,Arrival,2025-03-29 12:00:00,BCN,BRS,A320,N/A,G-EZTA
39aa910e,FR4122,Arrival,2025-03-29 12:00:00,AGP,BRS,B38M,N/A,EI-IJS
39aab3e2,FR3559,Arrival,2025-03-29 12:00:00,BGY,BRS,B738,N/A,9H-QBZ
39aaa80d,U22838,Arrival,2025-03-29 12:00:00,FCO,BRS,A21N,N/A,G-UZMC
39aacba1,FR4130,Arrival,2025-03-29 12:00:00,SOF,BRS,B738,N/A,EI-EFH
39aabbf9,LS1861,Departure,2025-03-29 12:00:00,BRS,CMF,B738,N/A,G-DRTP
39aacb89,U2231,Departure,2025-03-29 12:00:00,BRS,BHD,A320,N/A,G-EZUA
39aacf89,U2215,Departure,2025-03-29 12:00:00,BRS,EDI,A20N,N/A,G-UZLV
39aad57c,U22947,Departure,2025-03-29 12:00:00,BRS,SZG,A320,N/A,G-EZRY
39aac72f,U22885,Departure,2025-03-29 12:00:00,BRS,GVA,A320,N/A,G-EZTV
