flight_id,flight_number,direction,actual_time,origin,destination,aircraft_type,airline,registration
39b073f1,,Arrival,2025-03-31 10:59:56,BZZ,BRS,R44,N/A,G-SPTR
39b0b868,U22720,Arrival,2025-03-31 10:59:57,FUE,BRS,A21N,N/A,G-UZMC
39b0b407,FR504,Arrival,2025-03-31 10:59:59,DUB,BRS,B738,N/A,EI-EMJ
39b0951c,BY6114,Departure,2025-03-31 10:59:59,BRS,LPA,B38M,N/A,G-TUMY
39b09df7,LS1828,Arrival,2025-03-31 11:00:00,FUE,BRS,B738,N/A,G-DRTK
39b0aaec,U22878,Arrival,2025-03-31 11:00:00,FNC,BRS,A20N,N/A,G-UZHT
39b09e76,U22734,Arrival,2025-03-31 11:00:00,ACE,BRS,A21N,N/A,G-UZMK
39b0926d,FR8245,Arrival,2025-03-31 11:00:00,PMI,BRS,B738,N/A,9H-QCP
39b08750,LS1872,Arrival,2025-03-31 11:00:00,PMI,BRS,B738,N/A,G-DRTV
39b071f3,U22846,Arrival,2025-03-31 11:00:00,CTA,BRS,A20N,N/A,G-UZHZ
39b07a2d,FR5342,Arrival,2025-03-31 11:00:00,OTP,BRS,B38M,N/A,EI-IJS
39b0854f,LS1806,Arrival,2025-03-31 11:00:00,ALC,BRS,B738,N/A,G-DRTJ
39b06ae1,U22716,Arrival,2025-03-31 11:00:00,AGP,BRS,A20N,N/A,G-UZLL
39b09d5f,U24639,Arrival,2025-03-31 11:00:00,CDG,BRS,A320,N/A,OE-ICW
39b09ada,U22888,Arrival,2025-03-31 11:00:00,GVA,BRS,A320,N/A,G-EZWP
39b06e81,U22844,Arrival,2025-03-31 11:00:00,NAP,BRS,A320,N/A,G-EZRT
39b0a219,U25531,Arrival,2025-03-31 11:00:00,AMS,BRS,A319,N/A,OE-LKX
39b064eb,U27510,Departure,2025-03-31 11:00:00,BRS,FAO,A320,N/A,OE-IZH
39b08ea1,LS1891,Departure,2025-03-31 11:00:00,BRS,TFS,B738,N/A,G-DRTP
39b083c0,U22723,Departure,2025-03-31 11:00:00,BRS,ALC,A320,N/A,G-EZUW
39b095c6,U22703,Departure,2025-03-31 11:00:00,BRS,BCN,A320,N/A,G-EZWA
39b094f4,U22767,Departure,2025-03-31 11:00:00,BRS,NCE,A20N,N/A,G-UZHL
39b073c6,LS1877,Departure,2025-03-31 11:00:00,BRS,MLA,B738,N/A,G-JZBZ
39b05be1,BY418,Departure,2025-03-31 11:00:00,BRS,DLM,B738,N/A,G-FDZD
39b0a04b,LS1825,Departure,2025-03-31 11:00:00,BRS,FNC,B738,N/A,G-JZBM
39b0ae1b,SI473,Departure,2025-03-31 11:00:00,BRS,JER,AT75,N/A,G-ISLM
39b0aa4f,U22711,Departure,2025-03-31 11:00:00,BRS,PMI,A20N,N/A,G-UZHK
39b0a402,U27848,Departure,2025-03-31 11:00:00,BRS,AMS,A20N,N/A,OE-LSV
39b07fa7,FR5516,Departure,2025-03-31 11:00:00,BRS,KRK,B38M,N/A,9H-VVG
39b0b0b7,BY698,Departure,2025-03-31 11:00:01,BRS,HRG,B38M,N/A,G-TUMD
39b06ba5,U22937,Departure,2025-03-31 11:00:01,BRS,KRK,A320,N/A,G-EZUA
