flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22934,easyjet,landed,2023-06-15t12:15:00.000,2023-06-15t12:22:00.000,2023-06-15 12:23:00,2023-06-15,12:23:00,9,Regular departures
u22838,easyjet,landed,2023-06-15t12:20:00.000,2023-06-15t12:13:00.000,2023-06-15 12:18:00,2023-06-15,12:18:00,0,Regular departures
ls1822,jet2,landed,2023-06-15t12:25:00.000,2023-06-15t12:25:00.000,2023-06-15 12:28:00,2023-06-15,12:28:00,3,Regular departures
u22844,easyjet,landed,2023-06-15t12:40:00.000,2023-06-15t13:03:00.000,2023-06-15 13:04:00,2023-06-15,13:04:00,24,Regular departures
u22940,easyjet,landed,2023-06-15t12:50:00.000,2023-06-15t12:44:00.000,2023-06-15 12:38:00,2023-06-15,12:38:00,0,Regular departures
ls1872,jet2,landed,2023-06-15t13:00:00.000,2023-06-15t13:07:00.000,2023-06-15 13:08:00,2023-06-15,13:08:00,9,Regular departures
dl9356,delta air lines,landed,2023-06-15t13:10:00.000,2023-06-15t13:11:00.000,2023-06-15 13:12:00,2023-06-15,13:12:00,3,Regular departures
ey7011,etihad airways,landed,2023-06-15t13:10:00.000,2023-06-15t13:11:00.000,2023-06-15 13:12:00,2023-06-15,13:12:00,3,Regular departures
g35514,gol,landed,2023-06-15t13:10:00.000,2023-06-15t13:11:00.000,2023-06-15 13:12:00,2023-06-15,13:12:00,3,Regular departures
kq1051,kenya airways,landed,2023-06-15t13:10:00.000,2023-06-15t13:11:00.000,2023-06-15 13:12:00,2023-06-15,13:12:00,3,Regular departures
vs7041,virgin atlantic,landed,2023-06-15t13:10:00.000,2023-06-15t13:11:00.000,2023-06-15 13:12:00,2023-06-15,13:12:00,3,Regular departures
kl1051,klm,landed,2023-06-15t13:10:00.000,2023-06-15t13:11:00.000,2023-06-15 13:12:00,2023-06-15,13:12:00,3,Regular departures
ls1820,jet2,landed,2023-06-15t13:35:00.000,2023-06-15t13:51:00.000,2023-06-15 13:51:00,2023-06-15,13:51:00,16,Regular departures
x36407,tuifly,landed,2023-06-15t13:40:00.000,2023-06-15t14:09:00.000,2023-06-15 14:11:00,2023-06-15,14:11:00,31,Regular departures
ls1878,jet2,landed,2023-06-15t13:45:00.000,2023-06-15t14:17:00.000,2023-06-15 14:15:00,2023-06-15,14:15:00,31,Regular departures
gr642,aurigny air services,landed,2023-06-15t13:50:00.000,2023-06-15t13:41:00.000,2023-06-15 13:42:00,2023-06-15,13:42:00,0,Regular departures
x36483,tuifly,landed,2023-06-15t13:55:00.000,2023-06-15t14:07:00.000,2023-06-15 14:07:00,2023-06-15,14:07:00,13,Regular departures
u2216,easyjet,landed,2023-06-15t14:00:00.000,2023-06-15t14:00:00.000,2023-06-15 13:59:00,2023-06-15,13:59:00,0,Regular departures
u22770,easyjet,landed,2023-06-15t14:10:00.000,2023-06-15t14:00:00.000,2023-06-15 13:55:00,2023-06-15,13:55:00,0,Regular departures
x36409,tuifly,landed,2023-06-15t14:20:00.000,2023-06-15t14:54:00.000,2023-06-15 14:56:00,2023-06-15,14:56:00,36,Regular departures
x36437,tuifly,landed,2023-06-15t14:35:00.000,2023-06-15t14:28:00.000,2023-06-15 14:29:00,2023-06-15,14:29:00,0,Regular departures
ls1898,jet2,landed,2023-06-15t14:40:00.000,2023-06-15t14:34:00.000,2023-06-15 14:34:00,2023-06-15,14:34:00,0,Regular departures
fr8213,ryanair,landed,2023-06-15t14:55:00.000,2023-06-15t14:51:00.000,2023-06-15 14:52:00,2023-06-15,14:52:00,0,Regular departures
u27003,easyjet,landed,2023-06-15t15:00:00.000,2023-06-15t14:57:00.000,2023-06-15 15:00:00,2023-06-15,15:00:00,1,Regular departures
fr506,ryanair,landed,2023-06-15t15:05:00.000,2023-06-15t15:13:00.000,2023-06-15 15:16:00,2023-06-15,15:16:00,11,Regular departures
u2206,easyjet,landed,2023-06-15t15:05:00.000,2023-06-15t15:11:00.000,2023-06-15 15:12:00,2023-06-15,15:12:00,8,Regular departures
u22878,easyjet,landed,2023-06-15t15:05:00.000,2023-06-15t15:01:00.000,2023-06-15 15:04:00,2023-06-15,15:04:00,0,Regular departures
u22732,easyjet,landed,2023-06-15t15:15:00.000,2023-06-15t15:03:00.000,2023-06-15 15:08:00,2023-06-15,15:08:00,0,Regular departures
ba8940,british airways,landed,2023-06-15t15:30:00.000,2023-06-15t15:32:00.000,2023-06-15 15:32:00,2023-06-15,15:32:00,2,Regular departures
ei3284,aer lingus,landed,2023-06-15t15:30:00.000,2023-06-15t15:32:00.000,2023-06-15 15:32:00,2023-06-15,15:32:00,2,Regular departures
u22766,easyjet,landed,2023-06-15t15:30:00.000,2023-06-15t15:39:00.000,2023-06-15 15:40:00,2023-06-15,15:40:00,10,Regular departures
u27267,easyjet,landed,2023-06-15t15:35:00.000,2023-06-15t15:33:00.000,2023-06-15 15:28:00,2023-06-15,15:28:00,0,Regular departures
u22712,easyjet,landed,2023-06-15t16:05:00.000,2023-06-15t16:47:00.000,2023-06-15 16:41:00,2023-06-15,16:41:00,37,Regular departures
u22776,easyjet,landed,2023-06-15t16:10:00.000,2023-06-15t16:55:00.000,2023-06-15 16:54:00,2023-06-15,16:54:00,44,Regular departures
dl9234,delta air lines,landed,2023-06-15t16:55:00.000,2023-06-15t16:57:00.000,2023-06-15 16:57:00,2023-06-15,16:57:00,3,Regular departures
ey7393,etihad airways,landed,2023-06-15t16:55:00.000,2023-06-15t16:57:00.000,2023-06-15 16:57:00,2023-06-15,16:57:00,3,Regular departures
kq1053,kenya airways,landed,2023-06-15t16:55:00.000,2023-06-15t16:57:00.000,2023-06-15 16:57:00,2023-06-15,16:57:00,3,Regular departures
vs7042,virgin atlantic,landed,2023-06-15t16:55:00.000,2023-06-15t16:57:00.000,2023-06-15 16:57:00,2023-06-15,16:57:00,3,Regular departures
