flight_id,flight_number,direction,actual_time,origin,destination,aircraft_type,airline,registration
39996973,U22932,Arrival,2025-03-24 11:59:56,CPH,BRS,A320,N/A,G-EZWP
3999acc7,U2104,Departure,2025-03-24 11:59:57,BRS,BFS,A319,N/A,G-EZBZ
399979a5,U2215,Departure,2025-03-24 11:59:58,BRS,EDI,A320,N/A,G-EZUW
39998b4f,U22734,Arrival,2025-03-24 11:59:59,ACE,BRS,A21N,N/A,G-UZMJ
39999553,U2232,Arrival,2025-03-24 11:59:59,BHD,BRS,A20N,N/A,G-UZHL
3999aa39,KL1079,Arrival,2025-03-24 11:59:59,AMS,BRS,E190,N/A,G-CMWI
39995d9f,FR5342,Arrival,2025-03-24 11:59:59,OTP,BRS,B738,N/A,EI-EFH
39997ce9,BY6114,Departure,2025-03-24 11:59:59,BRS,LPA,B38M,N/A,G-TUMY
39999c6c,U2203,Departure,2025-03-24 11:59:59,BRS,GLA,A320,N/A,G-EZRT
399977aa,,Departure,2025-03-24 11:59:59,BRS,LBG,BE20,N/A,G-ZVIP
39998317,U22881,Departure,2025-03-24 11:59:59,BRS,BSL,A320,N/A,G-EZTA
399995a6,U22935,Departure,2025-03-24 11:59:59,BRS,PRG,A20N,N/A,G-UZED
3999a01e,U22878,Arrival,2025-03-24 12:00:00,FNC,BRS,A20N,N/A,G-UZHF
3999817f,FR4754,Arrival,2025-03-24 12:00:00,TFS,BRS,B738,N/A,EI-EBX
39998fcd,U27393,Arrival,2025-03-24 12:00:00,LIS,BRS,A20N,N/A,OE-LSO
39997ab4,U22872,Arrival,2025-03-24 12:00:00,FAO,BRS,A320,N/A,G-EZTY
399971a5,LS1806,Arrival,2025-03-24 12:00:00,ALC,BRS,B738,N/A,G-DRTK
399957ff,U22722,Arrival,2025-03-24 12:00:00,ALC,BRS,A20N,N/A,G-UZHC
39995b7f,U22714,Arrival,2025-03-24 12:00:00,AGP,BRS,A21N,N/A,G-UZMA
3999a73f,,Arrival,2025-03-24 12:00:00,JER,BRS,E55P,N/A,CS-PHV
399954ec,U22838,Arrival,2025-03-24 12:00:00,FCO,BRS,A20N,N/A,G-UZLV
399975dc,FR7948,Arrival,2025-03-24 12:00:00,POZ,BRS,B738,N/A,SP-RKD
39997e77,U22934,Arrival,2025-03-24 12:00:00,BER,BRS,A20N,N/A,G-UZHH
39998706,XQ584,Arrival,2025-03-24 12:00:00,AYT,BRS,B38M,N/A,TC-SME
399944d4,LS1891,Departure,2025-03-24 12:00:00,BRS,TFS,B738,N/A,G-JZBM
399971a2,LS1827,Departure,2025-03-24 12:00:00,BRS,FUE,B738,N/A,G-DRTJ
39999481,LS1825,Departure,2025-03-24 12:00:00,BRS,FNC,B738,N/A,G-DRTP
39999bee,FR507,Departure,2025-03-24 12:00:00,BRS,DUB,B738,N/A,EI-DPR
3999909a,BY698,Departure,2025-03-24 12:00:00,BRS,HRG,B38M,N/A,G-TUMU
39998326,U22839,Departure,2025-03-24 12:00:00,BRS,PSA,A20N,N/A,G-UZHZ
399963b7,LS1809,Departure,2025-03-24 12:00:00,BRS,AYT,B738,N/A,G-DRTV
