Date,Total Flights,Arrivals,Departures
2025-03-21,30,19,11
2025-03-22,22,12,10
2025-03-23,22,15,7
2025-03-24,31,17,14
2025-03-25,23,10,13
2025-03-26,29,13,16
2025-03-27,30,18,12
2025-03-28,28,19,9
