flight_id,flight_number,direction,actual_time,origin,destination,aircraft_type,airline,registration
399cf201,FR505,Departure,2025-03-25 11:59:10,BRS,DUB,B738,N/A,9H-QEL
399ce75a,U22734,Arrival,2025-03-25 11:59:58,ACE,BRS,A20N,N/A,G-UZHC
399ccf6b,,Arrival,2025-03-25 11:59:58,RAK,BRS,B738,N/A,G-TUKR
399ca43a,U22714,Arrival,2025-03-25 11:59:58,AGP,BRS,A21N,N/A,G-UZMA
399cb56b,U22704,Arrival,2025-03-25 11:59:58,BCN,BRS,A320,N/A,G-EZUA
399cbb8a,U22710,Arrival,2025-03-25 11:59:58,PMI,BRS,A20N,N/A,G-UZLV
399ca9d5,U22838,Arrival,2025-03-25 11:59:58,FCO,BRS,A20N,N/A,G-UZHL
399cc7a3,U22938,Arrival,2025-03-25 11:59:58,KRK,BRS,A20N,N/A,G-UZHH
399c8d8f,LS1883,Departure,2025-03-25 11:59:58,BRS,TFS,B738,N/A,G-JZBM
399cb36c,FR2292,Departure,2025-03-25 11:59:58,BRS,ALC,B38M,N/A,9H-VVE
399cbf0f,FR4753,Departure,2025-03-25 11:59:58,BRS,TFS,B38M,N/A,EI-IJG
399cda94,BY6278,Departure,2025-03-25 11:59:58,BRS,TFS,B38M,N/A,G-TUMU
399cf874,,Departure,2025-03-25 11:59:58,BRS,,JS41,N/A,G-MAJY
399cdbb7,U2217,Departure,2025-03-25 11:59:58,BRS,EDI,A320,N/A,G-EZTY
399cbd6c,U22885,Departure,2025-03-25 11:59:58,BRS,GVA,A320,N/A,G-EZTH
399cc6ce,U22722,Arrival,2025-03-25 11:59:59,ALC,BRS,A320,N/A,G-EZWP
399ca7d4,U22872,Arrival,2025-03-25 11:59:59,FAO,BRS,A21N,N/A,G-UZMC
399ca287,FR8297,Arrival,2025-03-25 11:59:59,ALC,BRS,B738,N/A,9H-QBZ
399c8cb0,BY562,Departure,2025-03-25 11:59:59,BRS,SID,B38M,N/A,G-TUMY
399caa2e,LS1803,Departure,2025-03-25 11:59:59,BRS,ACE,B738,N/A,G-DRTJ
399cb031,U22875,Departure,2025-03-25 11:59:59,BRS,OPO,A320,N/A,G-EZTA
399ce3fb,SI475,Departure,2025-03-25 11:59:59,BRS,JER,AT75,N/A,G-ISLL
399cc687,U22913,Departure,2025-03-25 11:59:59,BRS,HRG,A20N,N/A,G-UZED
