flight_id,flight_number,direction,actual_time,origin,destination,aircraft_type,airline,registration
39a78340,FR4756,Arrival,2025-03-28 11:59:58,ACE,BRS,B38M,N/A,EI-IJS
39a78665,FR4122,Arrival,2025-03-28 11:59:58,AGP,BRS,B738,N/A,EI-EFH
39a76d53,U22872,Arrival,2025-03-28 11:59:58,FAO,BRS,A21N,N/A,G-UZMK
39a76713,U22968,Arrival,2025-03-28 11:59:58,NBE,BRS,A320,N/A,G-EZUW
39a7506c,U22932,Arrival,2025-03-28 11:59:58,CPH,BRS,A20N,N/A,G-UZHZ
39a74430,U22938,Arrival,2025-03-28 11:59:58,KRK,BRS,A21N,N/A,G-UZMC
39a778eb,FR506,Arrival,2025-03-28 11:59:58,DUB,BRS,B738,N/A,EI-DYY
39a750d0,U22848,Arrival,2025-03-28 11:59:58,FCO,BRS,A20N,N/A,G-UZHL
39a7859a,XQ584,Arrival,2025-03-28 11:59:58,AYT,BRS,B38M,N/A,TC-SMI
39a79bc8,U24057,Arrival,2025-03-28 11:59:58,VCE,BRS,A320,N/A,OE-IJW
39a715f4,LS1893,Departure,2025-03-28 11:59:58,BRS,TFS,B738,N/A,G-DRTP
39a7832a,BY6508,Departure,2025-03-28 11:59:58,BRS,TFS,B38M,N/A,G-TUMU
39a774d2,U22885,Departure,2025-03-28 11:59:58,BRS,GVA,A20N,N/A,G-UZHH
39a793ea,U22773,Departure,2025-03-28 11:59:58,BRS,CDG,A320,N/A,G-EZRY
39a76e5b,FR4754,Arrival,2025-03-28 11:59:59,TFS,BRS,B38M,N/A,EI-IHY
39a785f0,U22868,Arrival,2025-03-28 11:59:59,LIS,BRS,A320,N/A,G-EZUA
39a76385,LS1806,Arrival,2025-03-28 11:59:59,ALC,BRS,B738,N/A,G-DRTK
39a7631f,U22722,Arrival,2025-03-28 11:59:59,ALC,BRS,A20N,N/A,G-UZED
39a7596a,U22704,Arrival,2025-03-28 11:59:59,BCN,BRS,A320,N/A,G-EZTV
39a7441b,FR2291,Arrival,2025-03-28 11:59:59,ALC,BRS,B38M,N/A,9H-VVG
39a741bf,U22714,Arrival,2025-03-28 11:59:59,AGP,BRS,A320,N/A,G-EZWA
39a771ce,U2442,Arrival,2025-03-28 11:59:59,GLA,BRS,A319,N/A,G-EZDI
39a77bc5,FR8682,Arrival,2025-03-28 11:59:59,KUN,BRS,B38M,N/A,SP-RZQ
39a74e9e,LS1803,Departure,2025-03-28 11:59:59,BRS,ACE,B738,N/A,G-DRTJ
39a764da,U22767,Departure,2025-03-28 11:59:59,BRS,BOD,A20N,N/A,G-UZHT
39a729a6,LS1849,Departure,2025-03-28 11:59:59,BRS,DLM,B738,N/A,G-DRTV
39a76d8b,BY324,Departure,2025-03-28 11:59:59,BRS,HRG,B38M,N/A,G-TUMY
39a74268,LS1845,Departure,2025-03-28 11:59:59,BRS,AYT,B738,N/A,G-JZBM
