count,average_actual_arrival,date
126,2023-10-02 15:26:40.952381184,2023-10-02
113,2023-10-03 15:46:02.123893760,2023-10-03
130,2023-10-04 15:18:11.538461440,2023-10-04
139,2023-10-05 14:56:04.316546560,2023-10-05
133,2023-10-06 15:46:22.556390912,2023-10-06
109,2023-10-07 15:51:57.247706368,2023-10-07
132,2023-10-08 15:51:19.090909184,2023-10-08
