flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr505,ryanair,active,2023-10-05t05:55:00.000,2023-10-05t05:55:00.000,2023-10-05 06:00:00,2023-10-05,06:00:00,6,Shoulder hour flights
fr4121,ryanair,active,2023-10-05t05:55:00.000,2023-10-05t06:10:00.000,2023-10-05 06:18:00,2023-10-05,06:18:00,24,Shoulder hour flights
x36406,tuifly,active,2023-10-05t06:00:00.000,2023-10-05t06:00:00.000,2023-10-05 06:14:00,2023-10-05,06:14:00,15,Shoulder hour flights
u22709,easyjet,active,2023-10-05t06:00:00.000,2023-10-05t06:00:00.000,2023-10-05 06:10:00,2023-10-05,06:10:00,11,Shoulder hour flights
u22715,easyjet,active,2023-10-05t06:00:00.000,2023-10-05t06:12:00.000,2023-10-05 06:25:00,2023-10-05,06:25:00,26,Shoulder hour flights
u22731,easyjet,active,2023-10-05t06:05:00.000,2023-10-05t06:02:00.000,2023-10-05 06:16:00,2023-10-05,06:16:00,12,Shoulder hour flights
u22843,easyjet,active,2023-10-05t06:10:00.000,2023-10-05t06:23:00.000,2023-10-05 06:33:00,2023-10-05,06:33:00,23,Shoulder hour flights
ls1877,jet2,active,2023-10-05t06:15:00.000,2023-10-05t06:15:00.000,2023-10-05 06:29:00,2023-10-05,06:29:00,15,Shoulder hour flights
u22702,easyjet,active,2023-10-05t06:15:00.000,2023-10-05t06:15:00.000,2023-10-05 06:23:00,2023-10-05,06:23:00,9,Shoulder hour flights
u22837,easyjet,active,2023-10-05t06:15:00.000,2023-10-05t06:15:00.000,2023-10-05 06:21:00,2023-10-05,06:21:00,6,Shoulder hour flights
af5199,air france,active,2023-10-05t06:20:00.000,2023-10-05t06:57:00.000,2023-10-05 06:58:00,2023-10-05,06:58:00,39,Shoulder hour flights
az3737,alitalia,active,2023-10-05t06:20:00.000,2023-10-05t06:57:00.000,2023-10-05 06:58:00,2023-10-05,06:58:00,39,Shoulder hour flights
dl9422,delta air lines,active,2023-10-05t06:20:00.000,2023-10-05t06:57:00.000,2023-10-05 06:58:00,2023-10-05,06:58:00,39,Shoulder hour flights
ey7330,etihad airways,active,2023-10-05t06:20:00.000,2023-10-05t06:57:00.000,2023-10-05 06:58:00,2023-10-05,06:58:00,39,Shoulder hour flights
g35535,gol,active,2023-10-05t06:20:00.000,2023-10-05t06:57:00.000,2023-10-05 06:58:00,2023-10-05,06:58:00,39,Shoulder hour flights
kq1046,kenya airways,active,2023-10-05t06:20:00.000,2023-10-05t06:57:00.000,2023-10-05 06:58:00,2023-10-05,06:58:00,39,Shoulder hour flights
vs6854,virgin atlantic,active,2023-10-05t06:20:00.000,2023-10-05t06:57:00.000,2023-10-05 06:58:00,2023-10-05,06:58:00,39,Shoulder hour flights
kl1046,klm,active,2023-10-05t06:20:00.000,2023-10-05t06:57:00.000,2023-10-05 06:58:00,2023-10-05,06:58:00,39,Shoulder hour flights
ls1821,jet2,active,2023-10-05t06:25:00.000,2023-10-05t06:45:00.000,2023-10-05 06:52:00,2023-10-05,06:52:00,27,Shoulder hour flights
ls1897,jet2,active,2023-10-05t06:25:00.000,2023-10-05t06:25:00.000,2023-10-05 06:42:00,2023-10-05,06:42:00,17,Shoulder hour flights
u22939,easyjet,active,2023-10-05t06:35:00.000,2023-10-05t06:35:00.000,2023-10-05 06:54:00,2023-10-05,06:54:00,20,Shoulder hour flights
ls1879,jet2,active,2023-10-05t06:45:00.000,2023-10-05t06:45:00.000,2023-10-05 06:56:00,2023-10-05,06:56:00,12,Shoulder hour flights
u2223,easyjet,active,2023-10-05t07:00:00.000,2023-10-05t07:13:00.000,2023-10-05 07:14:00,2023-10-05,07:14:00,15,Regular departures
u22781,easyjet,active,2023-10-05t07:00:00.000,2023-10-05t07:00:00.000,2023-10-05 07:08:00,2023-10-05,07:08:00,8,Regular departures
u22839,easyjet,active,2023-10-05t07:00:00.000,2023-10-05t07:00:00.000,2023-10-05 07:20:00,2023-10-05,07:20:00,20,Regular departures
ls1807,jet2,active,2023-10-05t07:05:00.000,2023-10-05t07:20:00.000,2023-10-05 07:36:00,2023-10-05,07:36:00,31,Regular departures
u2213,easyjet,active,2023-10-05t07:05:00.000,2023-10-05t07:18:00.000,2023-10-05 07:10:00,2023-10-05,07:10:00,5,Regular departures
u22921,easyjet,active,2023-10-05t07:05:00.000,2023-10-05t07:05:00.000,2023-10-05 07:17:00,2023-10-05,07:17:00,12,Regular departures
