date,count
2023-11-06,224
2023-11-07,125
2023-11-08,146
2023-11-09,174
2023-11-10,197
2023-11-11,148
2023-11-12,173
2023-11-13,167
2023-11-14,125
2023-11-15,139
2023-11-16,166
2023-11-17,193
2023-11-18,137
2023-11-19,156
2023-11-20,160
2023-11-21,125
2023-11-22,128
2023-11-23,168
2023-11-24,192
2023-11-25,146
2023-11-26,160
2023-11-27,210
2023-11-28,139
2023-11-29,141
2023-11-30,146
2023-12-01,149
2023-12-02,110
2023-12-03,150
2023-12-04,189
2023-12-05,152
2023-12-06,151
2023-12-07,121
2023-12-08,70
2023-12-12,108
2023-12-13,164
2023-12-14,195
2023-12-15,230
2023-12-16,198
2023-12-17,222
2023-12-18,239
2023-12-19,203
2023-12-20,203
2023-12-21,171
2023-12-22,656
2023-12-23,449
2023-12-24,317
2023-12-25,95
2023-12-26,176
2023-12-27,155
2023-12-28,179
2023-12-29,205
2023-12-30,179
2023-12-31,182
2024-01-01,217
2024-01-02,187
2024-01-03,173
2024-01-04,188
2024-01-05,205
2024-01-06,168
2024-01-07,177
2024-01-08,189
2024-01-09,115
2024-01-10,108
2024-01-11,135
2024-01-12,180
2024-01-13,311
2024-01-14,179
2024-01-15,155
2024-01-16,107
2024-01-17,106
2024-01-18,141
2024-01-19,383
2024-01-20,165
2024-01-21,111
2024-01-22,168
2024-01-23,108
2024-01-24,109
2024-01-25,145
2024-01-26,192
2024-01-27,142
2024-01-31,96
2024-02-01,170
2024-02-02,213
2024-02-03,165
2024-02-04,198
2024-02-05,220
2024-02-06,150
2024-02-07,156
2024-02-08,174
2024-02-09,209
2024-02-10,193
2024-02-11,209
2024-02-12,232
2024-02-13,169
2024-02-14,166
2024-02-16,237
2024-02-17,196
2024-02-18,213
2024-02-19,238
2024-02-20,162
2024-02-21,166
2024-02-22,181
2024-02-23,198
