flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
u22881,easyjet,active,2023-09-15t18:10:00.000,2023-09-15t18:23:00.000,2023-09-15 18:39:00,2023-09-15,18:39:00,30,Regular departures
fr505,ryanair,active,2023-09-15t05:55:00.000,2023-09-15t05:55:00.000,2023-09-15 06:07:00,2023-09-15,06:07:00,13,Shoulder hour flights
ls1815,jet2,active,2023-09-15t05:55:00.000,2023-09-15t05:55:00.000,2023-09-15 06:15:00,2023-09-15,06:15:00,21,Shoulder hour flights
ls1885,jet2,active,2023-09-15t05:55:00.000,2023-09-15t05:55:00.000,2023-09-15 06:05:00,2023-09-15,06:05:00,10,Shoulder hour flights
x36512,tuifly,active,2023-09-15t06:00:00.000,2023-09-15t06:00:00.000,2023-09-15 06:18:00,2023-09-15,06:18:00,18,Shoulder hour flights
u22709,easyjet,active,2023-09-15t06:00:00.000,2023-09-15t06:14:00.000,2023-09-15 06:21:00,2023-09-15,06:21:00,22,Shoulder hour flights
u22715,easyjet,active,2023-09-15t06:00:00.000,2023-09-15t06:00:00.000,2023-09-15 06:09:00,2023-09-15,06:09:00,10,Shoulder hour flights
u22845,easyjet,active,2023-09-15t06:00:00.000,2023-09-15t06:14:00.000,2023-09-15 06:12:00,2023-09-15,06:12:00,12,Shoulder hour flights
u22731,easyjet,active,2023-09-15t06:05:00.000,2023-09-15t06:18:00.000,2023-09-15 06:30:00,2023-09-15,06:30:00,25,Shoulder hour flights
u22805,easyjet,active,2023-09-15t06:10:00.000,2023-09-15t06:14:00.000,2023-09-15 06:24:00,2023-09-15,06:24:00,15,Shoulder hour flights
ls1871,jet2,active,2023-09-15t06:15:00.000,2023-09-15t06:36:00.000,2023-09-15 06:36:00,2023-09-15,06:36:00,21,Shoulder hour flights
af5199,air france,active,2023-09-15t06:20:00.000,2023-09-15t06:28:00.000,2023-09-15 06:27:00,2023-09-15,06:27:00,8,Shoulder hour flights
az3737,alitalia,active,2023-09-15t06:20:00.000,2023-09-15t06:28:00.000,2023-09-15 06:27:00,2023-09-15,06:27:00,8,Shoulder hour flights
dl9422,delta air lines,active,2023-09-15t06:20:00.000,2023-09-15t06:28:00.000,2023-09-15 06:27:00,2023-09-15,06:27:00,8,Shoulder hour flights
ey7330,etihad airways,active,2023-09-15t06:20:00.000,2023-09-15t06:28:00.000,2023-09-15 06:27:00,2023-09-15,06:27:00,8,Shoulder hour flights
g35535,gol,active,2023-09-15t06:20:00.000,2023-09-15t06:28:00.000,2023-09-15 06:27:00,2023-09-15,06:27:00,8,Shoulder hour flights
kq1046,kenya airways,active,2023-09-15t06:20:00.000,2023-09-15t06:28:00.000,2023-09-15 06:27:00,2023-09-15,06:27:00,8,Shoulder hour flights
vs6854,virgin atlantic,active,2023-09-15t06:20:00.000,2023-09-15t06:28:00.000,2023-09-15 06:27:00,2023-09-15,06:27:00,8,Shoulder hour flights
kl1046,klm,active,2023-09-15t06:20:00.000,2023-09-15t06:28:00.000,2023-09-15 06:27:00,2023-09-15,06:27:00,8,Shoulder hour flights
ls1805,jet2,active,2023-09-15t06:25:00.000,2023-09-15t06:25:00.000,2023-09-15 06:52:00,2023-09-15,06:52:00,27,Shoulder hour flights
x36558,tuifly,active,2023-09-15t06:35:00.000,2023-09-15t06:35:00.000,2023-09-15 06:44:00,2023-09-15,06:44:00,9,Shoulder hour flights
fr1941,ryanair,active,2023-09-15t06:40:00.000,2023-09-15t06:40:00.000,2023-09-15 06:54:00,2023-09-15,06:54:00,15,Shoulder hour flights
ls1859,jet2,active,2023-09-15t06:50:00.000,2023-09-15t06:50:00.000,2023-09-15 07:02:00,2023-09-15,07:02:00,12,Regular departures
x36524,tuifly,active,2023-09-15t06:50:00.000,2023-09-15t07:05:00.000,2023-09-15 07:15:00,2023-09-15,07:15:00,25,Regular departures
u22721,easyjet,active,2023-09-15t06:50:00.000,2023-09-15t06:50:00.000,2023-09-15 06:58:00,2023-09-15,06:58:00,8,Shoulder hour flights
ls1821,jet2,active,2023-09-15t07:00:00.000,2023-09-15t06:52:00.000,2023-09-15 07:40:00,2023-09-15,07:40:00,40,Regular departures
u2221,easyjet,active,2023-09-15t07:00:00.000,2023-09-15t07:13:00.000,2023-09-15 07:07:00,2023-09-15,07:07:00,7,Regular departures
u2237,easyjet,active,2023-09-15t07:00:00.000,2023-09-15t07:13:00.000,2023-09-15 07:00:00,2023-09-15,07:00:00,0,Regular departures
