flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
,,G-UZMI,A21N,EGGD/BRS,None/None,0,0,2024-11-12 00:29:58 UTC,Night flight,EZY
,,G-UZMI,A21N,EGGD/BRS,None/None,0,0,2024-11-12 00:44:56 UTC,Night flight,EZY
FR6221,RYR59UJ,EI-IFV,B38M,EGGD/BRS,EPKK/KRK,0,14,2024-11-12 05:59:58 UTC,Night flight,RYR
KL1074,KLM70M,G-CLYU,E190,EGGD/BRS,EHAM/AMS,0,0,2024-11-12 05:59:59 UTC,Night flight,EZE
U22713,EZY74HA,G-UZHF,A20N,EGGD/BRS,LEMG/AGP,0,8,2024-11-12 06:14:58 UTC,Shoulder period,EZY
FR3560,RYR6SL,EI-DWP,B738,EGGD/BRS,LIME/BGY,6925,208,2024-11-12 06:14:59 UTC,Shoulder period,RYR
KL1074,KLM70M,G-CLYU,E190,EGGD/BRS,EHAM/AMS,20725,314,2024-11-12 06:14:59 UTC,Shoulder period,EZE
FR8682,RYR78SF,SP-RZE,B38M,EYKA/KUN,EGGD/BRS,10400,306,2024-11-12 06:14:59 UTC,Shoulder period,RYS
U22713,EZY74HA,G-UZHF,A20N,EGGD/BRS,LEMG/AGP,26575,475,2024-11-12 06:29:58 UTC,Shoulder period,EZY
FR8682,RYR78SF,SP-RZE,B38M,EYKA/KUN,EGGD/BRS,0,12,2024-11-12 06:29:58 UTC,Shoulder period,RYS
U2223,EZY757A,G-EZUW,A320,EGGD/BRS,EGAA/BFS,0,84,2024-11-12 06:44:59 UTC,Day flight,EZY
U27847,EJU97FZ,OE-LSK,A20N,EHAM/AMS,EGGD/BRS,16375,334,2024-11-12 06:44:59 UTC,Day flight,EJU
U22733,EZY29AN,G-UZHA,A20N,EGGD/BRS,GCRR/ACE,0,0,2024-11-12 06:59:54 UTC,Day flight,EZY
U2201,EZY404T,G-EZWI,A320,EGGD/BRS,EGPF/GLA,0,0,2024-11-12 06:59:52 UTC,Day flight,EZY
U27847,EJU97FZ,OE-LSK,A20N,EHAM/AMS,EGGD/BRS,725,110,2024-11-12 06:59:58 UTC,Day flight,EJU
U2213,EZY972M,G-EZTX,A320,EGGD/BRS,EGPH/EDI,0,0,2024-11-12 06:59:59 UTC,Day flight,EZY
U2237,EZY26LE,G-EZTC,A320,EGGD/BRS,EGNT/NCL,10050,288,2024-11-12 06:59:58 UTC,Day flight,EZY
U22733,EZY29AN,G-UZHA,A20N,EGGD/BRS,GCRR/ACE,25575,470,2024-11-12 07:14:58 UTC,Day flight,EZY
U22771,EZY48KG,G-EZRX,A320,EGGD/BRS,LFPG/CDG,0,7,2024-11-12 07:14:58 UTC,Day flight,EZY
U22709,EZY76WA,G-UZHD,A20N,EGGD/BRS,LEPA/PMI,8450,250,2024-11-12 07:14:58 UTC,Day flight,EZY
U2213,EZY972M,G-EZTX,A320,EGGD/BRS,EGPH/EDI,19400,382,2024-11-12 07:15:00 UTC,Day flight,EZY
U22721,EZY42HC,G-UZLP,A20N,EGGD/BRS,LEAL/ALC,0,10,2024-11-12 07:29:58 UTC,Day flight,EZY
EI3280,EAI8BR,EI-FSL,AT76,EIDW/DUB,EGGD/BRS,2975,210,2024-11-12 07:29:58 UTC,Day flight,EAI
FR8681,RYR992R,SP-RZE,B38M,EGGD/BRS,EYKA/KUN,3775,202,2024-11-12 07:29:56 UTC,Day flight,RYS
U22721,EZY42HC,G-UZLP,A20N,EGGD/BRS,LEAL/ALC,26625,472,2024-11-12 07:44:57 UTC,Day flight,EZY
U22937,EZY51FL,G-EZRT,A320,EGGD/BRS,EPKK/KRK,0,0,2024-11-12 07:44:57 UTC,Day flight,EZY
U27848,EJU57WJ,OE-LSK,A20N,EGGD/BRS,EHAM/AMS,0,13,2024-11-12 07:59:59 UTC,Day flight,EJU
LS1863,EXS3KC,G-JZBL,B738,EGGD/BRS,GCLP/LPA,0,2,2024-11-12 07:59:59 UTC,Day flight,EXS
U22937,EZY51FL,G-EZRT,A320,EGGD/BRS,EPKK/KRK,16825,321,2024-11-12 07:59:57 UTC,Day flight,EZY
LS1863,EXS3KC,G-JZBL,B738,EGGD/BRS,GCLP/LPA,9125,290,2024-11-12 08:14:58 UTC,Day flight,EXS
EI3281,EAI81A,EI-FSL,AT76,EGGD/BRS,EIDW/DUB,0,0,2024-11-12 08:14:53 UTC,Day flight,EAI
KL1075,KLM49G,D-APRI,E190,EHAM/AMS,EGGD/BRS,5150,292,2024-11-12 08:14:59 UTC,Day flight,GER
EI3281,EAI81A,EI-FSL,AT76,EGGD/BRS,EIDW/DUB,7675,185,2024-11-12 08:29:58 UTC,Day flight,EAI
U22963,EZY12YH,G-UZHI,A20N,EGGD/BRS,GMMX/RAK,10375,307,2024-11-12 08:44:57 UTC,Day flight,EZY
U2238,EZY38YA,G-EZTC,A320,EGNT/NCL,EGGD/BRS,2700,174,2024-11-12 09:14:59 UTC,Day flight,EZY
U2224,EZY937G,G-EZUW,A320,EGAA/BFS,EGGD/BRS,450,122,2024-11-12 09:14:59 UTC,Day flight,EZY
KL1076,KLM80X,D-APRI,E190,EGGD/BRS,EHAM/AMS,13100,278,2024-11-12 09:14:57 UTC,Day flight,GER
LS1883,EXS39C,G-JZBG,B738,EGGD/BRS,GCTS/TFS,18775,428,2024-11-12 09:29:59 UTC,Day flight,EXS
FR4754,RYR9ND,EI-HGN,B38M,GCTS/TFS,EGGD/BRS,14425,272,2024-11-12 09:44:56 UTC,Day flight,RYR
,CLF687A,G-HARG,E550,EGGD/BRS,EGWU/NHT,0,0,2024-11-12 09:44:03 UTC,Day flight,CLF
U2202,EZY93CM,G-EZWI,A320,EGPF/GLA,EGGD/BRS,300,125,2024-11-12 09:44:58 UTC,Day flight,EZY
BY562,TOM5YA,G-TUMS,B38M,EGGD/BRS,GVAC/SID,0,15,2024-11-12 09:44:59 UTC,Day flight,TOM
U2214,EZY37UM,G-EZTX,A320,EGPH/EDI,EGGD/BRS,3950,222,2024-11-12 09:44:56 UTC,Day flight,EZY
BY562,TOM5YA,G-TUMS,B38M,EGGD/BRS,GVAC/SID,22550,449,2024-11-12 09:59:58 UTC,Day flight,TOM
FR4754,RYR9ND,EI-HGN,B38M,GCTS/TFS,EGGD/BRS,0,4,2024-11-12 09:59:59 UTC,Day flight,RYR
LS1803,EXS1803,G-JZBN,B738,EGGD/BRS,GCRR/ACE,0,0,2024-11-12 09:59:52 UTC,Day flight,EXS
U22875,EZY53PM,G-EZTC,A320,EGGD/BRS,LPPR/OPO,0,0,2024-11-12 09:59:48 UTC,Day flight,EZY
FR2292,RYR87SV,EI-HAT,B38M,EGGD/BRS,LEAL/ALC,0,0,2024-11-12 09:59:58 UTC,Day flight,RYR
U22875,EZY53PM,G-EZTC,A320,EGGD/BRS,LPPR/OPO,15350,401,2024-11-12 10:14:59 UTC,Day flight,EZY
LS1803,EXS1803,G-JZBN,B738,EGGD/BRS,GCRR/ACE,20350,434,2024-11-12 10:14:59 UTC,Day flight,EXS
FR2292,RYR87SV,EI-HAT,B38M,EGGD/BRS,LEAL/ALC,0,0,2024-11-12 10:14:44 UTC,Day flight,RYR
,CLF687A,G-HARG,E550,EGGD/BRS,EGWU/NHT,8100,245,2024-11-12 10:14:58 UTC,Day flight,CLF
FR2292,RYR87SV,EI-HAT,B38M,EGGD/BRS,LEAL/ALC,23900,451,2024-11-12 10:29:58 UTC,Day flight,RYR
,,G-UZMI,A21N,EGGD/BRS,None/None,0,0,2024-11-12 10:29:55 UTC,Day flight,EZY
,ELE99,G-WPDE,EC35,EGGD/BRS,None/None,0,0,2024-11-12 10:29:54 UTC,Day flight,
U22772,EZY18TQ,G-EZRX,A320,LFPG/CDG,EGGD/BRS,10550,392,2024-11-12 10:29:59 UTC,Day flight,EZY
U22772,EZY18TQ,G-EZRX,A320,LFPG/CDG,EGGD/BRS,0,0,2024-11-12 10:44:59 UTC,Day flight,EZY
SI474,BCI474,G-ISLO,AT75,EGJJ/JER,EGGD/BRS,9075,218,2024-11-12 10:44:59 UTC,Day flight,BCI
FR4753,RYR56SX,EI-HGN,B38M,EGGD/BRS,GCTS/TFS,0,0,2024-11-12 10:44:43 UTC,Day flight,RYR
,,G-UZMI,A21N,EGGD/BRS,None/None,0,0,2024-11-12 10:44:04 UTC,Day flight,EZY
FR3559,RYR43MA,EI-DYV,B738,LIME/BGY,EGGD/BRS,4525,244,2024-11-12 10:44:59 UTC,Day flight,RYR
,ELE99,G-WPDE,EC35,EGGD/BRS,None/None,1250,97,2024-11-12 10:44:59 UTC,Day flight,
FR4753,RYR56SX,EI-HGN,B38M,EGGD/BRS,GCTS/TFS,17100,402,2024-11-12 10:59:58 UTC,Day flight,RYR
SI474,BCI474,G-ISLO,AT75,EGJJ/JER,EGGD/BRS,0,0,2024-11-12 11:00:00 UTC,Day flight,BCI
,NJU004D,G-NJAE,F2TH,EGGD/BRS,LIMC/MXP,0,0,2024-11-12 10:59:59 UTC,Day flight,NJU
U22913,EZY2913,G-UZLL,A20N,EGGD/BRS,HEGN/HRG,350,154,2024-11-12 10:59:59 UTC,Day flight,EZY
U2217,EZY137C,G-EZRX,A320,EGGD/BRS,EGPH/EDI,0,0,2024-11-12 10:59:42 UTC,Day flight,EZY
,NJU004D,G-NJAE,F2TH,EGGD/BRS,LIMC/MXP,7750,230,2024-11-12 11:14:58 UTC,Day flight,NJU
FR504,RYR61VY,EI-EKS,B738,EIDW/DUB,EGGD/BRS,6000,246,2024-11-12 11:29:59 UTC,Day flight,RYR
U2217,EZY137C,G-EZRX,A320,EGGD/BRS,EGPH/EDI,0,3,2024-11-12 11:29:59 UTC,Day flight,EZY
SI475,BCI475,G-ISLO,AT75,EGGD/BRS,EGJJ/JER,0,0,2024-11-12 11:29:59 UTC,Day flight,BCI
,,G-UZMI,A21N,EGGD/BRS,None/None,0,0,2024-11-12 11:29:57 UTC,Day flight,EZY
BY6278,TOM33W,G-TUMU,B38M,EGGD/BRS,GCTS/TFS,0,0,2024-11-12 11:29:58 UTC,Day flight,TOM
FR6220,RYR47SE,EI-IFV,B38M,EPKK/KRK,EGGD/BRS,2400,147,2024-11-12 11:44:57 UTC,Day flight,RYR
SI475,BCI475,G-ISLO,AT75,EGGD/BRS,EGJJ/JER,2450,148,2024-11-12 11:45:00 UTC,Day flight,BCI
BY6278,TOM33W,G-TUMU,B38M,EGGD/BRS,GCTS/TFS,7825,299,2024-11-12 11:45:00 UTC,Day flight,TOM
U2217,EZY137C,G-EZRX,A320,EGGD/BRS,EGPH/EDI,16900,335,2024-11-12 11:45:00 UTC,Day flight,EZY
SI475,BCI475,G-ISLO,AT75,EGGD/BRS,EGJJ/JER,15000,314,2024-11-12 11:59:59 UTC,Day flight,BCI
U22714,EZY93PH,G-UZHF,A20N,LEMG/AGP,EGGD/BRS,13100,271,2024-11-12 12:14:59 UTC,Day flight,EZY
U22710,EZY24QH,G-UZHD,A20N,LEPA/PMI,EGGD/BRS,9700,268,2024-11-12 12:29:59 UTC,Day flight,EZY
U22935,EZY61QT,G-EZTX,A320,EGGD/BRS,LKPR/PRG,0,1,2024-11-12 12:29:55 UTC,Day flight,EZY
,GONET,G-ONET,P28A,EGGD/BRS,None/None,1200,40,2024-11-12 12:29:17 UTC,Day flight,
FR505,RYR66QN,EI-EFZ,B738,EGGD/BRS,EIDW/DUB,0,21,2024-11-12 12:44:59 UTC,Day flight,RYR
,ELE14,G-WPDE,EC35,EGGD/BRS,None/None,0,96,2024-11-12 12:44:58 UTC,Day flight,
U22935,EZY61QT,G-EZTX,A320,EGGD/BRS,LKPR/PRG,21575,340,2024-11-12 12:44:58 UTC,Day flight,EZY
U22722,EZY25WK,G-UZLP,A20N,LEAL/ALC,EGGD/BRS,16625,260,2024-11-12 12:59:58 UTC,Day flight,EZY
KL1079,KLM53Q,G-CLYU,E190,EHAM/AMS,EGGD/BRS,4775,268,2024-11-12 12:59:59 UTC,Day flight,EZE
U22719,EZY48VB,G-EZWI,A320,EGGD/BRS,GCFV/FUE,0,7,2024-11-12 13:00:00 UTC,Day flight,EZY
FR505,RYR66QN,EI-EFZ,B738,EGGD/BRS,EIDW/DUB,24000,377,2024-11-12 12:59:59 UTC,Day flight,RYR
U22722,EZY25WK,G-UZLP,A20N,LEAL/ALC,EGGD/BRS,425,119,2024-11-12 13:14:58 UTC,Day flight,EZY
U2219,219,G-UZMI,A21N,EGGD/BRS,EGPH/EDI,0,0,2024-11-12 13:14:58 UTC,Day flight,EZY
U22938,EZY96RE,G-EZRT,A320,EPKK/KRK,EGGD/BRS,2275,146,2024-11-12 13:29:57 UTC,Day flight,EZY
U2219,EZY291L,G-UZMI,A21N,EGGD/BRS,EGPH/EDI,0,0,2024-11-12 13:29:58 UTC,Day flight,EZY
U22735,EZY82RC,G-UZHD,A20N,EGGD/BRS,GCLP/LPA,24900,448,2024-11-12 13:44:58 UTC,Day flight,EZY
U22727,EZY64AC,G-UZHF,A20N,EGGD/BRS,GCTS/TFS,0,142,2024-11-12 13:44:59 UTC,Day flight,EZY
KL1080,KLM1080,G-CLYU,E190,EGGD/BRS,EHAM/AMS,0,0,2024-11-12 13:45:00 UTC,Day flight,EZE
U2219,EZY291L,G-UZMI,A21N,EGGD/BRS,EGPH/EDI,0,0,2024-11-12 13:44:47 UTC,Day flight,EZY
U22723,EZY21XM,G-EZUW,A320,EGGD/BRS,LEAL/ALC,10025,325,2024-11-12 13:59:58 UTC,Day flight,EZY
U2219,EZY291L,G-UZMI,A21N,EGGD/BRS,EGPH/EDI,0,22,2024-11-12 13:59:59 UTC,Day flight,EZY
