Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
easyJet,Pablo Ruiz Picasso,2024-04-19T10:25:00+00:00,2024-04-19T11:06:00+00:00,Bristol,2024-04-19T12:10:00+00:00,2024-04-19T12:38:00+00:00
easyJet,Lisbon Portela,2024-04-19T10:05:00+00:00,2024-04-19T11:23:00+00:00,Bristol,2024-04-19T12:35:00+00:00,
easyJet,Charles De Gaulle,2024-04-19T09:55:00+00:00,2024-04-19T10:20:00+00:00,Bristol,2024-04-19T10:15:00+00:00,2024-04-19T10:14:00+00:00
Jet2,Son Sant Joan Airport,2024-04-19T10:15:00+00:00,2024-04-19T10:55:00+00:00,Bristol,2024-04-19T11:45:00+00:00,2024-04-19T12:11:00+00:00
easyJet,Edinburgh,2024-04-19T21:10:00+00:00,2024-04-19T21:34:00+00:00,Bristol,2024-04-19T22:25:00+00:00,2024-04-19T22:20:00+00:00
Ryanair,Dublin International,2024-04-19T15:05:00+00:00,2024-04-19T15:27:00+00:00,Bristol,2024-04-19T16:10:00+00:00,2024-04-19T16:05:00+00:00
Ryanair,Faro,2024-04-19T10:50:00+00:00,2024-04-19T11:00:00+00:00,Bristol,2024-04-19T13:30:00+00:00,2024-04-19T13:27:00+00:00
easyJet,Geneve-cointrin,2024-04-19T10:40:00+00:00,2024-04-19T11:10:00+00:00,Bristol,2024-04-19T11:25:00+00:00,2024-04-19T11:44:00+00:00
easyJet,Fontanarossa,2024-04-19T10:45:00+00:00,2024-04-19T11:05:00+00:00,Bristol,2024-04-19T13:10:00+00:00,2024-04-19T13:17:00+00:00
easyJet,El Prat De Llobregat,2024-04-19T10:55:00+00:00,2024-04-19T11:17:00+00:00,Bristol,2024-04-19T12:15:00+00:00,2024-04-19T12:24:00+00:00
Jet2,Ibiza,2024-04-19T11:15:00+00:00,2024-04-19T11:20:00+00:00,Bristol,2024-04-19T12:45:00+00:00,2024-04-19T12:35:00+00:00
Ryanair,El Prat De Llobregat,2024-04-19T14:35:00+00:00,2024-04-19T14:58:00+00:00,Bristol,2024-04-19T16:00:00+00:00,2024-04-19T16:01:00+00:00
Ryanair,Henri Coanda International,2024-04-19T11:45:00+00:00,2024-04-19T12:04:00+00:00,Bristol,2024-04-19T13:20:00+00:00,2024-04-19T13:21:00+00:00
empty,Lesquin,2024-04-19T15:00:00+00:00,2024-04-19T14:18:00+00:00,Bristol,2024-04-19T14:46:00+00:00,2024-04-19T14:09:00+00:00
easyJet,Cote D'azur International Airport,2024-04-19T10:45:00+00:00,2024-04-19T11:03:00+00:00,Bristol,2024-04-19T11:55:00+00:00,2024-04-19T12:00:00+00:00
Ryanair,Alicante El Altet,2024-04-19T11:10:00+00:00,2024-04-19T11:16:00+00:00,Bristol,2024-04-19T12:45:00+00:00,2024-04-19T12:46:00+00:00
easyJet,Aldergrove International Airport,2024-04-19T12:45:00+00:00,2024-04-19T14:35:00+00:00,Bristol,2024-04-19T13:55:00+00:00,
easyJet,Aldergrove International Airport,2024-04-19T17:30:00+00:00,2024-04-19T18:29:00+00:00,Bristol,2024-04-19T18:35:00+00:00,2024-04-19T19:12:00+00:00
Jet2,Lanzarote,2024-04-19T14:15:00+00:00,2024-04-19T14:36:00+00:00,Bristol,2024-04-19T18:10:00+00:00,2024-04-19T18:08:00+00:00
easyJet,Aldergrove International Airport,2024-04-19T08:40:00+00:00,2024-04-19T08:50:00+00:00,Bristol,2024-04-19T09:45:00+00:00,2024-04-19T09:35:00+00:00
British Airways,Dublin International,2024-04-19T14:30:00+00:00,2024-04-19T15:14:00+00:00,Bristol,2024-04-19T15:50:00+00:00,2024-04-19T16:11:00+00:00
Qatar Airways,Dublin International,2024-04-19T14:30:00+00:00,2024-04-19T15:14:00+00:00,Bristol,2024-04-19T15:50:00+00:00,2024-04-19T16:11:00+00:00
Aer Lingus,Dublin International,2024-04-19T14:30:00+00:00,2024-04-19T15:14:00+00:00,Bristol,2024-04-19T15:50:00+00:00,2024-04-19T16:11:00+00:00
easyJet,Orly,2024-04-19T15:35:00+00:00,2024-04-19T16:02:00+00:00,Bristol,2024-04-19T15:55:00+00:00,2024-04-19T16:08:00+00:00
easyJet,Son Sant Joan Airport,2024-04-19T15:15:00+00:00,2024-04-19T15:17:00+00:00,Bristol,2024-04-19T16:45:00+00:00,2024-04-19T16:37:00+00:00
Ryanair,Alicante El Altet,2024-04-19T21:40:00+00:00,2024-04-19T22:12:00+00:00,Bristol,2024-04-19T23:15:00+00:00,2024-04-19T23:30:00+00:00
empty,Guernsey,2024-04-19T15:00:00+00:00,2024-04-19T14:55:00+00:00,Bristol,2024-04-19T15:42:00+00:00,2024-04-19T15:36:00+00:00
Jet2,Alicante El Altet,2024-04-19T10:45:00+00:00,2024-04-19T11:47:00+00:00,Bristol,2024-04-19T12:20:00+00:00,
BAe Systems Marine,Walney Island,2024-04-19T13:30:00+00:00,2024-04-19T13:46:00+00:00,Bristol,2024-04-19T14:15:00+00:00,2024-04-19T14:27:00+00:00
easyJet,Mérignac,2024-04-19T14:15:00+00:00,2024-04-19T14:23:00+00:00,Bristol,2024-04-19T14:50:00+00:00,2024-04-19T14:47:00+00:00
Virgin Atlantic,Schiphol,2024-04-19T08:35:00+00:00,2024-04-19T09:18:00+00:00,Bristol,2024-04-19T08:50:00+00:00,2024-04-19T09:12:00+00:00
Aurigny Air Services,Guernsey,2024-04-19T12:55:00+00:00,,Bristol,2024-04-19T13:50:00+00:00,
Jet2,Larnaca,2024-04-19T17:35:00+00:00,2024-04-19T17:43:00+00:00,Bristol,2024-04-19T20:50:00+00:00,2024-04-19T20:25:00+00:00
German Airways,Schiphol,2024-04-19T16:40:00+00:00,2024-04-19T17:31:00+00:00,Bristol,2024-04-19T16:55:00+00:00,2024-04-19T17:25:00+00:00
easyJet,Alicante El Altet,2024-04-19T11:05:00+00:00,2024-04-19T11:11:00+00:00,Bristol,2024-04-19T12:40:00+00:00,2024-04-19T12:31:00+00:00
Ryanair,Ireland West Airport Knock,2024-04-19T16:05:00+00:00,2024-04-19T16:29:00+00:00,Bristol,2024-04-19T17:15:00+00:00,2024-04-19T17:22:00+00:00
easyJet,John Paul II Balice International,2024-04-19T17:55:00+00:00,2024-04-19T18:04:00+00:00,Bristol,2024-04-19T19:35:00+00:00,2024-04-19T19:17:00+00:00
easyJet,Leonardo Da Vinci (Fiumicino),2024-04-19T17:20:00+00:00,2024-04-19T17:31:00+00:00,Bristol,2024-04-19T19:05:00+00:00,2024-04-19T19:02:00+00:00
TUIfly,Sur Reina Sofia,2024-04-19T16:25:00+00:00,2024-04-19T17:15:00+00:00,Bristol,2024-04-19T20:35:00+00:00,2024-04-19T20:55:00+00:00
easyJet,George Best Belfast City,2024-04-19T16:25:00+00:00,2024-04-19T17:11:00+00:00,Bristol,2024-04-19T17:30:00+00:00,2024-04-19T17:59:00+00:00
easyJet,Schiphol,2024-04-19T19:00:00+00:00,2024-04-19T19:22:00+00:00,Bristol,2024-04-19T19:20:00+00:00,2024-04-19T19:23:00+00:00
easyJet,Charles De Gaulle,2024-04-19T16:55:00+00:00,2024-04-19T18:06:00+00:00,Bristol,2024-04-19T17:15:00+00:00,
easyJet,Son Sant Joan Airport,2024-04-19T14:00:00+00:00,2024-04-19T14:11:00+00:00,Bristol,2024-04-19T15:30:00+00:00,2024-04-19T15:28:00+00:00
easyJet,Schiphol,2024-04-19T10:10:00+00:00,2024-04-19T11:40:00+00:00,Bristol,2024-04-19T10:30:00+00:00,
Ryanair,Liszt Ferenc International,2024-04-19T09:40:00+00:00,2024-04-19T10:00:00+00:00,Bristol,2024-04-19T11:25:00+00:00,2024-04-19T11:36:00+00:00
Ryanair,Son Sant Joan Airport,2024-04-19T20:45:00+00:00,2024-04-19T20:48:00+00:00,Bristol,2024-04-19T22:15:00+00:00,2024-04-19T21:59:00+00:00
easyJet,Malta International,2024-04-19T11:25:00+00:00,2024-04-19T11:51:00+00:00,Bristol,2024-04-19T13:55:00+00:00,2024-04-19T14:18:00+00:00
easyJet,Glasgow International,2024-04-19T12:35:00+00:00,2024-04-19T12:35:00+00:00,Bristol,2024-04-19T13:50:00+00:00,2024-04-19T13:24:00+00:00
easyJet,Glasgow International,2024-04-19T18:00:00+00:00,2024-04-19T18:20:00+00:00,Bristol,2024-04-19T19:10:00+00:00,2024-04-19T19:07:00+00:00
easyJet,Dalaman,2024-04-19T23:35:00+00:00,2024-04-19T23:34:00+00:00,Bristol,2024-04-20T02:00:00+00:00,2024-04-20T01:43:00+00:00
easyJet,Newcastle Airport,2024-04-19T14:40:00+00:00,2024-04-19T15:03:00+00:00,Bristol,2024-04-19T15:45:00+00:00,2024-04-19T15:46:00+00:00
easyJet,Edinburgh,2024-04-19T08:50:00+00:00,2024-04-19T09:02:00+00:00,Bristol,2024-04-19T10:05:00+00:00,2024-04-19T09:53:00+00:00
easyJet,Edinburgh,2024-04-19T17:30:00+00:00,2024-04-19T18:02:00+00:00,Bristol,2024-04-19T18:45:00+00:00,2024-04-19T18:50:00+00:00
