flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
U22733,EZY29AN,G-UZHA,A20N,EGGD/BRS,GCRR/ACE,0,0,2024-11-12 06:59:54 UTC,Day flight,EZY
U2201,EZY404T,G-EZWI,A320,EGGD/BRS,EGPF/GLA,0,0,2024-11-12 06:59:52 UTC,Day flight,EZY
U27847,EJU97FZ,OE-LSK,A20N,EHAM/AMS,EGGD/BRS,725,110,2024-11-12 06:59:58 UTC,Day flight,EJU
U2213,EZY972M,G-EZTX,A320,EGGD/BRS,EGPH/EDI,0,0,2024-11-12 06:59:59 UTC,Day flight,EZY
U2237,EZY26LE,G-EZTC,A320,EGGD/BRS,EGNT/NCL,10050,288,2024-11-12 06:59:58 UTC,Day flight,EZY
