flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
LS1810,EXS1810,G-DRTP,B738,LTAI/AYT,EGGD/BRS,4175,238,2024-11-11 19:29:58 UTC,Day flight,EXS
U2227,EZY815Z,G-EZTX,A320,EGGD/BRS,EGAA/BFS,12800,316,2024-11-11 19:29:58 UTC,Day flight,EZY
EI3285,EAI85Y,EI-GPP,AT76,EGGD/BRS,EIDW/DUB,12675,187,2024-11-11 19:29:59 UTC,Day flight,EAI
LM45,LOG5PS,G-SAJS,E145,EGPD/ABZ,EGGD/BRS,8025,275,2024-11-11 19:29:56 UTC,Day flight,LOG
