Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
easyJet,Pablo Ruiz Picasso,2024-04-14T10:40:00+00:00,2024-04-14T10:59:00+00:00,Bristol,2024-04-14T12:25:00+00:00,2024-04-14T12:24:00+00:00
Ryanair,Jasionka,2024-04-14T11:15:00+00:00,2024-04-14T11:07:00+00:00,Bristol,2024-04-14T13:05:00+00:00,2024-04-14T13:01:00+00:00
Ryanair,Liszt Ferenc International,2024-04-14T06:00:00+00:00,2024-04-14T06:03:00+00:00,Bristol,2024-04-14T07:45:00+00:00,2024-04-14T07:49:00+00:00
Ryanair,Bergamo - Orio al Serio,2024-04-14T05:55:00+00:00,2024-04-14T06:05:00+00:00,Bristol,2024-04-14T07:00:00+00:00,2024-04-14T06:58:00+00:00
easyJet,Geneve-cointrin,2024-04-14T10:50:00+00:00,2024-04-14T11:23:00+00:00,Bristol,2024-04-14T11:35:00+00:00,2024-04-14T11:56:00+00:00
Jet2,Son Sant Joan Airport,2024-04-14T10:25:00+00:00,2024-04-14T11:05:00+00:00,Bristol,2024-04-14T11:55:00+00:00,2024-04-14T12:13:00+00:00
easyJet,Milano Malpensa,2024-04-14T10:20:00+00:00,2024-04-14T10:37:00+00:00,Bristol,2024-04-14T11:20:00+00:00,2024-04-14T11:26:00+00:00
easyJet,Diagoras,2024-04-14T13:40:00+00:00,2024-04-14T13:47:00+00:00,Bristol,2024-04-14T16:05:00+00:00,2024-04-14T16:03:00+00:00
easyJet,Aldergrove International Airport,2024-04-14T09:30:00+00:00,2024-04-14T09:31:00+00:00,Bristol,2024-04-14T10:35:00+00:00,2024-04-14T10:20:00+00:00
Centreline,Edinburgh,2024-04-14T11:00:00+00:00,2024-04-14T10:55:00+00:00,Bristol,2024-04-14T12:01:00+00:00,2024-04-14T11:49:00+00:00
Delta Air Lines,Schiphol,2024-04-14T12:55:00+00:00,2024-04-14T13:33:00+00:00,Bristol,2024-04-14T13:10:00+00:00,2024-04-14T13:33:00+00:00
Ryanair,Alicante El Altet,2024-04-14T09:50:00+00:00,2024-04-14T09:57:00+00:00,Bristol,2024-04-14T11:25:00+00:00,2024-04-14T11:08:00+00:00
