flight_type,flight_number,flight_icao,airline_name,airline_iata,flight_status,flight_date,dep_airport,dep_iata,dep_icao,dep_terminal,dep_gate,dep_scheduled,dep_estimated,dep_actual,dep_delay,arr_airport,arr_iata,arr_icao,arr_terminal,arr_gate,arr_baggage,arr_scheduled,arr_estimated,arr_actual,arr_delay,aircraft_registration,aircraft_iata,is_codeshare,codeshare_airline,codeshare_flight
Departure,U22877,EZY2877,easyJet,U2,diverted,2025-09-22,Bristol,BRS,EGGD,,,2025-09-22T07:10:00+00:00,2025-09-22T07:10:00+00:00,2025-09-22T08:27:00+00:00,78,Madeira,FNC,LPMA,T1,,,2025-09-22T10:55:00+00:00,2025-09-22T09:06:00+00:00,,,,,No,,
Departure,FR509,RYR509,Ryanair,FR,landed,2025-09-22,Bristol,BRS,EGGD,,,2025-09-22T07:40:00+00:00,2025-09-22T07:40:00+00:00,2025-09-22T07:52:00+00:00,13,Dublin International,DUB,EIDW,1,,7,2025-09-22T08:45:00+00:00,2025-09-22T08:29:00+00:00,2025-09-22T08:30:00+00:00,,,,No,,
Departure,BA8937,BAW8937,British Airways,BA,landed,2025-09-22,Bristol,BRS,EGGD,,,2025-09-22T08:25:00+00:00,2025-09-22T08:25:00+00:00,2025-09-22T08:46:00+00:00,21,Dublin International,DUB,EIDW,2,,3,2025-09-22T09:40:00+00:00,2025-09-22T09:40:00+00:00,2025-09-22T09:43:00+00:00,3,,,Yes,aer lingus,ei3281
Departure,QR8247,QTR8247,Qatar Airways,QR,landed,2025-09-22,Bristol,BRS,EGGD,,,2025-09-22T08:25:00+00:00,2025-09-22T08:25:00+00:00,2025-09-22T08:46:00+00:00,21,Dublin International,DUB,EIDW,2,,3,2025-09-22T09:40:00+00:00,2025-09-22T09:40:00+00:00,2025-09-22T09:43:00+00:00,3,,,Yes,aer lingus,ei3281
Departure,EI3281,EIN3281,Aer Lingus,EI,landed,2025-09-22,Bristol,BRS,EGGD,,,2025-09-22T08:25:00+00:00,2025-09-22T08:25:00+00:00,2025-09-22T08:46:00+00:00,21,Dublin International,DUB,EIDW,2,,3,2025-09-22T09:40:00+00:00,2025-09-22T09:40:00+00:00,2025-09-22T09:43:00+00:00,3,,,No,,
Departure,FR5341,RYR5341,Ryanair,FR,landed,2025-09-22,Bristol,BRS,EGGD,,15,2025-09-22T05:55:00+00:00,2025-09-22T05:55:00+00:00,2025-09-22T06:10:00+00:00,15,Henri Coanda International,OTP,LROP,,15,,2025-09-22T11:10:00+00:00,2025-09-22T11:06:00+00:00,2025-09-22T11:05:00+00:00,,,,No,,
Departure,X3418,TUI418,TUIfly,X3,landed,2025-09-22,Bristol,BRS,EGGD,,,2025-09-22T06:00:00+00:00,2025-09-22T06:00:00+00:00,2025-09-22T06:24:00+00:00,25,Dalaman,DLM,LTBS,I,,,2025-09-22T12:05:00+00:00,2025-09-22T12:21:00+00:00,2025-09-22T12:19:00+00:00,14,,,No,,
Departure,LS1871,EXS1871,Jet2,LS,landed,2025-09-22,Bristol,BRS,EGGD,,,2025-09-22T07:25:00+00:00,2025-09-22T07:25:00+00:00,2025-09-22T07:49:00+00:00,24,Son Sant Joan Airport,PMI,LEPA,2,,07,2025-09-22T10:50:00+00:00,2025-09-22T10:50:00+00:00,2025-09-22T10:51:00+00:00,1,,,No,,
Departure,DL9522,DAL9522,Delta Air Lines,DL,landed,2025-09-22,Bristol,BRS,EGGD,,11,2025-09-22T09:20:00+00:00,2025-09-22T09:20:00+00:00,2025-09-22T09:34:00+00:00,15,Schiphol,AMS,EHAM,2,A08,009,2025-09-22T11:35:00+00:00,2025-09-22T11:28:00+00:00,2025-09-22T11:29:00+00:00,,,,Yes,klm,kl1076
Departure,G35569,GLO5569,Gol,G3,landed,2025-09-22,Bristol,BRS,EGGD,,11,2025-09-22T09:20:00+00:00,2025-09-22T09:20:00+00:00,2025-09-22T09:34:00+00:00,15,Schiphol,AMS,EHAM,2,A08,009,2025-09-22T11:35:00+00:00,2025-09-22T11:28:00+00:00,2025-09-22T11:29:00+00:00,,,,Yes,klm,kl1076
