Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
easyJet,Schiphol,2024-04-09T19:25:00+00:00,2024-04-09T20:37:00+00:00,Bristol,2024-04-09T19:45:00+00:00,2024-04-09T20:33:00+00:00
easyJet,Edinburgh,2024-04-09T21:10:00+00:00,2024-04-09T21:56:00+00:00,Bristol,2024-04-09T22:25:00+00:00,2024-04-09T22:44:00+00:00
easyJet,Francisco Sá Carneiro,2024-04-09T21:25:00+00:00,2024-04-09T21:32:00+00:00,Bristol,2024-04-09T23:30:00+00:00,2024-04-09T23:30:00+00:00
easyJet,Charles De Gaulle,2024-04-09T10:05:00+00:00,2024-04-09T10:24:00+00:00,Bristol,2024-04-09T10:25:00+00:00,2024-04-09T10:17:00+00:00
Ryanair,El Prat De Llobregat,2024-04-09T06:25:00+00:00,2024-04-09T06:43:00+00:00,Bristol,2024-04-09T07:50:00+00:00,2024-04-09T07:36:00+00:00
Ryanair,Bergamo - Orio al Serio,2024-04-09T05:55:00+00:00,2024-04-09T06:09:00+00:00,Bristol,2024-04-09T07:00:00+00:00,2024-04-09T06:50:00+00:00
easyJet,Dalaman,2024-04-09T00:15:00+00:00,2024-04-09T00:37:00+00:00,Bristol,2024-04-09T02:40:00+00:00,2024-04-09T02:38:00+00:00
TUIfly,Son Sant Joan Airport,2024-04-09T10:50:00+00:00,2024-04-09T11:12:00+00:00,Bristol,2024-04-09T12:15:00+00:00,2024-04-09T12:22:00+00:00
easyJet,Son Sant Joan Airport,2024-04-09T14:20:00+00:00,2024-04-09T14:48:00+00:00,Bristol,2024-04-09T15:50:00+00:00,2024-04-09T16:02:00+00:00
Ryanair,Faro,2024-04-09T06:30:00+00:00,2024-04-09T06:36:00+00:00,Bristol,2024-04-09T09:10:00+00:00,2024-04-09T09:09:00+00:00
easyJet,Faro,2024-04-09T07:00:00+00:00,2024-04-09T07:06:00+00:00,Bristol,2024-04-09T09:40:00+00:00,2024-04-09T09:40:00+00:00
Jet2,Sur Reina Sofia,2024-04-09T15:35:00+00:00,2024-04-09T15:33:00+00:00,Bristol,2024-04-09T19:45:00+00:00,2024-04-09T19:52:00+00:00
Ryanair,Barajas,2024-04-09T18:30:00+00:00,2024-04-09T18:58:00+00:00,Bristol,2024-04-09T19:45:00+00:00,2024-04-09T19:58:00+00:00
easyJet,Ioannis Kapodistrias,2024-04-09T00:10:00+00:00,2024-04-09T00:16:00+00:00,Bristol,2024-04-09T01:35:00+00:00,2024-04-09T01:16:00+00:00
easyJet,Leonardo Da Vinci (Fiumicino),2024-04-09T10:20:00+00:00,2024-04-09T11:02:00+00:00,Bristol,2024-04-09T12:15:00+00:00,2024-04-09T12:16:00+00:00
Ryanair,Alicante El Altet,2024-04-09T10:15:00+00:00,2024-04-09T10:34:00+00:00,Bristol,2024-04-09T11:50:00+00:00,2024-04-09T12:06:00+00:00
easyJet,Pablo Ruiz Picasso,2024-04-09T10:25:00+00:00,2024-04-09T10:36:00+00:00,Bristol,2024-04-09T12:10:00+00:00,2024-04-09T12:10:00+00:00
Blue Islands,Jersey,2024-04-09T09:10:00+00:00,2024-04-09T09:45:00+00:00,Bristol,2024-04-09T10:07:00+00:00,2024-04-09T10:36:00+00:00
easyJet,Schiphol,2024-04-09T12:10:00+00:00,2024-04-09T12:22:00+00:00,Bristol,2024-04-09T12:30:00+00:00,2024-04-09T12:26:00+00:00
Jet2,Dalaman,2024-04-09T13:20:00+00:00,2024-04-09T13:42:00+00:00,Bristol,2024-04-09T15:45:00+00:00,2024-04-09T15:39:00+00:00
easyJet,Larnaca,2024-04-09T14:30:00+00:00,2024-04-09T15:07:00+00:00,Bristol,2024-04-09T17:45:00+00:00,2024-04-09T17:40:00+00:00
easyJet,Sur Reina Sofia,2024-04-09T11:10:00+00:00,2024-04-09T11:24:00+00:00,Bristol,2024-04-09T15:15:00+00:00,2024-04-09T15:32:00+00:00
Jet2,Gran Canaria,2024-04-09T13:45:00+00:00,2024-04-09T13:55:00+00:00,Bristol,2024-04-09T17:45:00+00:00,2024-04-09T18:10:00+00:00
Aer Lingus,Dublin International,2024-04-09T14:30:00+00:00,2024-04-09T14:42:00+00:00,Bristol,2024-04-09T15:50:00+00:00,2024-04-09T15:37:00+00:00
Qatar Airways,Dublin International,2024-04-09T14:30:00+00:00,2024-04-09T14:42:00+00:00,Bristol,2024-04-09T15:50:00+00:00,2024-04-09T15:37:00+00:00
British Airways,Dublin International,2024-04-09T14:30:00+00:00,2024-04-09T14:42:00+00:00,Bristol,2024-04-09T15:50:00+00:00,2024-04-09T15:37:00+00:00
KLM,Schiphol,2024-04-09T22:00:00+00:00,2024-04-09T23:13:00+00:00,Bristol,2024-04-09T22:20:00+00:00,2024-04-09T23:04:00+00:00
easyJet,Corvera International,2024-04-09T10:45:00+00:00,2024-04-09T11:03:00+00:00,Bristol,2024-04-09T12:20:00+00:00,2024-04-09T12:29:00+00:00
easyJet,Diagoras,2024-04-09T14:05:00+00:00,2024-04-09T14:36:00+00:00,Bristol,2024-04-09T16:30:00+00:00,2024-04-09T16:38:00+00:00
easyJet,Barajas,2024-04-09T21:40:00+00:00,2024-04-09T21:48:00+00:00,Bristol,2024-04-09T22:55:00+00:00,2024-04-09T22:50:00+00:00
