flightId,airline,arrival_time,status
A3640,A3,19:15:40,en-route
U22870,U2,19:12:28,en-route
U2319,U2,19:04:57,en-route
BY6509,X3,19:04:57,en-route
LS1818,LS,19:15:41,en-route
LS1810,LS,19:15:39,en-route
