Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
easyJet,Blagnac,2024-04-15T10:30:00+00:00,2024-04-15T10:49:00+00:00,Bristol,2024-04-15T11:20:00+00:00,2024-04-15T11:31:00+00:00
easyJet,Charles De Gaulle,2024-04-15T10:20:00+00:00,2024-04-15T11:04:00+00:00,Bristol,2024-04-15T10:40:00+00:00,2024-04-15T11:04:00+00:00
Jet2,Alicante El Altet,2024-04-15T10:55:00+00:00,2024-04-15T11:05:00+00:00,Bristol,2024-04-15T12:35:00+00:00,2024-04-15T12:28:00+00:00
easyJet,Pablo Ruiz Picasso,2024-04-15T10:25:00+00:00,2024-04-15T10:26:00+00:00,Bristol,2024-04-15T12:10:00+00:00,2024-04-15T12:00:00+00:00
Ryanair,Bergamo - Orio al Serio,2024-04-15T05:55:00+00:00,2024-04-15T06:05:00+00:00,Bristol,2024-04-15T07:00:00+00:00,2024-04-15T06:52:00+00:00
easyJet,Alicante El Altet,2024-04-15T00:05:00+00:00,2024-04-15T00:12:00+00:00,Bristol,2024-04-15T01:35:00+00:00,2024-04-15T01:29:00+00:00
247 Aviation,Faro,2024-04-15T20:20:00+00:00,2024-04-15T20:30:00+00:00,Bristol,2024-04-15T22:52:00+00:00,2024-04-15T23:00:00+00:00
Qatar Executive,Istanbul Airport,2024-04-15T04:30:00+00:00,2024-04-15T04:55:00+00:00,Bristol,2024-04-15T06:20:00+00:00,2024-04-15T06:28:00+00:00
easyJet,Capodichino,2024-04-15T10:40:00+00:00,2024-04-15T10:49:00+00:00,Bristol,2024-04-15T12:40:00+00:00,2024-04-15T12:30:00+00:00
Delta Air Lines,Schiphol,2024-04-15T08:35:00+00:00,2024-04-15T09:04:00+00:00,Bristol,2024-04-15T08:50:00+00:00,2024-04-15T09:01:00+00:00
easyJet,Fontanarossa,2024-04-15T10:45:00+00:00,2024-04-15T11:02:00+00:00,Bristol,2024-04-15T13:10:00+00:00,2024-04-15T13:13:00+00:00
,Jersey,2024-04-15T09:10:00+00:00,,Bristol,2024-04-15T10:10:00+00:00,
Blue Islands,Jersey,2024-04-15T09:10:00+00:00,,Bristol,2024-04-15T10:10:00+00:00,
Blue Islands,Jersey,2024-04-15T09:10:00+00:00,2024-04-15T09:14:00+00:00,Bristol,2024-04-15T10:11:00+00:00,2024-04-15T10:05:00+00:00
easyJet,Paphos International Airport,2024-04-15T14:20:00+00:00,2024-04-15T14:51:00+00:00,Bristol,2024-04-15T17:20:00+00:00,2024-04-15T17:43:00+00:00
Ryanair,Pablo Ruiz Picasso,2024-04-15T11:15:00+00:00,2024-04-15T11:31:00+00:00,Bristol,2024-04-15T13:00:00+00:00,2024-04-15T13:02:00+00:00
SunExpress,Antalya,2024-04-15T15:00:00+00:00,2024-04-15T15:23:00+00:00,Bristol,2024-04-15T17:35:00+00:00,2024-04-15T17:53:00+00:00
Jet2,Son Sant Joan Airport,2024-04-15T11:00:00+00:00,2024-04-15T11:14:00+00:00,Bristol,2024-04-15T12:30:00+00:00,2024-04-15T12:33:00+00:00
easyJet,Madeira,2024-04-15T11:45:00+00:00,2024-04-15T11:56:00+00:00,Bristol,2024-04-15T15:15:00+00:00,2024-04-15T15:12:00+00:00
BAe Systems Marine,Walney Island,2024-04-15T16:10:00+00:00,2024-04-15T16:15:00+00:00,Bristol,2024-04-15T16:56:00+00:00,2024-04-15T16:57:00+00:00
easyJet,Dubrovnik,2024-04-15T10:40:00+00:00,2024-04-15T10:53:00+00:00,Bristol,2024-04-15T12:40:00+00:00,2024-04-15T12:47:00+00:00
easyJet,Leonardo Da Vinci (Fiumicino),2024-04-15T16:20:00+00:00,2024-04-15T16:45:00+00:00,Bristol,2024-04-15T18:05:00+00:00,2024-04-15T18:23:00+00:00
easyJet,Son Sant Joan Airport,2024-04-15T10:00:00+00:00,2024-04-15T10:33:00+00:00,Bristol,2024-04-15T11:30:00+00:00,2024-04-15T11:45:00+00:00
easyJet,Pablo Ruiz Picasso,2024-04-15T13:25:00+00:00,2024-04-15T13:31:00+00:00,Bristol,2024-04-15T15:10:00+00:00,2024-04-15T15:06:00+00:00
Qatar Airways,Dublin International,2024-04-15T17:05:00+00:00,2024-04-15T17:18:00+00:00,Bristol,2024-04-15T18:25:00+00:00,2024-04-15T18:08:00+00:00
British Airways,Dublin International,2024-04-15T17:05:00+00:00,2024-04-15T17:18:00+00:00,Bristol,2024-04-15T18:25:00+00:00,2024-04-15T18:08:00+00:00
