Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
easyJet,Glasgow International,2024-04-07T13:50:00+00:00,,Bristol,2024-04-07T15:05:00+00:00,
easyJet,Aldergrove International Airport,2024-04-07T09:30:00+00:00,2024-04-07T11:02:00+00:00,Bristol,2024-04-07T10:35:00+00:00,
easyJet,Charles De Gaulle,2024-04-07T22:35:00+00:00,2024-04-07T23:17:00+00:00,Bristol,2024-04-07T22:55:00+00:00,2024-04-07T23:10:00+00:00
easyJet,Barajas,2024-04-07T22:30:00+00:00,2024-04-07T22:47:00+00:00,Bristol,2024-04-07T23:45:00+00:00,2024-04-07T23:26:00+00:00
easyJet,Lisbon Portela,2024-04-07T12:15:00+00:00,,Bristol,2024-04-07T14:45:00+00:00,
easyJet,Geneve-cointrin,2024-04-07T17:05:00+00:00,2024-04-07T17:59:00+00:00,Bristol,2024-04-07T17:50:00+00:00,2024-04-07T18:23:00+00:00
easyJet,Pablo Ruiz Picasso,2024-04-07T13:40:00+00:00,,Bristol,2024-04-07T15:25:00+00:00,
Ryanair,Alicante El Altet,2024-04-07T09:50:00+00:00,2024-04-07T10:21:00+00:00,Bristol,2024-04-07T11:25:00+00:00,2024-04-07T11:23:00+00:00
easyJet,Son Sant Joan Airport,2024-04-07T14:10:00+00:00,,Bristol,2024-04-07T15:40:00+00:00,
easyJet,Blagnac,2024-04-07T07:40:00+00:00,2024-04-07T07:48:00+00:00,Bristol,2024-04-07T08:30:00+00:00,2024-04-07T08:14:00+00:00
easyJet,Galileo Galilei,2024-04-07T10:35:00+00:00,2024-04-07T11:03:00+00:00,Bristol,2024-04-07T11:55:00+00:00,2024-04-07T12:00:00+00:00
Aurigny Air Services,Guernsey,2024-04-07T14:50:00+00:00,,Bristol,2024-04-07T15:45:00+00:00,
easyJet,Diagoras,2024-04-07T13:40:00+00:00,2024-04-07T13:51:00+00:00,Bristol,2024-04-07T16:05:00+00:00,
easyJet,Geneve-cointrin,2024-04-07T10:50:00+00:00,2024-04-07T11:49:00+00:00,Bristol,2024-04-07T11:35:00+00:00,2024-04-07T12:10:00+00:00
Ryanair,John Paul II Balice International,2024-04-07T07:05:00+00:00,2024-04-07T07:10:00+00:00,Bristol,2024-04-07T08:40:00+00:00,2024-04-07T08:37:00+00:00
KLM,Schiphol,2024-04-07T12:55:00+00:00,2024-04-07T13:02:00+00:00,Bristol,2024-04-07T13:10:00+00:00,
Ryanair,Liszt Ferenc International,2024-04-07T06:00:00+00:00,2024-04-07T06:16:00+00:00,Bristol,2024-04-07T07:45:00+00:00,2024-04-07T07:53:00+00:00
Ryanair,Barajas,2024-04-07T06:45:00+00:00,2024-04-07T07:15:00+00:00,Bristol,2024-04-07T08:00:00+00:00,2024-04-07T07:49:00+00:00
easyJet,Faro,2024-04-07T06:30:00+00:00,2024-04-07T06:37:00+00:00,Bristol,2024-04-07T09:10:00+00:00,2024-04-07T08:46:00+00:00
Aer Lingus,Dublin International,2024-04-07T06:40:00+00:00,2024-04-07T07:03:00+00:00,Bristol,2024-04-07T07:55:00+00:00,2024-04-07T08:00:00+00:00
British Airways,Dublin International,2024-04-07T06:40:00+00:00,2024-04-07T07:03:00+00:00,Bristol,2024-04-07T07:55:00+00:00,2024-04-07T08:00:00+00:00
TUIfly,Pablo Ruiz Picasso,2024-04-07T10:35:00+00:00,2024-04-07T11:21:00+00:00,Bristol,2024-04-07T12:10:00+00:00,
easyJet,Pablo Ruiz Picasso,2024-04-07T10:40:00+00:00,2024-04-07T10:59:00+00:00,Bristol,2024-04-07T12:25:00+00:00,2024-04-07T12:03:00+00:00
easyJet,Alicante El Altet,2024-04-07T11:00:00+00:00,2024-04-07T12:36:00+00:00,Bristol,2024-04-07T12:35:00+00:00,
easyJet,Lisbon Portela,2024-04-07T10:05:00+00:00,2024-04-07T11:12:00+00:00,Bristol,2024-04-07T12:35:00+00:00,
Ryanair,Sofia,2024-04-07T11:25:00+00:00,2024-04-07T11:43:00+00:00,Bristol,2024-04-07T13:05:00+00:00,
Jet2,Gran Canaria,2024-04-07T19:10:00+00:00,2024-04-07T20:06:00+00:00,Bristol,2024-04-07T23:10:00+00:00,2024-04-07T23:58:00+00:00
Jet2,Faro,2024-04-07T10:25:00+00:00,2024-04-07T11:30:00+00:00,Bristol,2024-04-07T13:05:00+00:00,
TUIfly,Sharm el-Sheikh International Airport,2024-04-07T21:25:00+00:00,2024-04-07T21:31:00+00:00,Bristol,2024-04-08T02:10:00+00:00,2024-04-08T01:57:00+00:00
Ryanair,Bergamo - Orio al Serio,2024-04-07T05:55:00+00:00,2024-04-07T06:15:00+00:00,Bristol,2024-04-07T07:00:00+00:00,2024-04-07T07:01:00+00:00
easyJet,Glasgow International,2024-04-07T21:35:00+00:00,2024-04-07T22:29:00+00:00,Bristol,2024-04-07T22:45:00+00:00,
easyJet,Inverness,2024-04-07T16:55:00+00:00,2024-04-07T17:10:00+00:00,Bristol,2024-04-07T18:15:00+00:00,2024-04-07T18:27:00+00:00
Ryanair,Jasionka,2024-04-07T11:15:00+00:00,2024-04-07T11:15:00+00:00,Bristol,2024-04-07T13:05:00+00:00,
