Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival,Event Time,Event Time Rounded,Event DateTime,Event Date
easyJet,Bristol,2024-04-07 06:35:00+00:00,2024-04-07 07:00:00+00:00,Diagoras,2024-04-07 12:50:00+00:00,2024-04-07 12:36:00+00:00,2024-04-07 07:00:00+00:00,2024-04-07 07:00:00+00:00,2024-04-07 07:00:00,2024-04-07
Ryanair,Bristol,2024-04-07 08:10:00+00:00,2024-04-07 08:40:00+00:00,Liszt Ferenc International,2024-04-07 11:40:00+00:00,2024-04-07 11:47:00+00:00,2024-04-07 08:40:00+00:00,2024-04-07 08:30:00+00:00,2024-04-07 08:30:00,2024-04-07
easyJet,Bristol,2024-04-07 06:35:00+00:00,2024-04-07 06:48:00+00:00,Milano Malpensa,2024-04-07 09:40:00+00:00,2024-04-07 09:33:00+00:00,2024-04-07 06:48:00+00:00,2024-04-07 07:00:00+00:00,2024-04-07 07:00:00,2024-04-07
Ryanair,Bristol,2024-04-07 07:25:00+00:00,2024-04-07 07:50:00+00:00,Bergamo - Orio al Serio,2024-04-07 10:25:00+00:00,2024-04-07 10:35:00+00:00,2024-04-07 07:50:00+00:00,2024-04-07 08:00:00+00:00,2024-04-07 08:00:00,2024-04-07
easyJet,Bristol,2024-04-07 07:10:00+00:00,2024-04-07 07:25:00+00:00,Leonardo Da Vinci (Fiumicino),2024-04-07 10:40:00+00:00,2024-04-07 10:42:00+00:00,2024-04-07 07:25:00+00:00,2024-04-07 07:30:00+00:00,2024-04-07 07:30:00,2024-04-07
easyJet,Bristol,2024-04-07 06:45:00+00:00,2024-04-07 07:10:00+00:00,Galileo Galilei,2024-04-07 10:00:00+00:00,2024-04-07 10:09:00+00:00,2024-04-07 07:10:00+00:00,2024-04-07 07:00:00+00:00,2024-04-07 07:00:00,2024-04-07
Ryanair,Bristol,2024-04-07 17:10:00+00:00,2024-04-07 17:54:00+00:00,Faro,2024-04-07 19:50:00+00:00,2024-04-07 20:26:00+00:00,2024-04-07 17:54:00+00:00,2024-04-07 18:00:00+00:00,2024-04-07 18:00:00,2024-04-07
Other,Bristol,2024-04-07 07:00:00+00:00,2024-04-07 07:14:00+00:00,Faro,2024-04-07 09:40:00+00:00,2024-04-07 09:46:00+00:00,2024-04-07 07:14:00+00:00,2024-04-07 07:00:00+00:00,2024-04-07 07:00:00,2024-04-07
easyJet,Bristol,2024-04-07 19:00:00+00:00,2024-04-07 19:12:00+00:00,Faro,2024-04-07 21:35:00+00:00,2024-04-07 21:42:00+00:00,2024-04-07 19:12:00+00:00,2024-04-07 19:00:00+00:00,2024-04-07 19:00:00,2024-04-07
Ryanair,Bristol,2024-04-07 21:25:00+00:00,2024-04-07 22:26:00+00:00,Francisco Sá Carneiro,2024-04-07 23:35:00+00:00,2024-04-08 00:16:00+00:00,2024-04-07 22:26:00+00:00,2024-04-07 22:30:00+00:00,2024-04-07 22:30:00,2024-04-07
easyJet,Bristol,2024-04-07 07:00:00+00:00,2024-04-07 07:40:00+00:00,Lisbon Portela,2024-04-07 09:35:00+00:00,2024-04-07 10:07:00+00:00,2024-04-07 07:40:00+00:00,2024-04-07 07:30:00+00:00,2024-04-07 07:30:00,2024-04-07
easyJet,Bristol,2024-04-07 15:25:00+00:00,2024-04-07 18:18:00+00:00,Lisbon Portela,2024-04-07 18:00:00+00:00,,2024-04-07 18:18:00+00:00,2024-04-07 18:30:00+00:00,2024-04-07 18:30:00,2024-04-07
Ryanair,Bristol,2024-04-07 08:05:00+00:00,2024-04-07 08:20:00+00:00,Henri Coanda International,2024-04-07 13:25:00+00:00,2024-04-07 13:09:00+00:00,2024-04-07 08:20:00+00:00,2024-04-07 08:30:00+00:00,2024-04-07 08:30:00,2024-04-07
easyJet,Bristol,2024-04-07 07:35:00+00:00,2024-04-07 07:54:00+00:00,Geneve-cointrin,2024-04-07 10:15:00+00:00,2024-04-07 10:20:00+00:00,2024-04-07 07:54:00+00:00,2024-04-07 08:00:00+00:00,2024-04-07 08:00:00,2024-04-07
Other,Bristol,2024-04-07 09:30:00+00:00,2024-04-07 09:31:00+00:00,Antalya,2024-04-07 15:50:00+00:00,,2024-04-07 09:31:00+00:00,2024-04-07 09:30:00+00:00,2024-04-07 09:30:00,2024-04-07
easyJet,Bristol,2024-04-07 15:20:00+00:00,2024-04-07 15:58:00+00:00,Antalya,2024-04-07 21:40:00+00:00,2024-04-07 21:55:00+00:00,2024-04-07 15:58:00+00:00,2024-04-07 16:00:00+00:00,2024-04-07 16:00:00,2024-04-07
easyJet,Bristol,2024-04-07 07:00:00+00:00,2024-04-07 07:16:00+00:00,Milas,2024-04-07 13:10:00+00:00,2024-04-07 12:55:00+00:00,2024-04-07 07:16:00+00:00,2024-04-07 07:30:00+00:00,2024-04-07 07:30:00,2024-04-07
easyJet,Bristol,2024-04-07 06:10:00+00:00,2024-04-07 06:24:00+00:00,North Front,2024-04-07 09:50:00+00:00,2024-04-07 10:08:00+00:00,2024-04-07 06:24:00+00:00,2024-04-07 06:30:00+00:00,2024-04-07 06:30:00,2024-04-07
easyJet,Fontanarossa,2024-04-08 10:45:00+00:00,2024-04-08 11:15:00+00:00,Bristol,2024-04-08 13:10:00+00:00,2024-04-08 13:16:00+00:00,2024-04-08 13:16:00+00:00,2024-04-08 13:30:00+00:00,2024-04-08 13:30:00,2024-04-08
easyJet,Charles De Gaulle,2024-04-08 10:20:00+00:00,2024-04-08 11:05:00+00:00,Bristol,2024-04-08 10:40:00+00:00,2024-04-08 10:57:00+00:00,2024-04-08 10:57:00+00:00,2024-04-08 11:00:00+00:00,2024-04-08 11:00:00,2024-04-08
Ryanair,Marco Polo,2024-04-08 09:45:00+00:00,2024-04-08 10:05:00+00:00,Bristol,2024-04-08 11:05:00+00:00,2024-04-08 11:03:00+00:00,2024-04-08 11:03:00+00:00,2024-04-08 11:00:00+00:00,2024-04-08 11:00:00,2024-04-08
easyJet,Aldergrove International Airport,2024-04-08 08:40:00+00:00,2024-04-08 08:42:00+00:00,Bristol,2024-04-08 09:45:00+00:00,2024-04-08 09:37:00+00:00,2024-04-08 09:37:00+00:00,2024-04-08 09:30:00+00:00,2024-04-08 09:30:00,2024-04-08
easyJet,Paphos International Airport,2024-04-08 14:20:00+00:00,2024-04-08 14:32:00+00:00,Bristol,2024-04-08 17:20:00+00:00,2024-04-08 17:07:00+00:00,2024-04-08 17:07:00+00:00,2024-04-08 17:00:00+00:00,2024-04-08 17:00:00,2024-04-08
Ryanair,Dublin International,2024-04-08 14:15:00+00:00,2024-04-08 14:23:00+00:00,Bristol,2024-04-08 15:20:00+00:00,2024-04-08 15:08:00+00:00,2024-04-08 15:08:00+00:00,2024-04-08 15:00:00+00:00,2024-04-08 15:00:00,2024-04-08
easyJet,Faro,2024-04-08 21:55:00+00:00,2024-04-08 22:07:00+00:00,Bristol,2024-04-09 00:30:00+00:00,2024-04-09 00:19:00+00:00,2024-04-09 00:19:00+00:00,2024-04-09 00:30:00+00:00,2024-04-09 00:30:00,2024-04-09
easyJet,Schiphol,2024-04-08 19:00:00+00:00,2024-04-08 19:00:00+00:00,Bristol,2024-04-08 19:20:00+00:00,2024-04-08 19:00:00+00:00,2024-04-08 19:00:00+00:00,2024-04-08 19:00:00+00:00,2024-04-08 19:00:00,2024-04-08
Ryanair,Alicante El Altet,2024-04-08 21:05:00+00:00,2024-04-08 21:20:00+00:00,Bristol,2024-04-08 22:40:00+00:00,2024-04-08 22:25:00+00:00,2024-04-08 22:25:00+00:00,2024-04-08 22:30:00+00:00,2024-04-08 22:30:00,2024-04-08
Ryanair,Valencia,2024-04-08 05:55:00+00:00,2024-04-08 06:07:00+00:00,Bristol,2024-04-08 07:25:00+00:00,2024-04-08 07:04:00+00:00,2024-04-08 07:04:00+00:00,2024-04-08 07:00:00+00:00,2024-04-08 07:00:00,2024-04-08
Ryanair,Bergamo - Orio al Serio,2024-04-08 05:55:00+00:00,2024-04-08 05:55:00+00:00,Bristol,2024-04-08 07:00:00+00:00,2024-04-08 06:39:00+00:00,2024-04-08 06:39:00+00:00,2024-04-08 06:30:00+00:00,2024-04-08 06:30:00,2024-04-08
Ryanair,Pablo Ruiz Picasso,2024-04-08 11:15:00+00:00,2024-04-08 11:35:00+00:00,Bristol,2024-04-08 13:00:00+00:00,2024-04-08 12:39:00+00:00,2024-04-08 12:39:00+00:00,2024-04-08 12:30:00+00:00,2024-04-08 12:30:00,2024-04-08
easyJet,Alicante El Altet,2024-04-08 07:00:00+00:00,2024-04-08 07:00:00+00:00,Bristol,2024-04-08 08:35:00+00:00,2024-04-08 08:00:00+00:00,2024-04-08 08:00:00+00:00,2024-04-08 08:00:00+00:00,2024-04-08 08:00:00,2024-04-08
Ryanair,El Prat De Llobregat,2024-04-08 06:10:00+00:00,2024-04-08 06:28:00+00:00,Bristol,2024-04-08 07:35:00+00:00,2024-04-08 07:11:00+00:00,2024-04-08 07:11:00+00:00,2024-04-08 07:00:00+00:00,2024-04-08 07:00:00,2024-04-08
easyJet,Glasgow International,2024-04-08 08:50:00+00:00,2024-04-08 08:50:00+00:00,Bristol,2024-04-08 10:05:00+00:00,2024-04-08 09:47:00+00:00,2024-04-08 09:47:00+00:00,2024-04-08 10:00:00+00:00,2024-04-08 10:00:00,2024-04-08
Ryanair,Kastrup,2024-04-08 06:40:00+00:00,2024-04-08 06:46:00+00:00,Bristol,2024-04-08 07:50:00+00:00,2024-04-08 07:36:00+00:00,2024-04-08 07:36:00+00:00,2024-04-08 07:30:00+00:00,2024-04-08 07:30:00,2024-04-08
Other,Dublin International,2024-04-08 06:40:00+00:00,2024-04-08 06:52:00+00:00,Bristol,2024-04-08 07:55:00+00:00,2024-04-08 07:51:00+00:00,2024-04-08 07:51:00+00:00,2024-04-08 08:00:00+00:00,2024-04-08 08:00:00,2024-04-08
Other,Dublin International,2024-04-08 06:40:00+00:00,2024-04-08 06:52:00+00:00,Bristol,2024-04-08 07:55:00+00:00,2024-04-08 07:51:00+00:00,2024-04-08 07:51:00+00:00,2024-04-08 08:00:00+00:00,2024-04-08 08:00:00,2024-04-08
Other,Dublin International,2024-04-08 17:05:00+00:00,2024-04-08 17:38:00+00:00,Bristol,2024-04-08 18:25:00+00:00,2024-04-08 18:40:00+00:00,2024-04-08 18:40:00+00:00,2024-04-08 18:30:00+00:00,2024-04-08 18:30:00,2024-04-08
Ryanair,Son Sant Joan Airport,2024-04-08 23:20:00+00:00,2024-04-08 23:29:00+00:00,Bristol,2024-04-09 00:50:00+00:00,2024-04-09 00:21:00+00:00,2024-04-09 00:21:00+00:00,2024-04-09 00:30:00+00:00,2024-04-09 00:30:00,2024-04-09
easyJet,Capodichino,2024-04-08 10:40:00+00:00,2024-04-08 11:11:00+00:00,Bristol,2024-04-08 12:40:00+00:00,2024-04-08 12:45:00+00:00,2024-04-08 12:45:00+00:00,2024-04-08 13:00:00+00:00,2024-04-08 13:00:00,2024-04-08
easyJet,Madeira,2024-04-08 11:25:00+00:00,2024-04-08 11:45:00+00:00,Bristol,2024-04-08 14:55:00+00:00,2024-04-08 14:45:00+00:00,2024-04-08 14:45:00+00:00,2024-04-08 15:00:00+00:00,2024-04-08 15:00:00,2024-04-08
easyJet,Edinburgh,2024-04-08 10:10:00+00:00,2024-04-08 10:58:00+00:00,Bristol,2024-04-08 11:25:00+00:00,2024-04-08 11:58:00+00:00,2024-04-08 11:58:00+00:00,2024-04-08 12:00:00+00:00,2024-04-08 12:00:00,2024-04-08
easyJet,Cote D'azur International Airport,2024-04-08 14:10:00+00:00,2024-04-08 14:33:00+00:00,Bristol,2024-04-08 15:20:00+00:00,2024-04-08 15:34:00+00:00,2024-04-08 15:34:00+00:00,2024-04-08 15:30:00+00:00,2024-04-08 15:30:00,2024-04-08
easyJet,Alicante El Altet,2024-04-08 00:05:00+00:00,2024-04-08 00:49:00+00:00,Bristol,2024-04-08 01:35:00+00:00,2024-04-08 01:48:00+00:00,2024-04-08 01:48:00+00:00,2024-04-08 02:00:00+00:00,2024-04-08 02:00:00,2024-04-08
Other,Dublin International,2024-04-08 17:05:00+00:00,2024-04-08 17:38:00+00:00,Bristol,2024-04-08 18:25:00+00:00,2024-04-08 18:40:00+00:00,2024-04-08 18:40:00+00:00,2024-04-08 18:30:00+00:00,2024-04-08 18:30:00,2024-04-08
Other,Dublin International,2024-04-08 14:30:00+00:00,2024-04-08 14:53:00+00:00,Bristol,2024-04-08 15:50:00+00:00,2024-04-08 15:59:00+00:00,2024-04-08 15:59:00+00:00,2024-04-08 16:00:00+00:00,2024-04-08 16:00:00,2024-04-08
Other,Cork,2024-04-08 18:30:00+00:00,2024-04-08 18:39:00+00:00,Bristol,2024-04-08 19:50:00+00:00,2024-04-08 19:42:00+00:00,2024-04-08 19:42:00+00:00,2024-04-08 19:30:00+00:00,2024-04-08 19:30:00,2024-04-08
easyJet,Pablo Ruiz Picasso,2024-04-08 13:25:00+00:00,2024-04-08 13:39:00+00:00,Bristol,2024-04-08 15:10:00+00:00,2024-04-08 14:42:00+00:00,2024-04-08 14:42:00+00:00,2024-04-08 14:30:00+00:00,2024-04-08 14:30:00,2024-04-08
Ryanair,Sur Reina Sofia,2024-04-08 10:45:00+00:00,2024-04-08 10:51:00+00:00,Bristol,2024-04-08 14:45:00+00:00,2024-04-08 14:27:00+00:00,2024-04-08 14:27:00+00:00,2024-04-08 14:30:00+00:00,2024-04-08 14:30:00,2024-04-08
easyJet,Newcastle Airport,2024-04-08 08:35:00+00:00,2024-04-08 08:36:00+00:00,Bristol,2024-04-08 09:40:00+00:00,2024-04-08 09:25:00+00:00,2024-04-08 09:25:00+00:00,2024-04-08 09:30:00+00:00,2024-04-08 09:30:00,2024-04-08
easyJet,Lisbon Portela,2024-04-08 12:20:00+00:00,2024-04-08 13:33:00+00:00,Bristol,2024-04-08 14:50:00+00:00,2024-04-08 15:30:00+00:00,2024-04-08 15:30:00+00:00,2024-04-08 15:30:00+00:00,2024-04-08 15:30:00,2024-04-08
Other,Walney Island,2024-04-08 16:10:00+00:00,2024-04-08 16:20:00+00:00,Bristol,2024-04-08 17:01:00+00:00,2024-04-08 17:11:00+00:00,2024-04-08 17:11:00+00:00,2024-04-08 17:00:00+00:00,2024-04-08 17:00:00,2024-04-08
Other,Schiphol,2024-04-08 08:35:00+00:00,2024-04-08 08:59:00+00:00,Bristol,2024-04-08 08:50:00+00:00,2024-04-08 08:55:00+00:00,2024-04-08 08:55:00+00:00,2024-04-08 09:00:00+00:00,2024-04-08 09:00:00,2024-04-08
Other,Schiphol,2024-04-08 08:35:00+00:00,2024-04-08 08:59:00+00:00,Bristol,2024-04-08 08:50:00+00:00,2024-04-08 08:55:00+00:00,2024-04-08 08:55:00+00:00,2024-04-08 09:00:00+00:00,2024-04-08 09:00:00,2024-04-08
easyJet,Faro,2024-04-08 12:40:00+00:00,2024-04-08 13:10:00+00:00,Bristol,2024-04-08 15:15:00+00:00,2024-04-08 15:12:00+00:00,2024-04-08 15:12:00+00:00,2024-04-08 15:00:00+00:00,2024-04-08 15:00:00,2024-04-08
easyJet,Son Sant Joan Airport,2024-04-08 10:00:00+00:00,2024-04-08 10:22:00+00:00,Bristol,2024-04-08 11:30:00+00:00,2024-04-08 11:19:00+00:00,2024-04-08 11:19:00+00:00,2024-04-08 11:30:00+00:00,2024-04-08 11:30:00,2024-04-08
easyJet,Alicante El Altet,2024-04-08 14:20:00+00:00,2024-04-08 14:47:00+00:00,Bristol,2024-04-08 15:55:00+00:00,2024-04-08 15:54:00+00:00,2024-04-08 15:54:00+00:00,2024-04-08 16:00:00+00:00,2024-04-08 16:00:00,2024-04-08
Other,Guernsey,2024-04-08 11:30:00+00:00,2024-04-08 10:43:00+00:00,Bristol,2024-04-08 12:04:00+00:00,2024-04-08 11:14:00+00:00,2024-04-08 11:14:00+00:00,2024-04-08 11:00:00+00:00,2024-04-08 11:00:00,2024-04-08
Other,Schiphol,2024-04-08 12:55:00+00:00,2024-04-08 13:27:00+00:00,Bristol,2024-04-08 13:10:00+00:00,2024-04-08 13:26:00+00:00,2024-04-08 13:26:00+00:00,2024-04-08 13:30:00+00:00,2024-04-08 13:30:00,2024-04-08
Other,Schiphol,2024-04-08 12:55:00+00:00,2024-04-08 13:27:00+00:00,Bristol,2024-04-08 13:10:00+00:00,2024-04-08 13:26:00+00:00,2024-04-08 13:26:00+00:00,2024-04-08 13:30:00+00:00,2024-04-08 13:30:00,2024-04-08
Other,Schiphol,2024-04-08 12:55:00+00:00,2024-04-08 13:27:00+00:00,Bristol,2024-04-08 13:10:00+00:00,2024-04-08 13:26:00+00:00,2024-04-08 13:26:00+00:00,2024-04-08 13:30:00+00:00,2024-04-08 13:30:00,2024-04-08
Other,Schiphol,2024-04-08 12:55:00+00:00,2024-04-08 13:27:00+00:00,Bristol,2024-04-08 13:10:00+00:00,2024-04-08 13:26:00+00:00,2024-04-08 13:26:00+00:00,2024-04-08 13:30:00+00:00,2024-04-08 13:30:00,2024-04-08
easyJet,Zine El Abidine Ben Ali International Airport,2024-04-08 10:10:00+00:00,2024-04-08 10:26:00+00:00,Bristol,2024-04-08 13:25:00+00:00,2024-04-08 13:09:00+00:00,2024-04-08 13:09:00+00:00,2024-04-08 13:00:00+00:00,2024-04-08 13:00:00,2024-04-08
easyJet,Aldergrove International Airport,2024-04-08 13:20:00+00:00,2024-04-08 14:02:00+00:00,Bristol,2024-04-08 14:30:00+00:00,2024-04-08 14:56:00+00:00,2024-04-08 14:56:00+00:00,2024-04-08 15:00:00+00:00,2024-04-08 15:00:00,2024-04-08
easyJet,Geneve-cointrin,2024-04-08 15:00:00+00:00,2024-04-08 15:36:00+00:00,Bristol,2024-04-08 15:45:00+00:00,2024-04-08 16:03:00+00:00,2024-04-08 16:03:00+00:00,2024-04-08 16:00:00+00:00,2024-04-08 16:00:00,2024-04-08
easyJet,John Paul II Balice International,2024-04-08 14:10:00+00:00,2024-04-08 14:19:00+00:00,Bristol,2024-04-08 15:50:00+00:00,2024-04-08 15:46:00+00:00,2024-04-08 15:46:00+00:00,2024-04-08 16:00:00+00:00,2024-04-08 16:00:00,2024-04-08
easyJet,Prague Vaclav Havel Airport,2024-04-08 21:55:00+00:00,2024-04-08 23:03:00+00:00,Bristol,2024-04-08 23:00:00+00:00,2024-04-08 23:55:00+00:00,2024-04-08 23:55:00+00:00,2024-04-09 00:00:00+00:00,2024-04-09 00:00:00,2024-04-08
Ryanair,Son Sant Joan Airport,2024-04-08 14:30:00+00:00,2024-04-08 14:46:00+00:00,Bristol,2024-04-08 16:00:00+00:00,2024-04-08 15:41:00+00:00,2024-04-08 15:41:00+00:00,2024-04-08 15:30:00+00:00,2024-04-08 15:30:00,2024-04-08
easyJet,Son Sant Joan Airport,2024-04-08 14:20:00+00:00,2024-04-08 14:55:00+00:00,Bristol,2024-04-08 15:50:00+00:00,2024-04-08 15:50:00+00:00,2024-04-08 15:50:00+00:00,2024-04-08 16:00:00+00:00,2024-04-08 16:00:00,2024-04-08
easyJet,Schiphol,2024-04-08 19:20:00+00:00,2024-04-08 19:47:00+00:00,Bristol,2024-04-08 19:40:00+00:00,2024-04-08 19:49:00+00:00,2024-04-08 19:49:00+00:00,2024-04-08 20:00:00+00:00,2024-04-08 20:00:00,2024-04-08
Other,Larnaca,2024-04-08 17:35:00+00:00,2024-04-08 18:00:00+00:00,Bristol,2024-04-08 20:50:00+00:00,2024-04-08 20:33:00+00:00,2024-04-08 20:33:00+00:00,2024-04-08 20:30:00+00:00,2024-04-08 20:30:00,2024-04-08
Other,Madeira,2024-04-08 12:00:00+00:00,2024-04-08 12:15:00+00:00,Bristol,2024-04-08 15:30:00+00:00,2024-04-08 15:24:00+00:00,2024-04-08 15:24:00+00:00,2024-04-08 15:30:00+00:00,2024-04-08 15:30:00,2024-04-08
Other,Malta International,2024-04-08 15:00:00+00:00,2024-04-08 15:14:00+00:00,Bristol,2024-04-08 17:30:00+00:00,2024-04-08 17:18:00+00:00,2024-04-08 17:18:00+00:00,2024-04-08 17:30:00+00:00,2024-04-08 17:30:00,2024-04-08
Ryanair,Dublin International,2024-04-08 08:45:00+00:00,2024-04-08 08:56:00+00:00,Bristol,2024-04-08 09:50:00+00:00,2024-04-08 09:41:00+00:00,2024-04-08 09:41:00+00:00,2024-04-08 09:30:00+00:00,2024-04-08 09:30:00,2024-04-08
Other,Sur Reina Sofia,2024-04-08 15:35:00+00:00,2024-04-08 15:45:00+00:00,Bristol,2024-04-08 19:45:00+00:00,2024-04-08 19:25:00+00:00,2024-04-08 19:25:00+00:00,2024-04-08 19:30:00+00:00,2024-04-08 19:30:00,2024-04-08
easyJet,Dubrovnik,2024-04-08 10:40:00+00:00,2024-04-08 10:45:00+00:00,Bristol,2024-04-08 12:40:00+00:00,2024-04-08 12:27:00+00:00,2024-04-08 12:27:00+00:00,2024-04-08 12:30:00+00:00,2024-04-08 12:30:00,2024-04-08
Other,Dublin International,2024-04-08 14:30:00+00:00,2024-04-08 14:53:00+00:00,Bristol,2024-04-08 15:50:00+00:00,2024-04-08 15:59:00+00:00,2024-04-08 15:59:00+00:00,2024-04-08 16:00:00+00:00,2024-04-08 16:00:00,2024-04-08
Other,Schiphol,2024-04-08 16:40:00+00:00,2024-04-08 17:20:00+00:00,Bristol,2024-04-08 16:55:00+00:00,2024-04-08 17:22:00+00:00,2024-04-08 17:22:00+00:00,2024-04-08 17:30:00+00:00,2024-04-08 17:30:00,2024-04-08
Other,Schiphol,2024-04-08 16:40:00+00:00,2024-04-08 17:20:00+00:00,Bristol,2024-04-08 16:55:00+00:00,2024-04-08 17:22:00+00:00,2024-04-08 17:22:00+00:00,2024-04-08 17:30:00+00:00,2024-04-08 17:30:00,2024-04-08
Other,Schiphol,2024-04-08 16:40:00+00:00,2024-04-08 17:20:00+00:00,Bristol,2024-04-08 16:55:00+00:00,2024-04-08 17:22:00+00:00,2024-04-08 17:22:00+00:00,2024-04-08 17:30:00+00:00,2024-04-08 17:30:00,2024-04-08
Other,Schiphol,2024-04-08 22:00:00+00:00,2024-04-08 22:13:00+00:00,Bristol,2024-04-08 22:20:00+00:00,2024-04-08 22:12:00+00:00,2024-04-08 22:12:00+00:00,2024-04-08 22:00:00+00:00,2024-04-08 22:00:00,2024-04-08
Other,Schiphol,2024-04-08 22:00:00+00:00,2024-04-08 22:13:00+00:00,Bristol,2024-04-08 22:20:00+00:00,2024-04-08 22:12:00+00:00,2024-04-08 22:12:00+00:00,2024-04-08 22:00:00+00:00,2024-04-08 22:00:00,2024-04-08
Other,Schiphol,2024-04-08 22:00:00+00:00,2024-04-08 22:13:00+00:00,Bristol,2024-04-08 22:20:00+00:00,2024-04-08 22:12:00+00:00,2024-04-08 22:12:00+00:00,2024-04-08 22:00:00+00:00,2024-04-08 22:00:00,2024-04-08
Ryanair,Dublin International,2024-04-08 20:30:00+00:00,2024-04-08 20:23:00+00:00,Bristol,2024-04-08 21:35:00+00:00,2024-04-08 21:07:00+00:00,2024-04-08 21:07:00+00:00,2024-04-08 21:00:00+00:00,2024-04-08 21:00:00,2024-04-08
Ryanair,Lanzarote,2024-04-08 20:00:00+00:00,2024-04-08 20:11:00+00:00,Bristol,2024-04-08 23:50:00+00:00,2024-04-08 23:42:00+00:00,2024-04-08 23:42:00+00:00,2024-04-08 23:30:00+00:00,2024-04-08 23:30:00,2024-04-08
easyJet,Geneve-cointrin,2024-04-08 18:35:00+00:00,2024-04-08 18:55:00+00:00,Bristol,2024-04-08 19:20:00+00:00,2024-04-08 19:18:00+00:00,2024-04-08 19:18:00+00:00,2024-04-08 19:30:00+00:00,2024-04-08 19:30:00,2024-04-08
Other,Gran Canaria,2024-04-08 15:50:00+00:00,2024-04-08 16:10:00+00:00,Bristol,2024-04-08 19:55:00+00:00,2024-04-08 19:45:00+00:00,2024-04-08 19:45:00+00:00,2024-04-08 20:00:00+00:00,2024-04-08 20:00:00,2024-04-08
Other,Dalaman,2024-04-08 16:05:00+00:00,2024-04-08 16:22:00+00:00,Bristol,2024-04-08 18:30:00+00:00,2024-04-08 18:28:00+00:00,2024-04-08 18:28:00+00:00,2024-04-08 18:30:00+00:00,2024-04-08 18:30:00,2024-04-08
easyJet,Glasgow International,2024-04-08 20:30:00+00:00,2024-04-08 20:47:00+00:00,Bristol,2024-04-08 21:40:00+00:00,2024-04-08 21:46:00+00:00,2024-04-08 21:46:00+00:00,2024-04-08 22:00:00+00:00,2024-04-08 22:00:00,2024-04-08
easyJet,El Prat De Llobregat,2024-04-08 14:20:00+00:00,2024-04-08 14:34:00+00:00,Bristol,2024-04-08 15:40:00+00:00,2024-04-08 15:20:00+00:00,2024-04-08 15:20:00+00:00,2024-04-08 15:30:00+00:00,2024-04-08 15:30:00,2024-04-08
easyJet,Glasgow International,2024-04-08 21:50:00+00:00,2024-04-08 21:52:00+00:00,Bristol,2024-04-08 23:00:00+00:00,2024-04-08 22:51:00+00:00,2024-04-08 22:51:00+00:00,2024-04-08 23:00:00+00:00,2024-04-08 23:00:00,2024-04-08
easyJet,Leonardo Da Vinci (Fiumicino),2024-04-08 16:20:00+00:00,2024-04-08 16:54:00+00:00,Bristol,2024-04-08 18:05:00+00:00,2024-04-08 18:10:00+00:00,2024-04-08 18:10:00+00:00,2024-04-08 18:00:00+00:00,2024-04-08 18:00:00,2024-04-08
Ryanair,Ireland West Airport Knock,2024-04-08 16:25:00+00:00,2024-04-08 16:37:00+00:00,Bristol,2024-04-08 17:35:00+00:00,2024-04-08 17:34:00+00:00,2024-04-08 17:34:00+00:00,2024-04-08 17:30:00+00:00,2024-04-08 17:30:00,2024-04-08
easyJet,Leonardo Da Vinci (Fiumicino),2024-04-08 21:10:00+00:00,2024-04-08 22:01:00+00:00,Bristol,2024-04-08 22:55:00+00:00,2024-04-08 23:17:00+00:00,2024-04-08 23:17:00+00:00,2024-04-08 23:30:00+00:00,2024-04-08 23:30:00,2024-04-08
Other,Hurghada,2024-04-08 18:30:00+00:00,2024-04-08 18:45:00+00:00,Bristol,2024-04-08 23:30:00+00:00,2024-04-08 23:14:00+00:00,2024-04-08 23:14:00+00:00,2024-04-08 23:00:00+00:00,2024-04-08 23:00:00,2024-04-08
easyJet,Charles De Gaulle,2024-04-08 17:15:00+00:00,2024-04-08 18:23:00+00:00,Bristol,2024-04-08 17:35:00+00:00,2024-04-08 18:17:00+00:00,2024-04-08 18:17:00+00:00,2024-04-08 18:30:00+00:00,2024-04-08 18:30:00,2024-04-08
Other,Dyce,2024-04-08 17:55:00+00:00,2024-04-08 18:06:00+00:00,Bristol,2024-04-08 19:25:00+00:00,2024-04-08 19:22:00+00:00,2024-04-08 19:22:00+00:00,2024-04-08 19:30:00+00:00,2024-04-08 19:30:00,2024-04-08
Ryanair,Lech Walesa,2024-04-08 19:05:00+00:00,2024-04-08 19:33:00+00:00,Bristol,2024-04-08 20:35:00+00:00,2024-04-08 20:46:00+00:00,2024-04-08 20:46:00+00:00,2024-04-08 21:00:00+00:00,2024-04-08 21:00:00,2024-04-08
easyJet,Orly,2024-04-08 19:20:00+00:00,2024-04-08 19:52:00+00:00,Bristol,2024-04-08 19:40:00+00:00,2024-04-08 19:53:00+00:00,2024-04-08 19:53:00+00:00,2024-04-08 20:00:00+00:00,2024-04-08 20:00:00,2024-04-08
easyJet,Berlin Brandenburg Airport,2024-04-08 16:40:00+00:00,2024-04-08 17:05:00+00:00,Bristol,2024-04-08 17:45:00+00:00,2024-04-08 17:53:00+00:00,2024-04-08 17:53:00+00:00,2024-04-08 18:00:00+00:00,2024-04-08 18:00:00,2024-04-08
