flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr505,ryanair,active,2023-07-20t05:55:00.000,2023-07-20t05:55:00.000,2023-07-20 06:00:00,2023-07-20,06:00:00,5,Shoulder hour flights
fr4121,ryanair,active,2023-07-20t05:55:00.000,2023-07-20t05:55:00.000,2023-07-20 06:02:00,2023-07-20,06:02:00,7,Shoulder hour flights
ls1819,jet2,active,2023-07-20t06:00:00.000,2023-07-20t06:00:00.000,2023-07-20 06:11:00,2023-07-20,06:11:00,11,Shoulder hour flights
x36406,tuifly,active,2023-07-20t06:00:00.000,2023-07-20t06:00:00.000,2023-07-20 06:28:00,2023-07-20,06:28:00,29,Shoulder hour flights
u22709,easyjet,active,2023-07-20t06:00:00.000,2023-07-20t06:00:00.000,2023-07-20 06:08:00,2023-07-20,06:08:00,9,Shoulder hour flights
u22715,easyjet,active,2023-07-20t06:00:00.000,2023-07-20t06:00:00.000,2023-07-20 06:15:00,2023-07-20,06:15:00,16,Shoulder hour flights
u22891,easyjet,active,2023-07-20t06:00:00.000,2023-07-20t06:00:00.000,2023-07-20 06:40:00,2023-07-20,06:40:00,40,Shoulder hour flights
u22731,easyjet,active,2023-07-20t06:05:00.000,2023-07-20t06:05:00.000,2023-07-20 06:13:00,2023-07-20,06:13:00,8,Shoulder hour flights
u22843,easyjet,active,2023-07-20t06:10:00.000,2023-07-20t06:10:00.000,2023-07-20 06:38:00,2023-07-20,06:38:00,28,Shoulder hour flights
ls1877,jet2,active,2023-07-20t06:15:00.000,2023-07-20t06:25:00.000,2023-07-20 06:31:00,2023-07-20,06:31:00,16,Shoulder hour flights
u22702,easyjet,active,2023-07-20t06:15:00.000,2023-07-20t06:15:00.000,2023-07-20 06:33:00,2023-07-20,06:33:00,18,Shoulder hour flights
u22837,easyjet,active,2023-07-20t06:15:00.000,2023-07-20t06:15:00.000,2023-07-20 06:26:00,2023-07-20,06:26:00,12,Shoulder hour flights
