Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
easyJet,Corvera International,2024-04-16T19:20:00+00:00,,Bristol,2024-04-16T21:00:00+00:00,
Ryanair,Alicante El Altet,2024-04-16T10:15:00+00:00,2024-04-16T10:25:00+00:00,Bristol,2024-04-16T11:50:00+00:00,2024-04-16T11:56:00+00:00
Jet2,Faro,2024-04-16T09:40:00+00:00,2024-04-16T09:46:00+00:00,Bristol,2024-04-16T12:20:00+00:00,2024-04-16T12:16:00+00:00
easyJet,Lanzarote,2024-04-16T11:00:00+00:00,2024-04-16T11:12:00+00:00,Bristol,2024-04-16T14:50:00+00:00,2024-04-16T14:51:00+00:00
Ryanair,Dublin International,2024-04-16T05:55:00+00:00,2024-04-16T05:59:00+00:00,Bristol,2024-04-16T07:00:00+00:00,2024-04-16T06:41:00+00:00
Loganair,Jersey,2024-04-16T09:10:00+00:00,,Bristol,2024-04-16T10:10:00+00:00,
,Jersey,2024-04-16T09:10:00+00:00,,Bristol,2024-04-16T10:10:00+00:00,
Blue Islands,Jersey,2024-04-16T09:10:00+00:00,,Bristol,2024-04-16T10:10:00+00:00,
Blue Islands,Jersey,2024-04-16T09:10:00+00:00,2024-04-16T09:22:00+00:00,Bristol,2024-04-16T10:10:00+00:00,2024-04-16T10:17:00+00:00
Ryanair,Bergamo - Orio al Serio,2024-04-16T05:55:00+00:00,2024-04-16T06:08:00+00:00,Bristol,2024-04-16T07:00:00+00:00,2024-04-16T07:00:00+00:00
TUIfly,Son Sant Joan Airport,2024-04-16T10:50:00+00:00,2024-04-16T11:02:00+00:00,Bristol,2024-04-16T12:15:00+00:00,2024-04-16T12:20:00+00:00
easyJet,Ioannis Kapodistrias,2024-04-16T00:10:00+00:00,2024-04-16T00:34:00+00:00,Bristol,2024-04-16T01:35:00+00:00,2024-04-16T01:46:00+00:00
Ryanair,Beziers Vias,2024-04-16T10:35:00+00:00,2024-04-16T10:49:00+00:00,Bristol,2024-04-16T11:35:00+00:00,2024-04-16T11:39:00+00:00
easyJet,Dalaman,2024-04-16T00:15:00+00:00,2024-04-16T00:35:00+00:00,Bristol,2024-04-16T02:40:00+00:00,2024-04-16T02:52:00+00:00
easyJet,Capodichino,2024-04-16T10:35:00+00:00,2024-04-16T10:50:00+00:00,Bristol,2024-04-16T12:35:00+00:00,2024-04-16T12:25:00+00:00
