flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
U22936,EZY75PQ,G-EZRX,A320,LKPR/PRG,EGGD/BRS,0,16,2024-11-05 16:59:59 UTC,Day flight,EZY
LS1882,EXS38AN,G-JZDH,B738,LGRP/RHO,EGGD/BRS,0,0,2024-11-05 16:59:59 UTC,Day flight,EXS
FR4121,RYR56DP,EI-IFV,B38M,EGGD/BRS,LEMG/AGP,0,0,2024-11-05 16:59:55 UTC,Day flight,RYR
