flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_delay,time_category
fr507,ryanair,active,2023-05-01t12:30:00.000,2023-05-01t12:30:00.000,2023-05-01 12:44:00,14,Regular departures
fr8212,ryanair,active,2023-05-01t12:40:00.000,2023-05-01t12:40:00.000,2023-05-01 12:48:00,9,Regular departures
u22933,easyjet,active,2023-05-01t13:00:00.000,2023-05-01t13:31:00.000,2023-05-01 13:56:00,56,Regular departures
ey7365,etihad airways,active,2023-05-01t13:45:00.000,2023-05-01t13:55:00.000,2023-05-01 14:13:00,29,Regular departures
kq1052,kenya airways,active,2023-05-01t13:45:00.000,2023-05-01t13:55:00.000,2023-05-01 14:13:00,29,Regular departures
vs7045,virgin atlantic,active,2023-05-01t13:45:00.000,2023-05-01t13:55:00.000,2023-05-01 14:13:00,29,Regular departures
kl1052,klm,active,2023-05-01t13:45:00.000,2023-05-01t13:55:00.000,2023-05-01 14:13:00,29,Regular departures
fr8202,ryanair,active,2023-05-01t13:50:00.000,2023-05-01t13:50:00.000,2023-05-01 14:01:00,12,Regular departures
gr643,aurigny air services,active,2023-05-01t14:20:00.000,2023-05-01t14:30:00.000,2023-05-01 14:47:00,28,Regular departures
x3698,tuifly,active,2023-05-01t14:25:00.000,2023-05-01t14:35:00.000,2023-05-01 14:39:00,14,Regular departures
u22931,easyjet,active,2023-05-01t14:50:00.000,2023-05-01t14:50:00.000,2023-05-01 15:18:00,28,Regular departures
u2233,easyjet,active,2023-05-01t15:35:00.000,2023-05-01t15:35:00.000,2023-05-01 15:43:00,8,Regular departures
fr509,ryanair,active,2023-05-01t16:00:00.000,2023-05-01t16:00:00.000,2023-05-01 16:10:00,11,Regular departures
u2217,easyjet,active,2023-05-01t16:20:00.000,2023-05-01t16:20:00.000,2023-05-01 16:27:00,7,Regular departures
x3846,tuifly,active,2023-05-01t16:30:00.000,2023-05-01t16:50:00.000,2023-05-01 17:25:00,56,Regular departures
u2227,easyjet,active,2023-05-01t16:40:00.000,2023-05-01t16:40:00.000,2023-05-01 16:44:00,5,Regular departures
u22849,easyjet,active,2023-05-01t17:10:00.000,2023-05-01t17:10:00.000,2023-05-01 17:29:00,20,Regular departures
ey5802,etihad airways,active,2023-05-01t17:30:00.000,2023-05-01t17:40:00.000,2023-05-01 17:43:00,14,Regular departures
kq1054,kenya airways,active,2023-05-01t17:30:00.000,2023-05-01t17:40:00.000,2023-05-01 17:43:00,14,Regular departures
