flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr505,ryanair,active,2024-04-17t06:00:00.000,2024-04-17t06:00:00.000,2024-04-17 06:02:00,2024-04-17,06:02:00,2,Shoulder hour flights
fr2292,ryanair,active,2024-04-17t06:00:00.000,2024-04-17t06:00:00.000,2024-04-17 06:15:00,2024-04-17,06:15:00,15,Shoulder hour flights
u22709,easyjet,active,2024-04-17t06:00:00.000,2024-04-17t06:00:00.000,2024-04-17 06:04:00,2024-04-17,06:04:00,5,Shoulder hour flights
u22715,easyjet,active,2024-04-17t06:00:00.000,2024-04-17t06:00:00.000,2024-04-17 06:18:00,2024-04-17,06:18:00,18,Shoulder hour flights
u22945,easyjet,active,2024-04-17t06:00:00.000,2024-04-17t06:00:00.000,2024-04-17 06:06:00,2024-04-17,06:06:00,6,Shoulder hour flights
u22941,easyjet,active,2024-04-17t06:00:00.000,2024-04-17t06:12:00.000,2024-04-17 06:25:00,2024-04-17,06:25:00,25,Shoulder hour flights
u22731,easyjet,active,2024-04-17t06:05:00.000,2024-04-17t06:05:00.000,2024-04-17 06:10:00,2024-04-17,06:10:00,5,Shoulder hour flights
u22893,easyjet,active,2024-04-17t06:15:00.000,2024-04-17t06:18:00.000,2024-04-17 06:22:00,2024-04-17,06:22:00,7,Shoulder hour flights
az3738,alitalia,active,2024-04-17t06:20:00.000,2024-04-17t06:20:00.000,2024-04-17 06:49:00,2024-04-17,06:49:00,29,Shoulder hour flights
dl9461,delta air lines,active,2024-04-17t06:20:00.000,2024-04-17t06:20:00.000,2024-04-17 06:49:00,2024-04-17,06:49:00,29,Shoulder hour flights
kq1050,kenya airways,active,2024-04-17t06:20:00.000,2024-04-17t06:20:00.000,2024-04-17 06:49:00,2024-04-17,06:49:00,29,Shoulder hour flights
vs7121,virgin atlantic,active,2024-04-17t06:20:00.000,2024-04-17t06:20:00.000,2024-04-17 06:49:00,2024-04-17,06:49:00,29,Shoulder hour flights
kl1074,klm,active,2024-04-17t06:20:00.000,2024-04-17t06:20:00.000,2024-04-17 06:49:00,2024-04-17,06:49:00,29,Shoulder hour flights
u22811,easyjet,active,2024-04-17t06:30:00.000,2024-04-17t06:30:00.000,2024-04-17 06:41:00,2024-04-17,06:41:00,12,Shoulder hour flights
u22719,easyjet,active,2024-04-17t06:40:00.000,2024-04-17t06:40:00.000,2024-04-17 06:46:00,2024-04-17,06:46:00,6,Shoulder hour flights
u22807,easyjet,active,2024-04-17t06:45:00.000,2024-04-17t06:45:00.000,2024-04-17 06:52:00,2024-04-17,06:52:00,7,Shoulder hour flights
x36346,tuifly,active,2024-04-17t07:00:00.000,2024-04-17t07:00:00.000,2024-04-17 07:13:00,2024-04-17,07:13:00,14,Regular departures
u2201,easyjet,active,2024-04-17t07:00:00.000,2024-04-17t07:00:00.000,2024-04-17 07:02:00,2024-04-17,07:02:00,3,Regular departures
