Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
Ryanair,Alicante El Altet,2024-04-20T21:30:00+00:00,2024-04-20T21:50:00+00:00,Bristol,2024-04-20T23:05:00+00:00,2024-04-20T23:12:00+00:00
Delta Air Lines,Schiphol,2024-04-20T08:35:00+00:00,2024-04-20T09:17:00+00:00,Bristol,2024-04-20T08:50:00+00:00,2024-04-20T09:10:00+00:00
Ryanair,Kaunas,2024-04-20T06:05:00+00:00,2024-04-20T06:06:00+00:00,Bristol,2024-04-20T07:00:00+00:00,2024-04-20T06:42:00+00:00
easyJet,Faro,2024-04-20T06:05:00+00:00,2024-04-20T06:18:00+00:00,Bristol,2024-04-20T08:45:00+00:00,2024-04-20T08:45:00+00:00
easyJet,Berlin Brandenburg Airport,2024-04-20T22:35:00+00:00,2024-04-20T22:55:00+00:00,Bristol,2024-04-20T23:40:00+00:00,2024-04-20T23:30:00+00:00
easyJet,Alicante El Altet,2024-04-20T10:20:00+00:00,2024-04-20T10:25:00+00:00,Bristol,2024-04-20T11:55:00+00:00,2024-04-20T11:42:00+00:00
KLM,Schiphol,2024-04-20T22:00:00+00:00,2024-04-20T22:20:00+00:00,Bristol,2024-04-20T22:20:00+00:00,2024-04-20T22:12:00+00:00
Jet2,Faro,2024-04-20T09:35:00+00:00,2024-04-20T09:46:00+00:00,Bristol,2024-04-20T12:15:00+00:00,2024-04-20T12:07:00+00:00
,Jersey,2024-04-20T10:00:00+00:00,,Bristol,2024-04-20T11:00:00+00:00,
Blue Islands,Jersey,2024-04-20T10:00:00+00:00,,Bristol,2024-04-20T11:00:00+00:00,
easyJet,Aldergrove International Airport,2024-04-20T08:45:00+00:00,2024-04-20T09:17:00+00:00,Bristol,2024-04-20T09:50:00+00:00,2024-04-20T10:04:00+00:00
easyJet,Sur Reina Sofia,2024-04-20T11:05:00+00:00,2024-04-20T11:15:00+00:00,Bristol,2024-04-20T15:10:00+00:00,2024-04-20T15:00:00+00:00
easyJet,Leonardo Da Vinci (Fiumicino),2024-04-20T10:10:00+00:00,2024-04-20T11:01:00+00:00,Bristol,2024-04-20T12:05:00+00:00,2024-04-20T12:37:00+00:00
Jet2,Liszt Ferenc International,2024-04-20T23:30:00+00:00,2024-04-20T23:56:00+00:00,Bristol,2024-04-21T00:52:00+00:00,
Delta Air Lines,Schiphol,2024-04-20T12:55:00+00:00,2024-04-20T13:43:00+00:00,Bristol,2024-04-20T13:10:00+00:00,2024-04-20T13:40:00+00:00
Ryanair,Valencia,2024-04-20T10:20:00+00:00,2024-04-20T10:25:00+00:00,Bristol,2024-04-20T11:50:00+00:00,2024-04-20T11:39:00+00:00
easyJet,Orly,2024-04-20T19:00:00+00:00,2024-04-20T19:15:00+00:00,Bristol,2024-04-20T19:20:00+00:00,2024-04-20T19:13:00+00:00
Aer Lingus,Dublin International,2024-04-20T11:50:00+00:00,2024-04-20T12:06:00+00:00,Bristol,2024-04-20T13:10:00+00:00,2024-04-20T13:03:00+00:00
British Airways,Dublin International,2024-04-20T11:50:00+00:00,2024-04-20T12:06:00+00:00,Bristol,2024-04-20T13:10:00+00:00,2024-04-20T13:03:00+00:00
empty,Francisco Sá Carneiro,2024-04-20T11:00:00+00:00,2024-04-20T11:16:00+00:00,Bristol,2024-04-20T13:12:00+00:00,2024-04-20T13:14:00+00:00
easyJet,Edinburgh,2024-04-20T11:10:00+00:00,2024-04-20T11:49:00+00:00,Bristol,2024-04-20T12:25:00+00:00,2024-04-20T12:41:00+00:00
easyJet,Schiphol,2024-04-20T12:30:00+00:00,2024-04-20T12:53:00+00:00,Bristol,2024-04-20T12:50:00+00:00,2024-04-20T12:51:00+00:00
easyJet,Nikos Kazantzakis Airport,2024-04-20T13:45:00+00:00,2024-04-20T13:57:00+00:00,Bristol,2024-04-20T16:00:00+00:00,2024-04-20T15:55:00+00:00
easyJet,Pablo Ruiz Picasso,2024-04-20T10:30:00+00:00,2024-04-20T10:38:00+00:00,Bristol,2024-04-20T12:15:00+00:00,2024-04-20T12:04:00+00:00
Jet2,Pablo Ruiz Picasso,2024-04-20T12:00:00+00:00,2024-04-20T13:05:00+00:00,Bristol,2024-04-20T13:45:00+00:00,2024-04-20T14:33:00+00:00
easyJet,El Prat De Llobregat,2024-04-20T13:05:00+00:00,2024-04-20T13:49:00+00:00,Bristol,2024-04-20T14:25:00+00:00,2024-04-20T14:49:00+00:00
TUI Airways,Antalya,2024-04-20T13:45:00+00:00,,Bristol,2024-04-20T16:20:00+00:00,
easyJet,Glasgow International,2024-04-20T08:50:00+00:00,2024-04-20T08:53:00+00:00,Bristol,2024-04-20T10:05:00+00:00,2024-04-20T09:41:00+00:00
KLM,Schiphol,2024-04-20T12:55:00+00:00,2024-04-20T13:43:00+00:00,Bristol,2024-04-20T13:10:00+00:00,2024-04-20T13:40:00+00:00
Jet2,Reus,2024-04-20T10:55:00+00:00,2024-04-20T10:59:00+00:00,Bristol,2024-04-20T12:05:00+00:00,2024-04-20T11:59:00+00:00
easyJet,Inverness,2024-04-20T11:55:00+00:00,2024-04-20T12:39:00+00:00,Bristol,2024-04-20T13:15:00+00:00,2024-04-20T13:43:00+00:00
easyJet,Larnaca,2024-04-20T14:30:00+00:00,2024-04-20T14:30:00+00:00,Bristol,2024-04-20T17:45:00+00:00,2024-04-20T17:13:00+00:00
