flight,categories,orig_icao,orig_iata,dest_icao,dest_iata,timestamp,flight_time,lat,lon,time_category
U26238,N/A,EDDB,BER,EGGD,BRS,2022-12-10T00:00:01Z,Invalid Timestamp,51.38393,-2.72989,Unknown
U2430,N/A,EGPH,EDI,EGGD,BRS,2022-12-09T23:59:59Z,Invalid Timestamp,51.38512,-2.65409,Unknown
U26238,N/A,EDDB,BER,EGGD,BRS,2022-12-10T00:00:01Z,Invalid Timestamp,51.38393,-2.72989,Unknown
U2430,N/A,EGPH,EDI,EGGD,BRS,2022-12-09T23:59:59Z,Invalid Timestamp,51.38512,-2.65409,Unknown
U26238,N/A,EDDB,BER,EGGD,BRS,2022-12-10T00:00:01Z,Invalid Timestamp,51.38393,-2.72989,Unknown
U2430,N/A,EGPH,EDI,EGGD,BRS,2022-12-09T23:59:59Z,Invalid Timestamp,51.38512,-2.65409,Unknown
U26238,N/A,EDDB,BER,EGGD,BRS,2022-12-10T00:00:01Z,Invalid Timestamp,51.38393,-2.72989,Unknown
U2430,N/A,EGPH,EDI,EGGD,BRS,2022-12-09T23:59:59Z,Invalid Timestamp,51.38512,-2.65409,Unknown
U26238,N/A,EDDB,BER,EGGD,BRS,2022-12-10T00:00:01Z,Invalid Timestamp,51.38393,-2.72989,Unknown
U2430,N/A,EGPH,EDI,EGGD,BRS,2022-12-09T23:59:59Z,Invalid Timestamp,51.38512,-2.65409,Unknown
U26238,N/A,EDDB,BER,EGGD,BRS,2022-12-10T00:00:01Z,Invalid Timestamp,51.38393,-2.72989,Unknown
U2430,N/A,EGPH,EDI,EGGD,BRS,2022-12-09T23:59:59Z,Invalid Timestamp,51.38512,-2.65409,Unknown
U26238,N/A,EDDB,BER,EGGD,BRS,2022-12-10T00:00:01Z,Invalid Timestamp,51.38393,-2.72989,Unknown
U2430,N/A,EGPH,EDI,EGGD,BRS,2022-12-09T23:59:59Z,Invalid Timestamp,51.38512,-2.65409,Unknown
U26238,N/A,EDDB,BER,EGGD,BRS,2022-12-10T00:00:01Z,Invalid Timestamp,51.38393,-2.72989,Unknown
U2430,N/A,EGPH,EDI,EGGD,BRS,2022-12-09T23:59:59Z,Invalid Timestamp,51.38512,-2.65409,Unknown
U26238,N/A,EDDB,BER,EGGD,BRS,2022-12-10T00:00:01Z,Invalid Timestamp,51.38393,-2.72989,Unknown
U2430,N/A,EGPH,EDI,EGGD,BRS,2022-12-09T23:59:59Z,Invalid Timestamp,51.38512,-2.65409,Unknown
U26238,N/A,EDDB,BER,EGGD,BRS,2022-12-10T00:00:01Z,Invalid Timestamp,51.38393,-2.72989,Unknown
U2430,N/A,EGPH,EDI,EGGD,BRS,2022-12-09T23:59:59Z,Invalid Timestamp,51.38512,-2.65409,Unknown
