flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22740,easyjet,landed,2024-04-13t01:15:00.000,2024-04-13t01:10:00.000,2024-04-13 01:06:00,2024-04-13,01:06:00,0,Night hour departures
u22852,easyjet,landed,2024-04-13t02:00:00.000,2024-04-13t01:56:00.000,2024-04-13 01:52:00,2024-04-13,01:52:00,0,Night hour departures
x3325,tuifly,landed,2024-04-13t02:50:00.000,2024-04-13t02:48:00.000,2024-04-13 02:48:00,2024-04-13,02:48:00,0,Night hour departures
ls1806,jet2,landed,2024-04-13t12:50:00.000,2024-04-13t12:53:00.000,2024-04-13 12:53:00,2024-04-13,12:53:00,4,Regular departures
u2246,easyjet,landed,2024-04-13t13:15:00.000,2024-04-13t13:38:00.000,2024-04-13 13:39:00,2024-04-13,13:39:00,25,Regular departures
fr8682,ryanair,landed,2024-04-13t07:00:00.000,2024-04-13t07:07:00.000,2024-04-13 07:07:00,2024-04-13,07:07:00,7,Regular departures
fr3160,ryanair,landed,2024-04-13t07:50:00.000,2024-04-13t07:46:00.000,2024-04-13 07:47:00,2024-04-13,07:47:00,0,Regular departures
ba8936,british airways,landed,2024-04-13t07:55:00.000,2024-04-13t07:39:00.000,2024-04-13 07:42:00,2024-04-13,07:42:00,0,Regular departures
ei3280,aer lingus,landed,2024-04-13t07:55:00.000,2024-04-13t07:39:00.000,2024-04-13 07:42:00,2024-04-13,07:42:00,0,Regular departures
,centreline,landed,2024-04-13t11:20:00.000,,2024-04-13 11:16:00,2024-04-13,11:16:00,0,Regular departures
si474,blue islands,landed,2024-04-13t10:56:00.000,2024-04-13t10:45:00.000,2024-04-13 10:45:00,2024-04-13,10:45:00,0,Regular departures
u27507,easyjet,landed,2024-04-13t08:45:00.000,2024-04-13t08:33:00.000,2024-04-13 08:33:00,2024-04-13,08:33:00,0,Regular departures
dl9298,delta air lines,landed,2024-04-13t08:50:00.000,2024-04-13t08:40:00.000,2024-04-13 08:41:00,2024-04-13,08:41:00,0,Regular departures
vs6896,virgin atlantic,landed,2024-04-13t08:50:00.000,2024-04-13t08:40:00.000,2024-04-13 08:41:00,2024-04-13,08:41:00,0,Regular departures
vs6890,virgin atlantic,landed,2024-04-13t08:50:00.000,2024-04-13t08:40:00.000,2024-04-13 08:41:00,2024-04-13,08:41:00,0,Regular departures
kl1075,klm,landed,2024-04-13t08:50:00.000,2024-04-13t08:40:00.000,2024-04-13 08:41:00,2024-04-13,08:41:00,0,Regular departures
u25527,easyjet,landed,2024-04-13t08:55:00.000,2024-04-13t08:49:00.000,2024-04-13 08:46:00,2024-04-13,08:46:00,0,Regular departures
fr504,ryanair,landed,2024-04-13t09:00:00.000,2024-04-13t08:52:00.000,2024-04-13 08:54:00,2024-04-13,08:54:00,0,Regular departures
u22774,easyjet,landed,2024-04-13t09:20:00.000,2024-04-13t09:35:00.000,2024-04-13 09:37:00,2024-04-13,09:37:00,17,Regular departures
u2224,easyjet,landed,2024-04-13t09:50:00.000,2024-04-13t09:49:00.000,2024-04-13 09:50:00,2024-04-13,09:50:00,1,Regular departures
u22884,easyjet,landed,2024-04-13t10:25:00.000,2024-04-13t10:35:00.000,2024-04-13 10:31:00,2024-04-13,10:31:00,7,Regular departures
x36633,tuifly,landed,2024-04-13t11:10:00.000,2024-04-13t10:37:00.000,2024-04-13 10:38:00,2024-04-13,10:38:00,0,Regular departures
u22788,easyjet,landed,2024-04-13t11:25:00.000,2024-04-13t11:19:00.000,2024-04-13 11:21:00,2024-04-13,11:21:00,0,Regular departures
fr4441,ryanair,landed,2024-04-13t11:50:00.000,2024-04-13t11:28:00.000,2024-04-13 11:26:00,2024-04-13,11:26:00,0,Regular departures
fr6010,ryanair,landed,2024-04-13t11:50:00.000,2024-04-13t11:55:00.000,2024-04-13 11:55:00,2024-04-13,11:55:00,5,Regular departures
u22722,easyjet,landed,2024-04-13t11:50:00.000,2024-04-13t11:48:00.000,2024-04-13 11:50:00,2024-04-13,11:50:00,0,Regular departures
u22701,easyjet,landed,2024-04-13t11:55:00.000,2024-04-13t11:38:00.000,2024-04-13 11:39:00,2024-04-13,11:39:00,0,Regular departures
u22706,easyjet,landed,2024-04-13t12:00:00.000,2024-04-13t12:13:00.000,2024-04-13 12:14:00,2024-04-13,12:14:00,14,Regular departures
u22764,easyjet,landed,2024-04-13t12:05:00.000,2024-04-13t11:57:00.000,2024-04-13 11:58:00,2024-04-13,11:58:00,0,Regular departures
u22838,easyjet,landed,2024-04-13t12:05:00.000,2024-04-13t12:01:00.000,2024-04-13 12:02:00,2024-04-13,12:02:00,0,Regular departures
ls1822,jet2,landed,2024-04-13t12:15:00.000,2024-04-13t12:17:00.000,2024-04-13 12:17:00,2024-04-13,12:17:00,3,Regular departures
u2405,easyjet,landed,2024-04-13t12:15:00.000,2024-04-13t12:29:00.000,2024-04-13 12:30:00,2024-04-13,12:30:00,16,Regular departures
u22716,easyjet,landed,2024-04-13t12:15:00.000,2024-04-13t12:04:00.000,2024-04-13 12:05:00,2024-04-13,12:05:00,0,Regular departures
u22832,easyjet,landed,2024-04-13t12:15:00.000,2024-04-13t12:16:00.000,2024-04-13 12:09:00,2024-04-13,12:09:00,0,Regular departures
u2319,easyjet,landed,2024-04-13t12:25:00.000,2024-04-13t12:35:00.000,2024-04-13 12:36:00,2024-04-13,12:36:00,12,Regular departures
ls1842,jet2,landed,2024-04-13t12:30:00.000,2024-04-13t12:18:00.000,2024-04-13 12:20:00,2024-04-13,12:20:00,0,Regular departures
fr8235,ryanair,landed,2024-04-13t12:35:00.000,2024-04-13t12:33:00.000,2024-04-13 12:34:00,2024-04-13,12:34:00,0,Regular departures
u25531,easyjet,landed,2024-04-13t12:50:00.000,2024-04-13t13:12:00.000,2024-04-13 13:14:00,2024-04-13,13:14:00,24,Regular departures
fr4122,ryanair,landed,2024-04-13t13:00:00.000,2024-04-13t12:58:00.000,2024-04-13 13:01:00,2024-04-13,13:01:00,1,Regular departures
ls3508,jet2,landed,2024-04-13t13:00:00.000,2024-04-13t12:57:00.000,2024-04-13 12:58:00,2024-04-13,12:58:00,0,Regular departures
xc3335,corendon air,landed,2024-04-13t13:00:00.000,2024-04-13t13:09:00.000,2024-04-13 13:10:00,2024-04-13,13:10:00,10,Regular departures
ba8938,british airways,landed,2024-04-13t13:10:00.000,2024-04-13t13:03:00.000,2024-04-13 13:04:00,2024-04-13,13:04:00,0,Regular departures
ei3282,aer lingus,landed,2024-04-13t13:10:00.000,2024-04-13t13:03:00.000,2024-04-13 13:04:00,2024-04-13,13:04:00,0,Regular departures
az3782,alitalia,landed,2024-04-13t13:10:00.000,2024-04-13t13:23:00.000,2024-04-13 13:24:00,2024-04-13,13:24:00,14,Regular departures
dl9203,delta air lines,landed,2024-04-13t13:10:00.000,2024-04-13t13:23:00.000,2024-04-13 13:24:00,2024-04-13,13:24:00,14,Regular departures
kq1051,kenya airways,landed,2024-04-13t13:10:00.000,2024-04-13t13:23:00.000,2024-04-13 13:24:00,2024-04-13,13:24:00,14,Regular departures
vs6894,virgin atlantic,landed,2024-04-13t13:10:00.000,2024-04-13t13:23:00.000,2024-04-13 13:24:00,2024-04-13,13:24:00,14,Regular departures
kl1079,klm,landed,2024-04-13t13:10:00.000,2024-04-13t13:23:00.000,2024-04-13 13:24:00,2024-04-13,13:24:00,14,Regular departures
ls1808,jet2,landed,2024-04-13t13:45:00.000,2024-04-13t14:26:00.000,2024-04-13 14:27:00,2024-04-13,14:27:00,43,Regular departures
ls1862,jet2,landed,2024-04-13t14:00:00.000,2024-04-13t13:50:00.000,2024-04-13 13:50:00,2024-04-13,13:50:00,0,Regular departures
u22878,easyjet,landed,2024-04-13t14:10:00.000,2024-04-13t14:10:00.000,2024-04-13 14:12:00,2024-04-13,14:12:00,3,Regular departures
u27191,easyjet,landed,2024-04-13t14:25:00.000,2024-04-13t14:06:00.000,2024-04-13 14:08:00,2024-04-13,14:08:00,0,Regular departures
u22886,easyjet,landed,2024-04-13t14:55:00.000,2024-04-13t14:54:00.000,2024-04-13 14:54:00,2024-04-13,14:54:00,0,Regular departures
u22734,easyjet,landed,2024-04-13t15:00:00.000,2024-04-13t15:29:00.000,2024-04-13 15:28:00,2024-04-13,15:28:00,28,Regular departures
u27003,easyjet,landed,2024-04-13t15:20:00.000,2024-04-13t15:20:00.000,2024-04-13 15:22:00,2024-04-13,15:22:00,3,Regular departures
u2226,easyjet,landed,2024-04-13t15:25:00.000,2024-04-13t16:04:00.000,2024-04-13 16:05:00,2024-04-13,16:05:00,41,Regular departures
u27267,easyjet,landed,2024-04-13t15:35:00.000,2024-04-13t15:32:00.000,2024-04-13 15:33:00,2024-04-13,15:33:00,0,Regular departures
u22814,easyjet,landed,2024-04-13t16:00:00.000,2024-04-13t16:08:00.000,2024-04-13 16:10:00,2024-04-13,16:10:00,10,Regular departures
rr8213,ryanair sun,landed,2024-04-13t16:20:00.000,2024-04-13t16:31:00.000,2024-04-13 16:32:00,2024-04-13,16:32:00,12,Regular departures
x3383,tuifly,landed,2024-04-13t16:20:00.000,2024-04-13t16:24:00.000,2024-04-13 16:25:00,2024-04-13,16:25:00,5,Regular departures
kq1053,kenya airways,landed,2024-04-13t16:55:00.000,2024-04-13t17:34:00.000,2024-04-13 17:35:00,2024-04-13,17:35:00,41,Regular departures
dl9228,delta air lines,landed,2024-04-13t16:55:00.000,2024-04-13t17:34:00.000,2024-04-13 17:35:00,2024-04-13,17:35:00,41,Regular departures
vs6898,virgin atlantic,landed,2024-04-13t16:55:00.000,2024-04-13t17:34:00.000,2024-04-13 17:35:00,2024-04-13,17:35:00,41,Regular departures
t31081,eastern airways,landed,2024-04-13t16:55:00.000,2024-04-13t17:34:00.000,2024-04-13 17:35:00,2024-04-13,17:35:00,41,Regular departures
fr7948,ryanair,landed,2024-04-13t17:10:00.000,2024-04-13t17:36:00.000,2024-04-13 17:38:00,2024-04-13,17:38:00,29,Regular departures
u2214,easyjet,landed,2024-04-13t17:30:00.000,2024-04-13t17:39:00.000,2024-04-13 17:42:00,2024-04-13,17:42:00,13,Regular departures
u22904,easyjet,landed,2024-04-13t17:45:00.000,2024-04-13t18:14:00.000,2024-04-13 18:08:00,2024-04-13,18:08:00,23,Regular departures
fr8245,ryanair,landed,2024-04-13t18:05:00.000,2024-04-13t17:55:00.000,2024-04-13 17:57:00,2024-04-13,17:57:00,0,Regular departures
u22872,easyjet,landed,2024-04-13t18:20:00.000,2024-04-13t18:14:00.000,2024-04-13 18:13:00,2024-04-13,18:13:00,0,Regular departures
u22712,easyjet,landed,2024-04-13t18:25:00.000,2024-04-13t18:32:00.000,2024-04-13 18:33:00,2024-04-13,18:33:00,9,Regular departures
u22718,easyjet,landed,2024-04-13t18:30:00.000,2024-04-13t18:19:00.000,2024-04-13 18:20:00,2024-04-13,18:20:00,0,Regular departures
u22924,easyjet,landed,2024-04-13t19:20:00.000,2024-04-13t19:12:00.000,2024-04-13 19:11:00,2024-04-13,19:11:00,0,Regular departures
u27354,easyjet,landed,2024-04-13t19:20:00.000,2024-04-13t19:18:00.000,2024-04-13 19:20:00,2024-04-13,19:20:00,0,Regular departures
ls1872,jet2,landed,2024-04-13t20:40:00.000,2024-04-13t20:37:00.000,2024-04-13 20:37:00,2024-04-13,20:37:00,0,Regular departures
u22808,easyjet,landed,2024-04-13t21:30:00.000,2024-04-13t21:31:00.000,2024-04-13 21:31:00,2024-04-13,21:31:00,2,Regular departures
fr508,ryanair,landed,2024-04-13t21:45:00.000,2024-04-13t21:43:00.000,2024-04-13 21:43:00,2024-04-13,21:43:00,0,Regular departures
ey7319,etihad airways,landed,2024-04-13t22:20:00.000,2024-04-13t22:15:00.000,2024-04-13 22:14:00,2024-04-13,22:14:00,0,Regular departures
kq1057,kenya airways,landed,2024-04-13t22:20:00.000,2024-04-13t22:15:00.000,2024-04-13 22:14:00,2024-04-13,22:14:00,0,Regular departures
vs6899,virgin atlantic,landed,2024-04-13t22:20:00.000,2024-04-13t22:15:00.000,2024-04-13 22:14:00,2024-04-13,22:14:00,0,Regular departures
kl1083,klm,landed,2024-04-13t22:20:00.000,2024-04-13t22:15:00.000,2024-04-13 22:14:00,2024-04-13,22:14:00,0,Regular departures
