flight,categories,orig_icao,orig_iata,dest_icao,dest_iata,timestamp,flight_time,lat,lon,time_category
,N/A,EGGD,BRS,N/A,N/A,2023-01-04T23:59:57Z,Invalid Timestamp,51.3853,-2.70718,Unknown
,N/A,EGGD,BRS,N/A,N/A,2023-01-04T23:59:57Z,Invalid Timestamp,51.3853,-2.70718,Unknown
,N/A,EGGD,BRS,N/A,N/A,2023-01-04T23:59:57Z,Invalid Timestamp,51.3853,-2.70718,Unknown
,N/A,EGGD,BRS,N/A,N/A,2023-01-04T23:59:57Z,Invalid Timestamp,51.3853,-2.70718,Unknown
,N/A,EGGD,BRS,N/A,N/A,2023-01-04T23:59:57Z,Invalid Timestamp,51.3853,-2.70718,Unknown
,N/A,EGGD,BRS,N/A,N/A,2023-01-04T23:59:57Z,Invalid Timestamp,51.3853,-2.70718,Unknown
,N/A,EGGD,BRS,N/A,N/A,2023-01-04T23:59:57Z,Invalid Timestamp,51.3853,-2.70718,Unknown
,N/A,EGGD,BRS,N/A,N/A,2023-01-04T23:59:57Z,Invalid Timestamp,51.3853,-2.70718,Unknown
,N/A,EGGD,BRS,N/A,N/A,2023-01-04T23:59:57Z,Invalid Timestamp,51.3853,-2.70718,Unknown
,N/A,EGGD,BRS,N/A,N/A,2023-01-04T23:59:57Z,Invalid Timestamp,51.3853,-2.70718,Unknown
