flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
U22722,EZY25WK,G-UZLP,A20N,LEAL/ALC,EGGD/BRS,16625,260,2024-11-12 12:59:58 UTC,Day flight,EZY
KL1079,KLM53Q,G-CLYU,E190,EHAM/AMS,EGGD/BRS,4775,268,2024-11-12 12:59:59 UTC,Day flight,EZE
U22719,EZY48VB,G-EZWI,A320,EGGD/BRS,GCFV/FUE,0,7,2024-11-12 13:00:00 UTC,Day flight,EZY
FR505,RYR66QN,EI-EFZ,B738,EGGD/BRS,EIDW/DUB,24000,377,2024-11-12 12:59:59 UTC,Day flight,RYR
