Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
Blue Islands,Jersey,2024-04-11T09:10:00+00:00,,Bristol,2024-04-11T10:10:00+00:00,
,Jersey,2024-04-11T09:10:00+00:00,,Bristol,2024-04-11T10:10:00+00:00,
Ryanair,Girona-Costa Brava,2024-04-11T10:20:00+00:00,2024-04-11T10:19:00+00:00,Bristol,2024-04-11T11:30:00+00:00,2024-04-11T11:20:00+00:00
Blue Islands,Jersey,2024-04-11T09:10:00+00:00,2024-04-11T09:18:00+00:00,Bristol,2024-04-11T10:07:00+00:00,2024-04-11T10:07:00+00:00
Virgin Atlantic,Schiphol,2024-04-11T16:40:00+00:00,,Bristol,2024-04-11T16:55:00+00:00,
easyJet,Aldergrove International Airport,2024-04-11T21:50:00+00:00,2024-04-11T21:50:00+00:00,Bristol,2024-04-11T22:55:00+00:00,2024-04-11T22:35:00+00:00
Jet2,Son Sant Joan Airport,2024-04-11T11:35:00+00:00,2024-04-11T11:45:00+00:00,Bristol,2024-04-11T13:05:00+00:00,2024-04-11T13:06:00+00:00
Centreline,Shannon,2024-04-11T21:35:00+00:00,2024-04-11T21:41:00+00:00,Bristol,2024-04-11T22:22:00+00:00,2024-04-11T22:26:00+00:00
easyJet,Alicante El Altet,2024-04-11T07:00:00+00:00,2024-04-11T07:11:00+00:00,Bristol,2024-04-11T08:35:00+00:00,2024-04-11T08:41:00+00:00
easyJet,Leonardo Da Vinci (Fiumicino),2024-04-11T11:45:00+00:00,2024-04-11T11:48:00+00:00,Bristol,2024-04-11T13:40:00+00:00,2024-04-11T13:12:00+00:00
easyJet,Francisco Sá Carneiro,2024-04-11T20:50:00+00:00,2024-04-11T21:17:00+00:00,Bristol,2024-04-11T22:55:00+00:00,2024-04-11T23:05:00+00:00
easyJet,Charles De Gaulle,2024-04-11T10:00:00+00:00,2024-04-11T10:15:00+00:00,Bristol,2024-04-11T10:20:00+00:00,2024-04-11T10:11:00+00:00
British Airways,Cork,2024-04-11T18:30:00+00:00,2024-04-11T18:41:00+00:00,Bristol,2024-04-11T19:50:00+00:00,2024-04-11T19:45:00+00:00
