flight,categories,orig_icao,orig_iata,dest_icao,dest_iata,timestamp,flight_time,lat,lon,time_category
FR4172,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.66325,-3.21959,Unknown
FR504,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.49132,-2.58513,Unknown
U26086,N/A,LFSB,BSL,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.50089,-1.8702,Unknown
FR4172,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.66325,-3.21959,Unknown
FR504,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.49132,-2.58513,Unknown
U26086,N/A,LFSB,BSL,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.50089,-1.8702,Unknown
FR4172,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.66325,-3.21959,Unknown
FR504,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.49132,-2.58513,Unknown
U26086,N/A,LFSB,BSL,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.50089,-1.8702,Unknown
FR4172,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.66325,-3.21959,Unknown
FR504,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.49132,-2.58513,Unknown
U26086,N/A,LFSB,BSL,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.50089,-1.8702,Unknown
FR4172,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.66325,-3.21959,Unknown
FR504,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.49132,-2.58513,Unknown
U26086,N/A,LFSB,BSL,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.50089,-1.8702,Unknown
FR4172,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.66325,-3.21959,Unknown
FR504,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.49132,-2.58513,Unknown
U26086,N/A,LFSB,BSL,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.50089,-1.8702,Unknown
FR4172,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.66325,-3.21959,Unknown
FR504,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.49132,-2.58513,Unknown
U26086,N/A,LFSB,BSL,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.50089,-1.8702,Unknown
FR4172,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.66325,-3.21959,Unknown
FR504,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.49132,-2.58513,Unknown
U26086,N/A,LFSB,BSL,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.50089,-1.8702,Unknown
FR4172,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.66325,-3.21959,Unknown
FR504,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.49132,-2.58513,Unknown
U26086,N/A,LFSB,BSL,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.50089,-1.8702,Unknown
FR4172,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.66325,-3.21959,Unknown
FR504,N/A,EIDW,DUB,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.49132,-2.58513,Unknown
U26086,N/A,LFSB,BSL,EGGD,BRS,2022-12-18T23:59:58Z,Invalid Timestamp,51.50089,-1.8702,Unknown
