flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
u22733,easyjet,active,2023-12-07t06:05:00.000,2023-12-07t06:05:00.000,2023-12-07 06:07:00,2023-12-07,06:07:00,2,Shoulder hour flights
u22951,easyjet,active,2023-12-07t06:15:00.000,2023-12-07t06:15:00.000,2023-12-07 06:18:00,2023-12-07,06:18:00,3,Shoulder hour flights
u22713,easyjet,active,2023-12-07t06:20:00.000,2023-12-07t06:20:00.000,2023-12-07 06:21:00,2023-12-07,06:21:00,1,Shoulder hour flights
u2201,easyjet,active,2023-12-07t07:00:00.000,2023-12-07t07:12:00.000,2023-12-07 07:04:00,2023-12-07,07:04:00,5,Regular departures
u2213,easyjet,active,2023-12-07t07:00:00.000,2023-12-07t07:15:00.000,2023-12-07 07:01:00,2023-12-07,07:01:00,1,Regular departures
u2223,easyjet,active,2023-12-07t07:00:00.000,2023-12-07t07:42:00.000,2023-12-07 07:43:00,2023-12-07,07:43:00,44,Regular departures
u2237,easyjet,active,2023-12-07t07:00:00.000,2023-12-07t07:00:00.000,2023-12-07 07:09:00,2023-12-07,07:09:00,9,Regular departures
u22709,easyjet,active,2023-12-07t07:10:00.000,2023-12-07t07:10:00.000,2023-12-07 07:14:00,2023-12-07,07:14:00,5,Regular departures
u22721,easyjet,active,2023-12-07t07:20:00.000,2023-12-07t07:20:00.000,2023-12-07 07:27:00,2023-12-07,07:27:00,7,Regular departures
u22867,easyjet,active,2023-12-07t07:35:00.000,2023-12-07t07:35:00.000,2023-12-07 07:50:00,2023-12-07,07:50:00,16,Regular departures
u22871,easyjet,active,2023-12-07t07:40:00.000,2023-12-07t07:40:00.000,2023-12-07 07:41:00,2023-12-07,07:41:00,1,Regular departures
u22773,easyjet,active,2023-12-07t07:45:00.000,2023-12-07t07:45:00.000,2023-12-07 07:58:00,2023-12-07,07:58:00,14,Regular departures
u21444,easyjet,active,2023-12-07t08:25:00.000,2023-12-07t08:25:00.000,2023-12-07 08:23:00,2023-12-07,08:23:00,0,Regular departures
ls1833,jet2,active,2023-12-07t08:30:00.000,2023-12-07t08:30:00.000,2023-12-07 08:35:00,2023-12-07,08:35:00,6,Regular departures
ls1891,jet2,active,2023-12-07t08:30:00.000,2023-12-07t08:30:00.000,2023-12-07 08:32:00,2023-12-07,08:32:00,3,Regular departures
u22783,easyjet,active,2023-12-07t08:30:00.000,2023-12-07t08:30:00.000,2023-12-07 08:28:00,2023-12-07,08:28:00,0,Regular departures
x36468,tuifly,active,2023-12-07t09:10:00.000,2023-12-07t09:10:00.000,2023-12-07 09:26:00,2023-12-07,09:26:00,16,Regular departures
ls1853,jet2,active,2023-12-07t09:30:00.000,2023-12-07t09:35:00.000,2023-12-07 09:40:00,2023-12-07,09:40:00,11,Regular departures
x36464,tuifly,active,2023-12-07t09:40:00.000,2023-12-07t09:40:00.000,2023-12-07 10:00:00,2023-12-07,10:00:00,21,Regular departures
ls1801,jet2,active,2023-12-07t10:30:00.000,2023-12-07t10:30:00.000,2023-12-07 10:49:00,2023-12-07,10:49:00,19,Regular departures
u22885,easyjet,active,2023-12-07t10:35:00.000,2023-12-07t10:35:00.000,2023-12-07 10:44:00,2023-12-07,10:44:00,10,Regular departures
u22931,easyjet,active,2023-12-07t10:35:00.000,2023-12-07t10:32:00.000,2023-12-07 10:46:00,2023-12-07,10:46:00,12,Regular departures
u22883,easyjet,active,2023-12-07t11:35:00.000,2023-12-07t11:47:00.000,2023-12-07 11:46:00,2023-12-07,11:46:00,12,Regular departures
u22937,easyjet,active,2023-12-07t12:00:00.000,2023-12-07t12:00:00.000,2023-12-07 11:58:00,2023-12-07,11:58:00,0,Regular departures
u22913,easyjet,active,2023-12-07t12:05:00.000,2023-12-07t12:05:00.000,2023-12-07 12:19:00,2023-12-07,12:19:00,15,Regular departures
u22837,easyjet,active,2023-12-07t12:50:00.000,2023-12-07t12:50:00.000,2023-12-07 12:48:00,2023-12-07,12:48:00,0,Regular departures
u22887,easyjet,active,2023-12-07t13:10:00.000,2023-12-07t13:10:00.000,2023-12-07 13:06:00,2023-12-07,13:06:00,0,Regular departures
fr4121,ryanair,active,2023-12-07t13:35:00.000,2023-12-07t13:35:00.000,2023-12-07 13:49:00,2023-12-07,13:49:00,14,Regular departures
u2219,easyjet,active,2023-12-07t13:40:00.000,2023-12-07t13:52:00.000,2023-12-07 14:00:00,2023-12-07,14:00:00,20,Regular departures
u2245,easyjet,active,2023-12-07t13:40:00.000,2023-12-07t13:52:00.000,2023-12-07 13:54:00,2023-12-07,13:54:00,14,Regular departures
u22945,easyjet,active,2023-12-07t14:05:00.000,2023-12-07t14:05:00.000,2023-12-07 14:12:00,2023-12-07,14:12:00,8,Regular departures
u22955,easyjet,active,2023-12-07t14:10:00.000,2023-12-07t14:10:00.000,2023-12-07 14:22:00,2023-12-07,14:22:00,13,Regular departures
gr642,aurigny air services,active,2023-12-07t15:00:00.000,2023-12-07t15:00:00.000,2023-12-07 15:15:00,2023-12-07,15:15:00,16,Regular departures
ba8867,british airways,active,2023-12-07t16:00:00.000,2023-12-07t16:00:00.000,2023-12-07 16:11:00,2023-12-07,16:11:00,12,Regular departures
ei3843,aer lingus,active,2023-12-07t16:00:00.000,2023-12-07t16:00:00.000,2023-12-07 16:11:00,2023-12-07,16:11:00,12,Regular departures
u2231,easyjet,active,2023-12-07t16:10:00.000,2023-12-07t16:10:00.000,2023-12-07 16:25:00,2023-12-07,16:25:00,15,Regular departures
u22939,easyjet,active,2023-12-07t16:10:00.000,2023-12-07t16:10:00.000,2023-12-07 16:18:00,2023-12-07,16:18:00,8,Regular departures
u22723,easyjet,active,2023-12-07t16:35:00.000,2023-12-07t16:31:00.000,2023-12-07 16:47:00,2023-12-07,16:47:00,12,Regular departures
fr6221,ryanair,active,2023-12-07t16:40:00.000,2023-12-07t16:40:00.000,2023-12-07 16:42:00,2023-12-07,16:42:00,2,Regular departures
u2322,easyjet,active,2023-12-07t16:40:00.000,2023-12-07t16:52:00.000,2023-12-07 16:59:00,2023-12-07,16:59:00,20,Regular departures
u22707,easyjet,active,2023-12-07t16:40:00.000,2023-12-07t16:40:00.000,2023-12-07 16:44:00,2023-12-07,16:44:00,4,Regular departures
u2443,easyjet,active,2023-12-07t16:45:00.000,2023-12-07t16:53:00.000,2023-12-07 17:08:00,2023-12-07,17:08:00,24,Regular departures
fr3560,ryanair,active,2023-12-07t16:55:00.000,2023-12-07t17:15:00.000,2023-12-07 17:24:00,2023-12-07,17:24:00,29,Regular departures
u22715,easyjet,active,2023-12-07t17:00:00.000,2023-12-07t17:00:00.000,2023-12-07 17:10:00,2023-12-07,17:10:00,11,Regular departures
u22891,easyjet,active,2023-12-07t17:20:00.000,2023-12-07t17:57:00.000,2023-12-07 17:54:00,2023-12-07,17:54:00,35,Regular departures
u22705,easyjet,active,2023-12-07t17:45:00.000,2023-12-07t18:27:00.000,2023-12-07 18:23:00,2023-12-07,18:23:00,38,Regular departures
u22923,easyjet,active,2023-12-07t18:10:00.000,2023-12-07t18:10:00.000,2023-12-07 18:15:00,2023-12-07,18:15:00,5,Regular departures
u2205,easyjet,active,2023-12-07t18:20:00.000,2023-12-07t18:32:00.000,2023-12-07 18:25:00,2023-12-07,18:25:00,6,Regular departures
u22775,easyjet,active,2023-12-07t18:30:00.000,2023-12-07t18:30:00.000,2023-12-07 18:27:00,2023-12-07,18:27:00,0,Regular departures
u2227,easyjet,active,2023-12-07t19:45:00.000,2023-12-07t19:43:00.000,2023-12-07 19:50:00,2023-12-07,19:50:00,6,Regular departures
u2217,easyjet,active,2023-12-07t18:35:00.000,2023-12-07t18:47:00.000,2023-12-07 18:56:00,2023-12-07,18:56:00,22,Regular departures
u2239,easyjet,active,2023-12-07t19:20:00.000,2023-12-07t19:20:00.000,2023-12-07 19:37:00,2023-12-07,19:37:00,18,Regular departures
ba8943,british airways,active,2023-12-07t19:40:00.000,2023-12-07t19:50:00.000,2023-12-07 19:55:00,2023-12-07,19:55:00,16,Regular departures
ei3287,aer lingus,active,2023-12-07t19:40:00.000,2023-12-07t19:50:00.000,2023-12-07 19:55:00,2023-12-07,19:55:00,16,Regular departures
u2324,easyjet,active,2023-12-07t20:20:00.000,2023-12-07t20:32:00.000,2023-12-07 20:43:00,2023-12-07,20:43:00,23,Regular departures
fr507,ryanair,active,2023-12-07t22:40:00.000,2023-12-07t22:55:00.000,2023-12-07 22:39:00,2023-12-07,22:39:00,0,Regular departures
si475,blue islands,active,2023-12-07t11:20:00.000,2023-12-07t11:35:00.000,2023-12-07 11:28:00,2023-12-07,11:28:00,8,Regular departures
,bae systems marine,active,2023-12-07t08:50:00.000,2023-12-07t09:15:00.000,2023-12-07 09:11:00,2023-12-07,09:11:00,22,Regular departures
,bae systems marine,active,2023-12-07t18:05:00.000,2023-12-07t18:20:00.000,2023-12-07 18:09:00,2023-12-07,18:09:00,4,Regular departures
u22733,easyjet,active,2023-12-07t06:05:00.000,2023-12-07t06:05:00.000,2023-12-07 06:07:00,2023-12-07,06:07:00,2,Shoulder hour flights
u22951,easyjet,active,2023-12-07t06:15:00.000,2023-12-07t06:15:00.000,2023-12-07 06:18:00,2023-12-07,06:18:00,3,Shoulder hour flights
u22713,easyjet,active,2023-12-07t06:20:00.000,2023-12-07t06:20:00.000,2023-12-07 06:21:00,2023-12-07,06:21:00,1,Shoulder hour flights
u2201,easyjet,active,2023-12-07t07:00:00.000,2023-12-07t07:12:00.000,2023-12-07 07:04:00,2023-12-07,07:04:00,5,Regular departures
u2213,easyjet,active,2023-12-07t07:00:00.000,2023-12-07t07:15:00.000,2023-12-07 07:01:00,2023-12-07,07:01:00,1,Regular departures
u2223,easyjet,active,2023-12-07t07:00:00.000,2023-12-07t07:42:00.000,2023-12-07 07:43:00,2023-12-07,07:43:00,44,Regular departures
u2237,easyjet,active,2023-12-07t07:00:00.000,2023-12-07t07:00:00.000,2023-12-07 07:09:00,2023-12-07,07:09:00,9,Regular departures
u22709,easyjet,active,2023-12-07t07:10:00.000,2023-12-07t07:10:00.000,2023-12-07 07:14:00,2023-12-07,07:14:00,5,Regular departures
u22721,easyjet,active,2023-12-07t07:20:00.000,2023-12-07t07:20:00.000,2023-12-07 07:27:00,2023-12-07,07:27:00,7,Regular departures
u22867,easyjet,active,2023-12-07t07:35:00.000,2023-12-07t07:35:00.000,2023-12-07 07:50:00,2023-12-07,07:50:00,16,Regular departures
u22871,easyjet,active,2023-12-07t07:40:00.000,2023-12-07t07:40:00.000,2023-12-07 07:41:00,2023-12-07,07:41:00,1,Regular departures
u22773,easyjet,active,2023-12-07t07:45:00.000,2023-12-07t07:45:00.000,2023-12-07 07:58:00,2023-12-07,07:58:00,14,Regular departures
u21444,easyjet,active,2023-12-07t08:25:00.000,2023-12-07t08:25:00.000,2023-12-07 08:23:00,2023-12-07,08:23:00,0,Regular departures
ls1833,jet2,active,2023-12-07t08:30:00.000,2023-12-07t08:30:00.000,2023-12-07 08:35:00,2023-12-07,08:35:00,6,Regular departures
ls1891,jet2,active,2023-12-07t08:30:00.000,2023-12-07t08:30:00.000,2023-12-07 08:32:00,2023-12-07,08:32:00,3,Regular departures
u22783,easyjet,active,2023-12-07t08:30:00.000,2023-12-07t08:30:00.000,2023-12-07 08:28:00,2023-12-07,08:28:00,0,Regular departures
x36468,tuifly,active,2023-12-07t09:10:00.000,2023-12-07t09:10:00.000,2023-12-07 09:26:00,2023-12-07,09:26:00,16,Regular departures
ls1853,jet2,active,2023-12-07t09:30:00.000,2023-12-07t09:35:00.000,2023-12-07 09:40:00,2023-12-07,09:40:00,11,Regular departures
x36464,tuifly,active,2023-12-07t09:40:00.000,2023-12-07t09:40:00.000,2023-12-07 10:00:00,2023-12-07,10:00:00,21,Regular departures
ls1801,jet2,active,2023-12-07t10:30:00.000,2023-12-07t10:30:00.000,2023-12-07 10:49:00,2023-12-07,10:49:00,19,Regular departures
u22885,easyjet,active,2023-12-07t10:35:00.000,2023-12-07t10:35:00.000,2023-12-07 10:44:00,2023-12-07,10:44:00,10,Regular departures
