flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
,EZY48RN,G-UZHA,A20N,EGGD/BRS,None/None,0,0,2024-11-05 00:14:55 UTC,Night flight,EZY
LS1856,EXS1856,G-DRTK,B738,LCLK/LCA,EGGD/BRS,15375,362,2024-11-05 00:14:58 UTC,Night flight,EXS
LS1856,EXS1856,G-DRTK,B738,LCLK/LCA,EGGD/BRS,0,7,2024-11-05 00:29:59 UTC,Night flight,EXS
U29007,EZY9007,G-EZTG,A320,LPPT/LIS,EGGD/BRS,1850,148,2024-11-05 00:45:00 UTC,Night flight,EZY
,EZY48RN,G-UZHA,A20N,EGGD/BRS,None/None,0,0,2024-11-05 00:59:59 UTC,Night flight,EZY
U22740,EZY2740,G-UZHI,A20N,GCTS/TFS,EGGD/BRS,3225,214,2024-11-05 01:44:58 UTC,Night flight,EZY
FR6221,RYR59UJ,EI-HAT,B38M,EGGD/BRS,EPKK/KRK,0,0,2024-11-05 05:59:53 UTC,Night flight,RYR
FR3560,RYR6SL,EI-EBR,B738,EGGD/BRS,LIME/BGY,0,0,2024-11-05 06:14:59 UTC,Shoulder period,RYR
U22713,EZY74HA,G-UZMI,A21N,EGGD/BRS,LEMG/AGP,0,26,2024-11-05 06:15:00 UTC,Shoulder period,EZY
U22733,EZY29AN,G-UZHT,A20N,EGGD/BRS,GCRR/ACE,0,0,2024-11-05 06:14:53 UTC,Shoulder period,EZY
KL1074,KLM70M,G-CLSN,E190,EGGD/BRS,EHAM/AMS,3850,235,2024-11-05 06:14:57 UTC,Shoulder period,EZE
FR6221,RYR59UJ,EI-HAT,B38M,EGGD/BRS,EPKK/KRK,21600,360,2024-11-05 06:14:58 UTC,Shoulder period,RYR
U22713,EZY74HA,G-UZMI,A21N,EGGD/BRS,LEMG/AGP,29850,416,2024-11-05 06:29:57 UTC,Shoulder period,EZY
U22733,EZY29AN,G-UZHT,A20N,EGGD/BRS,GCRR/ACE,0,0,2024-11-05 06:29:57 UTC,Shoulder period,EZY
U2223,EZY757A,G-UZLP,A20N,EGGD/BRS,EGAA/BFS,0,0,2024-11-05 06:44:53 UTC,Day flight,EZY
U22733,EZY29AN,G-UZHT,A20N,EGGD/BRS,GCRR/ACE,0,0,2024-11-05 06:44:58 UTC,Day flight,EZY
U2213,EZY972M,G-EZWI,A320,EGGD/BRS,EGPH/EDI,0,1,2024-11-05 06:44:59 UTC,Day flight,EZY
U22771,EZY48KG,G-UZHD,A20N,EGGD/BRS,LFPG/CDG,0,0,2024-11-05 06:44:57 UTC,Day flight,EZY
FR8682,RYR78SF,SP-RZO,B38M,EYKA/KUN,EGGD/BRS,1475,148,2024-11-05 06:44:59 UTC,Day flight,RYS
BY9115,TOM9115,G-FDZX,B738,EGGD/BRS,LEMG/AGP,0,8,2024-11-05 07:00:00 UTC,Day flight,TOM
U2237,EZY26LE,G-EZTZ,A320,EGGD/BRS,EGNT/NCL,0,8,2024-11-05 06:59:59 UTC,Day flight,EZY
U22771,EZY48KG,G-UZHD,A20N,EGGD/BRS,LFPG/CDG,0,0,2024-11-05 06:59:59 UTC,Day flight,EZY
U22709,EZY76WA,G-UZHF,A20N,EGGD/BRS,LEPA/PMI,0,0,2024-11-05 06:59:43 UTC,Day flight,EZY
U27847,EJU97FZ,OE-LSU,A20N,EHAM/AMS,EGGD/BRS,3375,184,2024-11-05 06:59:57 UTC,Day flight,EJU
U2223,EZY757A,G-UZLP,A20N,EGGD/BRS,EGAA/BFS,19100,353,2024-11-05 06:59:59 UTC,Day flight,EZY
U2213,EZY972M,G-EZWI,A320,EGGD/BRS,EGPH/EDI,21500,392,2024-11-05 06:59:59 UTC,Day flight,EZY
BY9115,TOM9115,G-FDZX,B738,EGGD/BRS,LEMG/AGP,22375,382,2024-11-05 07:14:59 UTC,Day flight,TOM
U2201,EZY404T,G-EZUW,A320,EGGD/BRS,EGPF/GLA,5400,238,2024-11-05 07:14:58 UTC,Day flight,EZY
U22733,EZY29AN,G-UZHT,A20N,EGGD/BRS,GCRR/ACE,0,67,2024-11-05 07:14:50 UTC,Day flight,EZY
U22771,EZY48KG,G-UZHD,A20N,EGGD/BRS,LFPG/CDG,0,1,2024-11-05 07:14:59 UTC,Day flight,EZY
U22709,EZY76WA,G-UZHF,A20N,EGGD/BRS,LEPA/PMI,16050,302,2024-11-05 07:14:58 UTC,Day flight,EZY
U22721,EZY42HC,G-EZTX,A320,EGGD/BRS,LEAL/ALC,0,2,2024-11-05 07:29:59 UTC,Day flight,EZY
LS1881,EXS24H,G-JZDH,B738,EGGD/BRS,LGRP/RHO,10650,274,2024-11-05 07:29:59 UTC,Day flight,EXS
U22771,EZY48KG,G-UZHD,A20N,EGGD/BRS,LFPG/CDG,18650,366,2024-11-05 07:29:59 UTC,Day flight,EZY
U22721,EZY42HC,G-EZTX,A320,EGGD/BRS,LEAL/ALC,13350,334,2024-11-05 07:44:58 UTC,Day flight,EZY
