flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
x36165,tuifly,landed,2023-05-23t01:05:00.000,2023-05-23t00:57:00.000,2023-05-23 00:58:00,2023-05-23,00:58:00,0,Night hour departures
u22812,easyjet,landed,2023-05-23t01:30:00.000,2023-05-23t01:30:00.000,2023-05-23 01:32:00,2023-05-23,01:32:00,3,Night hour departures
u22744,easyjet,landed,2023-05-23t01:50:00.000,2023-05-23t01:55:00.000,2023-05-23 01:50:00,2023-05-23,01:50:00,0,Night hour departures
u22736,easyjet,landed,2023-05-23t02:30:00.000,2023-05-23t02:32:00.000,2023-05-23 02:24:00,2023-05-23,02:24:00,0,Night hour departures
x3699,tuifly,landed,2023-05-23t02:35:00.000,2023-05-23t02:10:00.000,2023-05-23 02:11:00,2023-05-23,02:11:00,0,Night hour departures
fr4134,ryanair,landed,2023-05-23t07:50:00.000,2023-05-23t07:43:00.000,2023-05-23 07:40:00,2023-05-23,07:40:00,0,Regular departures
ba8936,british airways,landed,2023-05-23t07:55:00.000,2023-05-23t07:43:00.000,2023-05-23 07:45:00,2023-05-23,07:45:00,0,Regular departures
ei3280,aer lingus,landed,2023-05-23t07:55:00.000,2023-05-23t07:43:00.000,2023-05-23 07:45:00,2023-05-23,07:45:00,0,Regular departures
w61019,wizz air,landed,2023-05-23t08:00:00.000,2023-05-23t08:25:00.000,2023-05-23 08:23:00,2023-05-23,08:23:00,24,Regular departures
fr1332,ryanair,landed,2023-05-23t08:45:00.000,2023-05-23t08:41:00.000,2023-05-23 08:38:00,2023-05-23,08:38:00,0,Regular departures
af3161,air france,landed,2023-05-23t08:45:00.000,2023-05-23t08:46:00.000,2023-05-23 08:42:00,2023-05-23,08:42:00,0,Regular departures
dl9629,delta air lines,landed,2023-05-23t08:45:00.000,2023-05-23t08:46:00.000,2023-05-23 08:42:00,2023-05-23,08:42:00,0,Regular departures
ey7395,etihad airways,landed,2023-05-23t08:45:00.000,2023-05-23t08:46:00.000,2023-05-23 08:42:00,2023-05-23,08:42:00,0,Regular departures
vs7040,virgin atlantic,landed,2023-05-23t08:45:00.000,2023-05-23t08:46:00.000,2023-05-23 08:42:00,2023-05-23,08:42:00,0,Regular departures
kl1049,klm,landed,2023-05-23t08:45:00.000,2023-05-23t08:46:00.000,2023-05-23 08:42:00,2023-05-23,08:42:00,0,Regular departures
u21723,easyjet,landed,2023-05-23t08:50:00.000,2023-05-23t08:34:00.000,2023-05-23 08:35:00,2023-05-23,08:35:00,0,Regular departures
fr504,ryanair,landed,2023-05-23t08:55:00.000,2023-05-23t08:52:00.000,2023-05-23 08:53:00,2023-05-23,08:53:00,0,Regular departures
lh970,lufthansa,landed,2023-05-23t09:00:00.000,2023-05-23t08:47:00.000,2023-05-23 08:49:00,2023-05-23,08:49:00,0,Regular departures
u27191,easyjet,landed,2023-05-23t09:10:00.000,2023-05-23t08:51:00.000,2023-05-23 08:45:00,2023-05-23,08:45:00,0,Regular departures
u2224,easyjet,landed,2023-05-23t09:45:00.000,2023-05-23t09:36:00.000,2023-05-23 09:35:00,2023-05-23,09:35:00,0,Regular departures
u2202,easyjet,landed,2023-05-23t10:00:00.000,2023-05-23t09:41:00.000,2023-05-23 09:39:00,2023-05-23,09:39:00,0,Regular departures
u2214,easyjet,landed,2023-05-23t10:05:00.000,2023-05-23t09:46:00.000,2023-05-23 09:47:00,2023-05-23,09:47:00,0,Regular departures
u22774,easyjet,landed,2023-05-23t10:30:00.000,2023-05-23t10:29:00.000,2023-05-23 10:30:00,2023-05-23,10:30:00,1,Regular departures
u22892,easyjet,landed,2023-05-23t12:05:00.000,2023-05-23t11:57:00.000,2023-05-23 11:58:00,2023-05-23,11:58:00,0,Regular departures
u22716,easyjet,landed,2023-05-23t12:10:00.000,2023-05-23t12:27:00.000,2023-05-23 12:28:00,2023-05-23,12:28:00,19,Regular departures
u22838,easyjet,landed,2023-05-23t12:15:00.000,2023-05-23t12:23:00.000,2023-05-23 12:23:00,2023-05-23,12:23:00,9,Regular departures
x36257,tuifly,landed,2023-05-23t12:20:00.000,2023-05-23t12:37:00.000,2023-05-23 12:34:00,2023-05-23,12:34:00,15,Regular departures
u22701,easyjet,landed,2023-05-23t12:30:00.000,2023-05-23t13:01:00.000,2023-05-23 12:58:00,2023-05-23,12:58:00,28,Regular departures
u22844,easyjet,landed,2023-05-23t12:35:00.000,2023-05-23t12:54:00.000,2023-05-23 12:54:00,2023-05-23,12:54:00,20,Regular departures
ls1860,jet2,landed,2023-05-23t12:40:00.000,2023-05-23t12:40:00.000,2023-05-23 12:38:00,2023-05-23,12:38:00,0,Regular departures
u22940,easyjet,landed,2023-05-23t12:50:00.000,2023-05-23t12:44:00.000,2023-05-23 12:41:00,2023-05-23,12:41:00,0,Regular departures
ls1872,jet2,landed,2023-05-23t13:00:00.000,2023-05-23t13:49:00.000,2023-05-23 13:47:00,2023-05-23,13:47:00,47,Regular departures
dl9356,delta air lines,landed,2023-05-23t13:10:00.000,2023-05-23t13:10:00.000,2023-05-23 13:12:00,2023-05-23,13:12:00,3,Regular departures
ey7011,etihad airways,landed,2023-05-23t13:10:00.000,2023-05-23t13:10:00.000,2023-05-23 13:12:00,2023-05-23,13:12:00,3,Regular departures
