Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
Ryanair,Kaunas,2024-04-13T06:05:00+00:00,2024-04-13T06:12:00+00:00,Bristol,2024-04-13T07:00:00+00:00,2024-04-13T07:07:00+00:00
Jet2,Faro,2024-04-13T09:35:00+00:00,2024-04-13T10:00:00+00:00,Bristol,2024-04-13T12:15:00+00:00,2024-04-13T12:17:00+00:00
easyJet,El Prat De Llobregat,2024-04-13T13:05:00+00:00,2024-04-13T13:16:00+00:00,Bristol,2024-04-13T14:25:00+00:00,2024-04-13T14:08:00+00:00
easyJet,Alicante El Altet,2024-04-13T10:15:00+00:00,2024-04-13T10:32:00+00:00,Bristol,2024-04-13T11:50:00+00:00,2024-04-13T11:50:00+00:00
easyJet,Faro,2024-04-13T06:05:00+00:00,2024-04-13T06:15:00+00:00,Bristol,2024-04-13T08:45:00+00:00,2024-04-13T08:33:00+00:00
Blue Islands,Jersey,2024-04-13T10:00:00+00:00,2024-04-13T09:58:00+00:00,Bristol,2024-04-13T10:56:00+00:00,2024-04-13T10:45:00+00:00
easyJet,Pablo Ruiz Picasso,2024-04-13T10:30:00+00:00,2024-04-13T10:43:00+00:00,Bristol,2024-04-13T12:15:00+00:00,2024-04-13T12:05:00+00:00
Ryanair,El Prat De Llobregat,2024-04-13T06:25:00+00:00,2024-04-13T06:53:00+00:00,Bristol,2024-04-13T07:50:00+00:00,2024-04-13T07:47:00+00:00
,Jersey,2024-04-13T10:00:00+00:00,,Bristol,2024-04-13T11:00:00+00:00,
Blue Islands,Jersey,2024-04-13T10:00:00+00:00,,Bristol,2024-04-13T11:00:00+00:00,
Jet2,Sur Reina Sofia,2024-04-13T18:50:00+00:00,2024-04-13T19:03:00+00:00,Bristol,2024-04-13T23:00:00+00:00,2024-04-13T22:48:00+00:00
easyJet,Son Sant Joan Airport,2024-04-13T14:05:00+00:00,2024-04-13T14:21:00+00:00,Bristol,2024-04-13T15:35:00+00:00,2024-04-13T15:33:00+00:00
Jet2,Lanzarote,2024-04-13T18:45:00+00:00,2024-04-13T18:55:00+00:00,Bristol,2024-04-13T22:40:00+00:00,2024-04-13T22:23:00+00:00
empty,Glasgow International,2024-04-13T17:00:00+00:00,,Bristol,2024-04-13T18:07:00+00:00,
easyJet,Lanzarote,2024-04-13T11:10:00+00:00,2024-04-13T12:02:00+00:00,Bristol,2024-04-13T15:00:00+00:00,2024-04-13T15:28:00+00:00
