flight,categories,orig_icao,orig_iata,dest_icao,dest_iata,timestamp,flight_time,lat,lon,time_category
U26278,N/A,HESH,SSH,EGGD,BRS,2023-01-01T00:00:01Z,Invalid Timestamp,51.3839,-2.73064,Unknown
U26096,N/A,GCTS,TFS,EGGD,BRS,2022-12-31T23:59:59Z,Invalid Timestamp,51.38527,-2.71746,Unknown
U26246,N/A,LPMA,FNC,EGGD,BRS,2023-01-01T00:00:00Z,Invalid Timestamp,51.38544,-2.64711,Unknown
U26278,N/A,HESH,SSH,EGGD,BRS,2023-01-01T00:00:01Z,Invalid Timestamp,51.3839,-2.73064,Unknown
U26096,N/A,GCTS,TFS,EGGD,BRS,2022-12-31T23:59:59Z,Invalid Timestamp,51.38527,-2.71746,Unknown
U26246,N/A,LPMA,FNC,EGGD,BRS,2023-01-01T00:00:00Z,Invalid Timestamp,51.38544,-2.64711,Unknown
U26278,N/A,HESH,SSH,EGGD,BRS,2023-01-01T00:00:01Z,Invalid Timestamp,51.3839,-2.73064,Unknown
U26096,N/A,GCTS,TFS,EGGD,BRS,2022-12-31T23:59:59Z,Invalid Timestamp,51.38527,-2.71746,Unknown
U26246,N/A,LPMA,FNC,EGGD,BRS,2023-01-01T00:00:00Z,Invalid Timestamp,51.38544,-2.64711,Unknown
U26278,N/A,HESH,SSH,EGGD,BRS,2023-01-01T00:00:01Z,Invalid Timestamp,51.3839,-2.73064,Unknown
U26096,N/A,GCTS,TFS,EGGD,BRS,2022-12-31T23:59:59Z,Invalid Timestamp,51.38527,-2.71746,Unknown
U26246,N/A,LPMA,FNC,EGGD,BRS,2023-01-01T00:00:00Z,Invalid Timestamp,51.38544,-2.64711,Unknown
U26278,N/A,HESH,SSH,EGGD,BRS,2023-01-01T00:00:01Z,Invalid Timestamp,51.3839,-2.73064,Unknown
U26096,N/A,GCTS,TFS,EGGD,BRS,2022-12-31T23:59:59Z,Invalid Timestamp,51.38527,-2.71746,Unknown
U26246,N/A,LPMA,FNC,EGGD,BRS,2023-01-01T00:00:00Z,Invalid Timestamp,51.38544,-2.64711,Unknown
U26278,N/A,HESH,SSH,EGGD,BRS,2023-01-01T00:00:01Z,Invalid Timestamp,51.3839,-2.73064,Unknown
U26096,N/A,GCTS,TFS,EGGD,BRS,2022-12-31T23:59:59Z,Invalid Timestamp,51.38527,-2.71746,Unknown
U26246,N/A,LPMA,FNC,EGGD,BRS,2023-01-01T00:00:00Z,Invalid Timestamp,51.38544,-2.64711,Unknown
U26278,N/A,HESH,SSH,EGGD,BRS,2023-01-01T00:00:01Z,Invalid Timestamp,51.3839,-2.73064,Unknown
U26096,N/A,GCTS,TFS,EGGD,BRS,2022-12-31T23:59:59Z,Invalid Timestamp,51.38527,-2.71746,Unknown
U26246,N/A,LPMA,FNC,EGGD,BRS,2023-01-01T00:00:00Z,Invalid Timestamp,51.38544,-2.64711,Unknown
U26278,N/A,HESH,SSH,EGGD,BRS,2023-01-01T00:00:01Z,Invalid Timestamp,51.3839,-2.73064,Unknown
U26096,N/A,GCTS,TFS,EGGD,BRS,2022-12-31T23:59:59Z,Invalid Timestamp,51.38527,-2.71746,Unknown
U26246,N/A,LPMA,FNC,EGGD,BRS,2023-01-01T00:00:00Z,Invalid Timestamp,51.38544,-2.64711,Unknown
U26278,N/A,HESH,SSH,EGGD,BRS,2023-01-01T00:00:01Z,Invalid Timestamp,51.3839,-2.73064,Unknown
U26096,N/A,GCTS,TFS,EGGD,BRS,2022-12-31T23:59:59Z,Invalid Timestamp,51.38527,-2.71746,Unknown
U26246,N/A,LPMA,FNC,EGGD,BRS,2023-01-01T00:00:00Z,Invalid Timestamp,51.38544,-2.64711,Unknown
U26278,N/A,HESH,SSH,EGGD,BRS,2023-01-01T00:00:01Z,Invalid Timestamp,51.3839,-2.73064,Unknown
U26096,N/A,GCTS,TFS,EGGD,BRS,2022-12-31T23:59:59Z,Invalid Timestamp,51.38527,-2.71746,Unknown
U26246,N/A,LPMA,FNC,EGGD,BRS,2023-01-01T00:00:00Z,Invalid Timestamp,51.38544,-2.64711,Unknown
