flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_delay,time_category
az3737,alitalia,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
dl9422,delta air lines,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
ey7330,etihad airways,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
g35535,gol,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
kq1046,kenya airways,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
vs6854,virgin atlantic,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
kl1046,klm,active,2023-05-03t06:20:00.000,2023-05-03t06:20:00.000,2023-05-03 06:20:00,1,Shoulder hour flights
ls1817,jet2,active,2023-05-03t06:20:00.000,2023-05-03t06:23:00.000,2023-05-03 06:27:00,7,Shoulder hour flights
x36362,tuifly,active,2023-05-03t06:25:00.000,2023-05-03t06:25:00.000,2023-05-03 06:40:00,16,Shoulder hour flights
u22811,easyjet,active,2023-05-03t06:25:00.000,2023-05-03t06:25:00.000,2023-05-03 06:36:00,12,Shoulder hour flights
u22719,easyjet,active,2023-05-03t06:40:00.000,2023-05-03t06:40:00.000,2023-05-03 06:51:00,11,Shoulder hour flights
fr505,ryanair,active,2023-05-03t06:50:00.000,2023-05-03t06:50:00.000,2023-05-03 06:56:00,6,Shoulder hour flights
u2237,easyjet,active,2023-05-03t06:55:00.000,2023-05-03t06:55:00.000,2023-05-03 06:58:00,4,Shoulder hour flights
fr505,ryanair,active,2023-05-04t05:55:00.000,2023-05-04t05:55:00.000,2023-05-04 06:12:00,18,Shoulder hour flights
fr4121,ryanair,active,2023-05-04t05:55:00.000,2023-05-04t05:55:00.000,2023-05-04 06:06:00,12,Shoulder hour flights
x36406,tuifly,active,2023-05-04t06:00:00.000,2023-05-04t06:10:00.000,2023-05-04 06:30:00,31,Shoulder hour flights
x36482,tuifly,active,2023-05-04t06:00:00.000,2023-05-04t06:10:00.000,2023-05-04 06:10:00,11,Shoulder hour flights
u22709,easyjet,active,2023-05-04t06:00:00.000,2023-05-04t06:11:00.000,2023-05-04 06:19:00,20,Shoulder hour flights
u22891,easyjet,active,2023-05-04t06:00:00.000,2023-05-04t06:00:00.000,2023-05-04 06:16:00,16,Shoulder hour flights
