flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
EI3281,EAI81A,EI-HDI,AT76,EGGD/BRS,EIDW/DUB,0,9,2024-11-11 08:29:59 UTC,Day flight,EAI
KL1075,KLM49G,D-APRI,E190,EHAM/AMS,EGGD/BRS,0,0,2024-11-11 08:29:41 UTC,Day flight,GER
,GCIFY,G-CIFY,P28A,EGGD/BRS,None/None,0,2,2024-11-11 08:45:00 UTC,Day flight,
U2322,EZY625M,G-UZHZ,A20N,EGGD/BRS,EGPH/EDI,5200,266,2024-11-11 08:45:00 UTC,Day flight,EZY
EI3281,EAI81A,EI-HDI,AT76,EGGD/BRS,EIDW/DUB,12000,246,2024-11-11 08:44:58 UTC,Day flight,EAI
FR3160,RYR82LH,EI-EKC,B738,LEBL/BCN,EGGD/BRS,6750,246,2024-11-11 08:59:58 UTC,Day flight,RYR
U2222,EZY21TD,G-EZWI,A320,EGAA/BFS,EGGD/BRS,3550,203,2024-11-11 08:59:58 UTC,Day flight,EZY
FR6221,RYR59UJ,SP-RSI,B738,EGGD/BRS,EPKK/KRK,9175,284,2024-11-11 08:59:59 UTC,Day flight,RYS
LS1891,EXS43UN,G-JZBL,B738,EGGD/BRS,GCTS/TFS,0,9,2024-11-11 08:59:58 UTC,Day flight,EXS
,EXS18SH,G-JZHW,B738,EGGD/BRS,LTAI/AYT,0,20,2024-11-11 08:59:59 UTC,Day flight,EXS
LS1891,EXS43UN,G-JZBL,B738,EGGD/BRS,GCTS/TFS,19275,426,2024-11-11 09:14:58 UTC,Day flight,EXS
KL1076,KLM80X,D-APRI,E190,EGGD/BRS,EHAM/AMS,0,1,2024-11-11 09:14:57 UTC,Day flight,GER
,GCIFY,G-CIFY,P28A,EGGD/BRS,None/None,2400,98,2024-11-11 09:14:57 UTC,Day flight,
KL1076,KLM80X,D-APRI,E190,EGGD/BRS,EHAM/AMS,16300,369,2024-11-11 09:29:57 UTC,Day flight,GER
U2214,EZY37UM,G-EZTZ,A320,EGPH/EDI,EGGD/BRS,0,13,2024-11-11 09:44:58 UTC,Day flight,EZY
U2202,EZY93CM,G-EZRT,A320,EGPF/GLA,EGGD/BRS,4050,264,2024-11-11 09:44:59 UTC,Day flight,EZY
U2238,EZY38YA,G-EZUW,A320,EGNT/NCL,EGGD/BRS,2325,175,2024-11-11 09:59:58 UTC,Day flight,EZY
,GWPDC,G-WPDC,EC35,EGGD/BRS,None/None,575,129,2024-11-11 09:59:29 UTC,Day flight,
FR3161,RYR42EB,EI-EKC,B738,EGGD/BRS,LEBL/BCN,0,60,2024-11-11 10:00:00 UTC,Day flight,RYR
LS1809,EXS1809,G-DRTP,B738,EGGD/BRS,LTAI/AYT,0,2,2024-11-11 10:00:00 UTC,Day flight,EXS
U22774,EZY36XH,G-EZGY,A320,LFPG/CDG,EGGD/BRS,2575,185,2024-11-11 10:14:57 UTC,Day flight,EZY
U2231,EZY974X,G-EZWI,A320,EGGD/BRS,EGAC/BHD,0,10,2024-11-11 10:14:59 UTC,Day flight,EZY
LS1809,EXS1809,G-DRTP,B738,EGGD/BRS,LTAI/AYT,10850,328,2024-11-11 10:14:57 UTC,Day flight,EXS
FR506,RYR44PX,EI-DWV,B738,EIDW/DUB,EGGD/BRS,2550,177,2024-11-11 10:45:00 UTC,Day flight,RYR
U2215,EZY759D,G-EZTZ,A320,EGGD/BRS,EGPH/EDI,0,15,2024-11-11 10:45:00 UTC,Day flight,EZY
LS1827,EXS18RK,G-DRTK,B738,EGGD/BRS,GCFV/FUE,5375,242,2024-11-11 10:44:59 UTC,Day flight,EXS
U22839,EZY28GC,G-EZUW,A320,EGGD/BRS,LIRP/PSA,0,2,2024-11-11 10:45:00 UTC,Day flight,EZY
BY6114,TOM63A,G-TUMU,B38M,EGGD/BRS,GCLP/LPA,0,3,2024-11-11 10:44:58 UTC,Day flight,TOM
BY6114,TOM63A,G-TUMU,B38M,EGGD/BRS,GCLP/LPA,14275,284,2024-11-11 10:59:59 UTC,Day flight,TOM
U22922,EZY94XP,G-EZRX,A320,EHAM/AMS,EGGD/BRS,2275,200,2024-11-11 11:00:00 UTC,Day flight,EZY
U22839,EZY28GC,G-EZUW,A320,EGGD/BRS,LIRP/PSA,10175,296,2024-11-11 10:59:59 UTC,Day flight,EZY
U22881,EZY91LG,G-EZGY,A320,EGGD/BRS,LFSB/BSL,0,10,2024-11-11 11:14:58 UTC,Day flight,EZY
BY698,TOM698,G-TUMS,B38M,EGGD/BRS,HEGN/HRG,0,0,2024-11-11 11:14:39 UTC,Day flight,TOM
FR2291,RYR73ZK,EI-IFV,B38M,LEAL/ALC,EGGD/BRS,19875,368,2024-11-11 11:30:00 UTC,Day flight,RYR
U22782,EZY46WG,G-EZTG,A320,LFBO/TLS,EGGD/BRS,16075,346,2024-11-11 11:29:59 UTC,Day flight,EZY
FR1332,RYR72FG,EI-EGB,B738,LPPR/OPO,EGGD/BRS,6350,269,2024-11-11 11:29:59 UTC,Day flight,RYR
LS1825,EXS1825,G-JZBG,B738,EGGD/BRS,LPMA/FNC,0,0,2024-11-11 11:29:43 UTC,Day flight,EXS
BY698,TOM698,G-TUMS,B38M,EGGD/BRS,HEGN/HRG,16825,352,2024-11-11 11:29:58 UTC,Day flight,TOM
FR9504,RYR9504,EI-DWP,B738,EPBY/BZG,EGGD/BRS,19350,363,2024-11-11 11:30:00 UTC,Day flight,RYR
LS1825,EXS1825,G-JZBG,B738,EGGD/BRS,LPMA/FNC,10550,302,2024-11-11 11:44:58 UTC,Day flight,EXS
FR9504,RYR9504,EI-DWP,B738,EPBY/BZG,EGGD/BRS,275,136,2024-11-11 11:44:58 UTC,Day flight,RYR
U22935,EZY61QT,G-EZRX,A320,EGGD/BRS,LKPR/PRG,0,0,2024-11-11 11:44:55 UTC,Day flight,EZY
U22782,EZY46WG,G-EZTG,A320,LFBO/TLS,EGGD/BRS,0,6,2024-11-11 11:45:00 UTC,Day flight,EZY
FR507,RYR7UY,EI-DWV,B738,EGGD/BRS,EIDW/DUB,1850,176,2024-11-11 11:45:00 UTC,Day flight,RYR
FR2291,RYR73ZK,EI-IFV,B38M,LEAL/ALC,EGGD/BRS,4200,221,2024-11-11 11:45:00 UTC,Day flight,RYR
U2203,EZY592K,G-EZRT,A320,EGGD/BRS,EGPF/GLA,0,1,2024-11-11 11:59:59 UTC,Day flight,EZY
,RYR9504,EI-DWP,B738,EGGD/BRS,None/None,0,0,2024-11-11 11:59:07 UTC,Day flight,RYR
U22932,EZY58UH,G-UZLL,A20N,EKCH/CPH,EGGD/BRS,2925,200,2024-11-11 11:59:58 UTC,Day flight,EZY
U22935,EZY61QT,G-EZRX,A320,EGGD/BRS,LKPR/PRG,18025,382,2024-11-11 11:59:58 UTC,Day flight,EZY
FR1331,RYR357Y,EI-EGB,B738,EGGD/BRS,LPPR/OPO,0,1,2024-11-11 12:14:56 UTC,Day flight,RYR
U22714,EZY93PH,G-UZMH,A21N,LEMG/AGP,EGGD/BRS,4325,223,2024-11-11 12:14:59 UTC,Day flight,EZY
FR8225,RYR94UD,EI-HAT,B38M,EPRZ/RZE,EGGD/BRS,10550,298,2024-11-11 12:14:57 UTC,Day flight,RYR
U22722,EZY25WK,G-UZLP,A20N,LEAL/ALC,EGGD/BRS,17675,279,2024-11-11 12:29:59 UTC,Day flight,EZY
FR1331,RYR357Y,EI-EGB,B738,EGGD/BRS,LPPR/OPO,19275,382,2024-11-11 12:29:59 UTC,Day flight,RYR
FR8225,RYR94UD,EI-HAT,B38M,EPRZ/RZE,EGGD/BRS,0,6,2024-11-11 12:29:59 UTC,Day flight,RYR
FR7948,RYR58GT,SP-RSC,B738,EPPO/POZ,EGGD/BRS,6500,246,2024-11-11 12:30:00 UTC,Day flight,RYS
U22838,EZY71JR,G-UZHA,A20N,LIRF/FCO,EGGD/BRS,11175,294,2024-11-11 12:29:58 UTC,Day flight,EZY
U2232,EZY79YR,G-EZWI,A320,EGAC/BHD,EGGD/BRS,13225,352,2024-11-11 12:29:59 UTC,Day flight,EZY
U29940,EZY9940,G-UZHF,A20N,LXGB/GIB,EGGD/BRS,22125,302,2024-11-11 12:44:56 UTC,Day flight,EZY
LS1806,EXS3PZ,G-JZBV,B738,LEAL/ALC,EGGD/BRS,14550,319,2024-11-11 12:44:57 UTC,Day flight,EXS
,NJU216D,G-NJAE,F2TH,EGKB/BQH,EGGD/BRS,4425,248,2024-11-11 12:44:57 UTC,Day flight,NJU
U22722,EZY25WK,G-UZLP,A20N,LEAL/ALC,EGGD/BRS,1500,164,2024-11-11 12:44:56 UTC,Day flight,EZY
U2232,EZY79YR,G-EZWI,A320,EGAC/BHD,EGGD/BRS,0,119,2024-11-11 12:44:56 UTC,Day flight,EZY
U29940,EZY9940,G-UZHF,A20N,LXGB/GIB,EGGD/BRS,1400,142,2024-11-11 13:00:00 UTC,Day flight,EZY
RK5918,RUK11JV,EI-IFV,B38M,EGGD/BRS,GMMX/RAK,0,0,2024-11-11 12:59:59 UTC,Day flight,RYR
LS1806,EXS3PZ,G-JZBV,B738,LEAL/ALC,EGGD/BRS,0,17,2024-11-11 12:59:57 UTC,Day flight,EXS
,EZY25WK,G-UZLP,A20N,EGGD/BRS,None/None,0,0,2024-11-11 12:59:59 UTC,Day flight,EZY
FR5342,RYR2V,EI-EFZ,B738,LROP/OTP,EGGD/BRS,4850,227,2024-11-11 12:59:56 UTC,Day flight,RYR
RK5918,RUK11JV,EI-IFV,B38M,EGGD/BRS,GMMX/RAK,22500,427,2024-11-11 13:14:59 UTC,Day flight,RYR
FR7949,RYR87TE,SP-RSC,B738,EGGD/BRS,EPPO/POZ,1775,172,2024-11-11 13:29:58 UTC,Day flight,RYS
KL1079,KLM53Q,G-CLSN,E190,EHAM/AMS,EGGD/BRS,1875,217,2024-11-11 13:29:59 UTC,Day flight,EZE
,GUZLP,G-UZLP,A20N,EGGD/BRS,None/None,0,0,2024-11-11 13:29:55 UTC,Day flight,EZY
U2216,EZY74ZM,G-EZTZ,A320,EGPH/EDI,EGGD/BRS,8675,308,2024-11-11 13:29:59 UTC,Day flight,EZY
U27393,EJU7393,OE-LSR,A20N,LPPT/LIS,EGGD/BRS,7000,253,2024-11-11 13:45:00 UTC,Day flight,EJU
U22872,EZY47CN,G-UZMI,A21N,LPFR/FAO,EGGD/BRS,2625,183,2024-11-11 13:45:00 UTC,Day flight,EZY
U22832,EZY32RZ,G-EZTG,A320,EGGD/BRS,LIPZ/VCE,0,2,2024-11-11 13:45:00 UTC,Day flight,EZY
U22719,EZY48VB,G-UZLP,A20N,EGGD/BRS,GCFV/FUE,0,0,2024-11-11 13:44:55 UTC,Day flight,EZY
