departure_date,flight_type,total_flights,avg_departure_delay
2023-07-01,Regular departures,68,25.970588235294116
2023-07-01,Shoulder hour flights,23,12.304347826086957
2023-07-02,Regular departures,69,18.028985507246375
2023-07-02,Shoulder hour flights,23,9.782608695652174
2023-07-03,Regular departures,78,20.833333333333332
2023-07-03,Shoulder hour flights,22,12.545454545454545
2023-07-04,Regular departures,87,20.919540229885058
2023-07-04,Shoulder hour flights,22,19.181818181818183
2023-07-05,Regular departures,84,21.392857142857142
2023-07-05,Shoulder hour flights,24,10.5
2023-07-06,Regular departures,91,21.142857142857142
2023-07-06,Shoulder hour flights,24,12.166666666666666
2023-07-07,Regular departures,83,26.72289156626506
2023-07-07,Shoulder hour flights,22,14.318181818181818
2023-07-08,Regular departures,47,25.80851063829787
2023-07-08,Shoulder hour flights,23,22.217391304347824
2023-07-09,Regular departures,63,22.873015873015873
2023-07-09,Shoulder hour flights,23,26.91304347826087
2023-07-10,Regular departures,82,20.402439024390244
2023-07-10,Shoulder hour flights,20,17.85
2023-07-11,Regular departures,71,18.12676056338028
2023-07-11,Shoulder hour flights,22,13.409090909090908
2023-07-12,Regular departures,64,22.328125
2023-07-12,Shoulder hour flights,22,16.318181818181817
2023-07-13,Regular departures,76,21.57894736842105
2023-07-13,Shoulder hour flights,23,19.956521739130434
2023-07-14,Night hour departures,1,14.0
2023-07-14,Regular departures,55,25.454545454545453
2023-07-14,Shoulder hour flights,16,8.1875
2023-07-15,Regular departures,62,29.06451612903226
2023-07-15,Shoulder hour flights,20,18.5
2023-07-16,Regular departures,81,22.839506172839506
2023-07-16,Shoulder hour flights,18,22.72222222222222
2023-07-17,Regular departures,86,21.546511627906977
2023-07-17,Shoulder hour flights,22,22.454545454545453
2023-07-18,Regular departures,81,22.419753086419753
2023-07-18,Shoulder hour flights,24,22.375
2023-07-19,Regular departures,92,19.41304347826087
2023-07-19,Shoulder hour flights,21,14.476190476190476
2023-07-20,Regular departures,111,19.333333333333332
2023-07-20,Shoulder hour flights,23,19.17391304347826
2023-07-21,Regular departures,102,21.362745098039216
2023-07-21,Shoulder hour flights,21,15.19047619047619
2023-07-22,Regular departures,77,22.83116883116883
2023-07-22,Shoulder hour flights,20,13.4
2023-07-23,Regular departures,92,22.76086956521739
2023-07-23,Shoulder hour flights,21,21.285714285714285
2023-07-24,Regular departures,77,23.09090909090909
2023-07-24,Shoulder hour flights,22,22.772727272727273
2023-07-25,Regular departures,85,19.458823529411763
2023-07-25,Shoulder hour flights,24,21.0
2023-07-26,Regular departures,82,21.48780487804878
2023-07-26,Shoulder hour flights,19,13.578947368421053
2023-07-27,Regular departures,106,24.91509433962264
2023-07-27,Shoulder hour flights,14,18.0
2023-07-28,Regular departures,73,22.698630136986303
2023-07-28,Shoulder hour flights,22,19.636363636363637
2023-07-29,Regular departures,63,23.50793650793651
2023-07-29,Shoulder hour flights,21,15.047619047619047
2023-07-30,Night hour departures,1,5.0
2023-07-30,Regular departures,82,22.524390243902438
2023-07-30,Shoulder hour flights,14,20.571428571428573
2023-07-31,Night hour departures,1,27.0
2023-07-31,Regular departures,80,21.1375
2023-07-31,Shoulder hour flights,22,21.818181818181817
2023-08-01,Night hour departures,1,0.0
2023-08-01,Regular departures,95,17.957894736842107
2023-08-01,Shoulder hour flights,22,8.272727272727273
2023-08-02,Regular departures,69,20.463768115942027
2023-08-02,Shoulder hour flights,22,19.181818181818183
2023-08-03,Night hour departures,1,5.0
2023-08-03,Regular departures,92,21.26086956521739
2023-08-03,Shoulder hour flights,23,26.82608695652174
2023-08-04,Night hour departures,1,18.0
2023-08-04,Regular departures,94,27.30851063829787
2023-08-04,Shoulder hour flights,21,14.571428571428571
2023-08-05,Regular departures,63,23.19047619047619
2023-08-05,Shoulder hour flights,4,8.25
2023-08-06,Regular departures,79,19.89873417721519
2023-08-06,Shoulder hour flights,18,14.722222222222221
2023-08-07,Regular departures,95,22.263157894736842
