Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
Ryanair,Bristol,2024-04-18T07:00:00+00:00,2024-04-18T07:09:00+00:00,Son Sant Joan Airport,2024-04-18T10:20:00+00:00,2024-04-18T10:03:00+00:00
Jet2,Bristol,2024-04-18T07:25:00+00:00,2024-04-18T07:54:00+00:00,Son Sant Joan Airport,2024-04-18T10:50:00+00:00,2024-04-18T10:43:00+00:00
easyJet,Bristol,2024-04-18T06:00:00+00:00,2024-04-18T06:11:00+00:00,Son Sant Joan Airport,2024-04-18T09:20:00+00:00,2024-04-18T09:01:00+00:00
easyJet,Bristol,2024-04-18T10:30:00+00:00,2024-04-18T10:37:00+00:00,Son Sant Joan Airport,2024-04-18T13:50:00+00:00,2024-04-18T13:29:00+00:00
easyJet,Bristol,2024-04-18T20:15:00+00:00,2024-04-18T20:27:00+00:00,Son Sant Joan Airport,2024-04-18T23:35:00+00:00,2024-04-18T23:15:00+00:00
Ryanair,Bristol,2024-04-18T18:05:00+00:00,2024-04-18T18:11:00+00:00,Valencia,2024-04-18T21:20:00+00:00,2024-04-18T20:57:00+00:00
easyJet,Bristol,2024-04-18T10:35:00+00:00,2024-04-18T11:04:00+00:00,Mérignac,2024-04-18T13:05:00+00:00,2024-04-18T13:12:00+00:00
easyJet,Bristol,2024-04-18T10:45:00+00:00,2024-04-18T11:20:00+00:00,Cote D'azur International Airport,2024-04-18T13:50:00+00:00,2024-04-18T14:08:00+00:00
Ryanair,Bristol,2024-04-18T07:15:00+00:00,2024-04-18T07:24:00+00:00,Beziers Vias,2024-04-18T10:10:00+00:00,
easyJet,Bristol,2024-04-18T07:00:00+00:00,2024-04-18T07:13:00+00:00,Charles De Gaulle,2024-04-18T09:20:00+00:00,2024-04-18T09:10:00+00:00
easyJet,Bristol,2024-04-18T13:40:00+00:00,2024-04-18T14:21:00+00:00,Charles De Gaulle,2024-04-18T16:00:00+00:00,2024-04-18T16:12:00+00:00
easyJet,Bristol,2024-04-18T16:35:00+00:00,2024-04-18T17:06:00+00:00,Charles De Gaulle,2024-04-18T18:55:00+00:00,2024-04-18T19:05:00+00:00
easyJet,Bristol,2024-04-18T12:50:00+00:00,2024-04-18T13:27:00+00:00,Orly,2024-04-18T15:15:00+00:00,2024-04-18T15:27:00+00:00
easyJet,Bristol,2024-04-18T16:10:00+00:00,2024-04-18T16:36:00+00:00,Orly,2024-04-18T18:35:00+00:00,2024-04-18T18:36:00+00:00
empty,Bristol,2024-04-18T11:30:00+00:00,2024-04-18T10:04:00+00:00,Lesquin,2024-04-18T13:30:00+00:00,2024-04-18T11:50:00+00:00
easyJet,Bristol,2024-04-18T12:45:00+00:00,2024-04-18T13:12:00+00:00,Diagoras,2024-04-18T19:00:00+00:00,2024-04-18T18:50:00+00:00
Ryanair,Bristol,2024-04-18T12:00:00+00:00,2024-04-18T12:58:00+00:00,Marco Polo,2024-04-18T15:20:00+00:00,2024-04-18T15:55:00+00:00
easyJet,Bristol,2024-04-18T07:30:00+00:00,2024-04-18T07:52:00+00:00,Leonardo Da Vinci (Fiumicino),2024-04-18T11:00:00+00:00,2024-04-18T10:54:00+00:00
easyJet,Bristol,2024-04-18T06:05:00+00:00,2024-04-18T06:41:00+00:00,Capodichino,2024-04-18T09:50:00+00:00,2024-04-18T10:01:00+00:00
easyJet,Bristol,2024-04-18T07:00:00+00:00,2024-04-18T07:37:00+00:00,Galileo Galilei,2024-04-18T10:15:00+00:00,2024-04-18T10:26:00+00:00
easyJet,Bristol,2024-04-18T18:20:00+00:00,2024-04-18T18:22:00+00:00,Prague Vaclav Havel Airport,2024-04-18T21:20:00+00:00,2024-04-18T21:08:00+00:00
Jet2,Bristol,2024-04-18T05:55:00+00:00,2024-04-18T06:08:00+00:00,Malta International,2024-04-18T10:10:00+00:00,2024-04-18T09:57:00+00:00
TUIfly,Bristol,2024-04-18T06:00:00+00:00,2024-04-18T06:15:00+00:00,Malta International,2024-04-18T10:15:00+00:00,2024-04-18T10:04:00+00:00
Ryanair,Bristol,2024-04-18T19:15:00+00:00,2024-04-18T19:34:00+00:00,Faro,2024-04-18T21:55:00+00:00,2024-04-18T21:47:00+00:00
Jet2,Bristol,2024-04-18T06:20:00+00:00,2024-04-18T06:24:00+00:00,Faro,2024-04-18T09:00:00+00:00,2024-04-18T08:40:00+00:00
easyJet,Bristol,2024-04-18T06:35:00+00:00,2024-04-18T06:32:00+00:00,Faro,2024-04-18T09:10:00+00:00,2024-04-18T08:45:00+00:00
easyJet,Bristol,2024-04-18T10:15:00+00:00,2024-04-18T10:42:00+00:00,Faro,2024-04-18T12:50:00+00:00,2024-04-18T12:57:00+00:00
easyJet,Bristol,2024-04-18T20:20:00+00:00,2024-04-18T20:56:00+00:00,Faro,2024-04-18T22:55:00+00:00,2024-04-18T23:07:00+00:00
easyJet,Bristol,2024-04-18T07:10:00+00:00,2024-04-18T07:16:00+00:00,Madeira,2024-04-18T10:55:00+00:00,2024-04-18T10:27:00+00:00
easyJet,Bristol,2024-04-18T18:10:00+00:00,2024-04-18T18:28:00+00:00,Francisco Sá Carneiro,2024-04-18T20:20:00+00:00,2024-04-18T20:11:00+00:00
easyJet,Bristol,2024-04-18T13:45:00+00:00,2024-04-18T13:54:00+00:00,Lisbon Portela,2024-04-18T16:20:00+00:00,2024-04-18T15:55:00+00:00
easyJet,Bristol,2024-04-18T13:35:00+00:00,2024-04-18T13:46:00+00:00,Geneve-cointrin,2024-04-18T16:15:00+00:00,2024-04-18T16:08:00+00:00
easyJet,Bristol,2024-04-18T16:25:00+00:00,2024-04-18T16:44:00+00:00,Antalya,2024-04-18T22:45:00+00:00,2024-04-18T22:34:00+00:00
easyJet,Bristol,2024-04-18T13:55:00+00:00,2024-04-18T14:05:00+00:00,Dalaman,2024-04-18T20:05:00+00:00,2024-04-18T19:48:00+00:00
Jet2,Bristol,2024-04-18T14:10:00+00:00,2024-04-18T15:00:00+00:00,Milas,2024-04-18T20:15:00+00:00,2024-04-18T20:33:00+00:00
easyJet,Bristol,2024-04-18T06:35:00+00:00,2024-04-18T06:39:00+00:00,North Front,2024-04-18T10:15:00+00:00,2024-04-18T09:54:00+00:00
