flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr4755,ryanair,active,2024-01-28t05:55:00.000,2024-01-28t05:55:00.000,2024-01-28 05:59:00,2024-01-28,05:59:00,5,Night hour departures
af5199,air france,active,2024-01-28t06:15:00.000,2024-01-28t06:15:00.000,2024-01-28 06:06:00,2024-01-28,06:06:00,0,Shoulder hour flights
az3737,alitalia,active,2024-01-28t06:15:00.000,2024-01-28t06:15:00.000,2024-01-28 06:06:00,2024-01-28,06:06:00,0,Shoulder hour flights
dl9422,delta air lines,active,2024-01-28t06:15:00.000,2024-01-28t06:15:00.000,2024-01-28 06:06:00,2024-01-28,06:06:00,0,Shoulder hour flights
ey7330,etihad airways,active,2024-01-28t06:15:00.000,2024-01-28t06:15:00.000,2024-01-28 06:06:00,2024-01-28,06:06:00,0,Shoulder hour flights
g35535,gol,active,2024-01-28t06:15:00.000,2024-01-28t06:15:00.000,2024-01-28 06:06:00,2024-01-28,06:06:00,0,Shoulder hour flights
kq1046,kenya airways,active,2024-01-28t06:15:00.000,2024-01-28t06:15:00.000,2024-01-28 06:06:00,2024-01-28,06:06:00,0,Shoulder hour flights
vs6854,virgin atlantic,active,2024-01-28t06:15:00.000,2024-01-28t06:15:00.000,2024-01-28 06:06:00,2024-01-28,06:06:00,0,Shoulder hour flights
kl1046,klm,active,2024-01-28t06:15:00.000,2024-01-28t06:15:00.000,2024-01-28 06:06:00,2024-01-28,06:06:00,0,Shoulder hour flights
u22945,easyjet,active,2024-01-28t06:15:00.000,2024-01-28t06:15:00.000,2024-01-28 06:20:00,2024-01-28,06:20:00,6,Shoulder hour flights
fr4129,ryanair,active,2024-01-28t06:30:00.000,2024-01-28t06:30:00.000,2024-01-28 06:34:00,2024-01-28,06:34:00,5,Shoulder hour flights
fr4133,ryanair,active,2024-01-28t06:30:00.000,2024-01-28t06:30:00.000,2024-01-28 06:32:00,2024-01-28,06:32:00,3,Shoulder hour flights
u22713,easyjet,active,2024-01-28t06:30:00.000,2024-01-28t06:30:00.000,2024-01-28 06:29:00,2024-01-28,06:29:00,0,Shoulder hour flights
fr2292,ryanair,active,2024-01-28t06:50:00.000,2024-01-28t06:50:00.000,2024-01-28 06:51:00,2024-01-28,06:51:00,1,Shoulder hour flights
u2201,easyjet,active,2024-01-28t07:00:00.000,2024-01-28t07:00:00.000,2024-01-28 06:53:00,2024-01-28,06:53:00,0,Shoulder hour flights
u22883,easyjet,active,2024-01-28t07:00:00.000,2024-01-28t07:00:00.000,2024-01-28 07:35:00,2024-01-28,07:35:00,35,Regular departures
x36740,tuifly,active,2024-01-28t07:05:00.000,2024-01-28t07:05:00.000,2024-01-28 07:18:00,2024-01-28,07:18:00,13,Regular departures
u22951,easyjet,active,2024-01-28t07:20:00.000,2024-01-28t07:20:00.000,2024-01-28 07:23:00,2024-01-28,07:23:00,3,Regular departures
u22731,easyjet,active,2024-01-28t07:35:00.000,2024-01-28t07:35:00.000,2024-01-28 07:41:00,2024-01-28,07:41:00,6,Regular departures
u22961,easyjet,active,2024-01-28t08:00:00.000,2024-01-28t08:00:00.000,2024-01-28 08:17:00,2024-01-28,08:17:00,17,Regular departures
u22773,easyjet,active,2024-01-28t08:10:00.000,2024-01-28t08:10:00.000,2024-01-28 08:14:00,2024-01-28,08:14:00,4,Regular departures
ls1891,jet2,active,2024-01-28t08:25:00.000,2024-01-28t08:25:00.000,2024-01-28 08:33:00,2024-01-28,08:33:00,8,Regular departures
ba8937,british airways,active,2024-01-28t08:30:00.000,2024-01-28t08:30:00.000,2024-01-28 08:37:00,2024-01-28,08:37:00,8,Regular departures
ei3281,aer lingus,active,2024-01-28t08:30:00.000,2024-01-28t08:30:00.000,2024-01-28 08:37:00,2024-01-28,08:37:00,8,Regular departures
u22891,easyjet,active,2024-01-28t08:50:00.000,2024-01-28t08:50:00.000,2024-01-28 08:57:00,2024-01-28,08:57:00,8,Regular departures
u2215,easyjet,active,2024-01-28t09:35:00.000,2024-01-28t09:35:00.000,2024-01-28 09:32:00,2024-01-28,09:32:00,0,Regular departures
ls1853,jet2,active,2024-01-28t09:45:00.000,2024-01-28t09:56:00.000,2024-01-28 10:06:00,2024-01-28,10:06:00,22,Regular departures
ls1801,jet2,active,2024-01-28t10:00:00.000,2024-01-28t10:00:00.000,2024-01-28 10:22:00,2024-01-28,10:22:00,22,Regular departures
u2322,easyjet,active,2024-01-28t10:15:00.000,2024-01-28t10:15:00.000,2024-01-28 10:11:00,2024-01-28,10:11:00,0,Regular departures
dl9179,delta air lines,active,2024-01-28t10:25:00.000,2024-01-28t10:54:00.000,2024-01-28 10:53:00,2024-01-28,10:53:00,29,Regular departures
ey7288,etihad airways,active,2024-01-28t10:25:00.000,2024-01-28t10:54:00.000,2024-01-28 10:53:00,2024-01-28,10:53:00,29,Regular departures
vs7047,virgin atlantic,active,2024-01-28t10:25:00.000,2024-01-28t10:54:00.000,2024-01-28 10:53:00,2024-01-28,10:53:00,29,Regular departures
kl1056,klm,active,2024-01-28t10:25:00.000,2024-01-28t10:54:00.000,2024-01-28 10:53:00,2024-01-28,10:53:00,29,Regular departures
ls1827,jet2,active,2024-01-28t10:30:00.000,2024-01-28t10:30:00.000,2024-01-28 10:39:00,2024-01-28,10:39:00,10,Regular departures
u22867,easyjet,active,2024-01-28t10:30:00.000,2024-01-28t10:30:00.000,2024-01-28 10:36:00,2024-01-28,10:36:00,6,Regular departures
