flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22812,easyjet,landed,2024-04-02t01:35:00.000,2024-04-02t01:37:00.000,2024-04-02 01:37:00,2024-04-02,01:37:00,3,Night hour departures
u22736,easyjet,landed,2024-04-02t02:05:00.000,2024-04-02t01:49:00.000,2024-04-02 01:47:00,2024-04-02,01:47:00,0,Night hour departures
u22862,easyjet,landed,2024-04-02t02:40:00.000,2024-04-02t02:17:00.000,2024-04-02 02:17:00,2024-04-02,02:17:00,0,Night hour departures
fr504,ryanair,landed,2024-04-02t07:00:00.000,2024-04-02t06:48:00.000,2024-04-02 06:48:00,2024-04-02,06:48:00,0,Shoulder hour flights
fr3559,ryanair,landed,2024-04-02t07:00:00.000,2024-04-02t06:41:00.000,2024-04-02 06:41:00,2024-04-02,06:41:00,0,Shoulder hour flights
fr3160,ryanair,landed,2024-04-02t07:50:00.000,2024-04-02t07:49:00.000,2024-04-02 07:55:00,2024-04-02,07:55:00,6,Regular departures
ba8936,british airways,landed,2024-04-02t07:55:00.000,2024-04-02t07:58:00.000,2024-04-02 07:59:00,2024-04-02,07:59:00,4,Regular departures
ei3280,aer lingus,landed,2024-04-02t07:55:00.000,2024-04-02t07:58:00.000,2024-04-02 07:59:00,2024-04-02,07:59:00,4,Regular departures
u25527,easyjet,landed,2024-04-02t08:45:00.000,2024-04-02t08:39:00.000,2024-04-02 08:41:00,2024-04-02,08:41:00,0,Regular departures
dl9298,delta air lines,landed,2024-04-02t08:50:00.000,2024-04-02t08:46:00.000,2024-04-02 08:45:00,2024-04-02,08:45:00,0,Regular departures
vs6896,virgin atlantic,landed,2024-04-02t08:50:00.000,2024-04-02t08:46:00.000,2024-04-02 08:45:00,2024-04-02,08:45:00,0,Regular departures
kl1075,klm,landed,2024-04-02t08:50:00.000,2024-04-02t08:46:00.000,2024-04-02 08:45:00,2024-04-02,08:45:00,0,Regular departures
fr4148,ryanair,landed,2024-04-02t09:10:00.000,2024-04-02t08:58:00.000,2024-04-02 08:58:00,2024-04-02,08:58:00,0,Regular departures
u27191,easyjet,landed,2024-04-02t09:00:00.000,2024-04-02t08:55:00.000,2024-04-02 08:51:00,2024-04-02,08:51:00,0,Regular departures
u27507,easyjet,landed,2024-04-02t09:40:00.000,2024-04-02t09:19:00.000,2024-04-02 09:21:00,2024-04-02,09:21:00,0,Regular departures
u2224,easyjet,landed,2024-04-02t09:45:00.000,2024-04-02t09:37:00.000,2024-04-02 09:37:00,2024-04-02,09:37:00,0,Regular departures
